earlier application filed in 261
earlier approaches based on 49
earlier assumptions about the 907
earlier complained about the 104
earlier complaints about the 255
earlier conclusions about the 772
earlier conclusions based on 255
earlier convictions about the 71
earlier discussions about the 605
earlier discussions within the 58
earlier generations about the 52
earlier generations appear to 90
earlier generations would be 58
earlier historical books of 185
earlier historical forms of 56
earlier historical modes of 53
earlier historical period in 105
earlier historical period of 95
earlier historical stage of 143
earlier inferences about the 41
earlier information about the 195
earlier literature about the 60
earlier observation about the 475
earlier predictions about the 133
earlier predictions based on 72
earlier proposition about the 45
earlier reflections about the 44
earlier skepticism about the 132
earlier speculation about the 138
earlier statements about the 1049
earlier suggestions about the 131
earnest aspirations after the 57
earnest discussions about the 134
earnest immediately after the 264
earnest injunctions which he 87
earnest preparation since he 66
earnest simplicity which is 43
earnest solicitude about the 59
easiest explanation would be 100
easiest punishment which he 72
edition immediately after the 59
edition university press of 215
editor complained about the 75
editor gratefully thanks the 60
editor immediately after the 44
effect appreciable savings in 46
effect conclusions about the 97
effect everywhere within the 129
effect immediately after it 104
effect immediately after the 4091
effect statements about the 49
effect structural change in 151
effect substantial change in 202
effect substantial savings by 132
effect substantial savings in 561
effect transistor based on 126
effect transistor which is 47
effect tremendous savings in 47
effort immediately after the 101
effort undertaken within the 43
eleven combatants could be 44
elicit information about an 137
elicit information about the 7665
elicit information which is 61
elicit information which the 47
elicit particular kinds of 100
elicit particular types of 151
eluted immediately after the 119
embeds information about the 47
embody assumptions about the 316
embody information about the 197
embryo completely filling the 41
emerge immediately after the 216
emerging capitalist class in 61
emerging capitalist class of 56
emerging discipline known as 50
emerging educational needs of 48
emerging immediately after the 40
emerging information about the 102
emerging literature about the 47
emerging republican party in 42
emerging technology based on 43
emerging technology known as 41
emerging technology which is 54
emotion imaginable swept in 84
empire immediately after the 81
employ government action as 43
employ information about the 95
employ scientific method in 80
employ strategies aimed at 117
employ strategies based on 124
employ sufficient force to 147
employ sufficient labor to 47
employ sufficient staff to 99
employ techniques based on 142
enable aboriginal people to 101
enable appropriate action to 130
enable convictions under the 43
enable corrective action to 254
enable indigenous people to 56
enable individual firms to 95
enable individual users to 116
enable individual women to 42
enable inferences about the 42
enable information about the 54
enable interested people to 47
enable particular kinds of 64
enable predictions about the 61
enable unemployed people to 67
enable wheelchair users to 100
enable yourselves daily to 50
enabling corrective action to 73
enabling legislation based on 55
enabling legislation could be 52
enabling legislation creating the 93
enabling legislation might be 45
enabling legislation would be 178
enacting legislation aimed at 166
enacting legislation based on 41
enacting legislation which is 43
encode information about the 2386
encoding information about the 557
enduring assumptions about the 183
enduring friendship sprang up 91
energy calculation based on 90
energy consumption after the 69
energy consumption based on 717
energy consumption began to 81
energy consumption below the 43
energy consumption could be 1470
energy consumption equal to 91
energy consumption given in 40
energy consumption grows at 60
energy consumption growth in 70
energy consumption growth of 47
energy consumption level of 249
energy consumption might be 288
energy consumption needs to 94
energy consumption point of 115
energy consumption rates in 91
energy consumption rates of 74
energy consumption seems to 88
energy consumption shown in 86
energy consumption since the 276
energy consumption tends to 204
energy consumption under the 221
energy consumption which is 383
energy consumption while the 66
energy consumption within the 672
energy consumption would be 1765
energy dependence given by 139
energy dependence which is 79
energy difference equal to 75
energy difference given by 40
energy difference which is 157
energy difference would be 201
energy dissipated within the 356
energy dissipation could be 57
energy dissipation model of 48
energy dissipation rates in 462
energy dissipation which is 271
energy dissipation within the 1306
energy dissipation would be 186
energy efficiency based on 92
energy efficiency could be 395
energy efficiency gains in 67
energy efficiency gains of 48
energy efficiency might be 97
energy efficiency point of 87
energy efficiency since the 181
energy efficiency which is 61
energy efficiency within the 218
energy efficiency would be 400
energy expectation value is 188
energy expectation value of 132
energy immediately after the 149
energy management within the 55
energy metabolism based on 64
energy metabolism could be 63
energy metabolism seems to 53
energy metabolism shown by 59
energy metabolism which is 125
energy metabolism within the 190
energy metabolism would be 60
energy originally given to 62
energy technology based on 42
energy transitions within the 141
energy utilization within the 135
energy utilization would be 59
engaged immediately after the 486
engines immediately under the 91
enlist imagination under the 136
enlist yourselves under the 68
enough background about the 52
