urea nitrogen excretion and 73
use absolute openness and 53
use abstract concepts and 105
use anabolic steroids and 70
use anabolic steroids for 51
use clinical judgment and 109
use computer graphics and 150
use computer graphics for 120
use computer hardware and 338
use computer networks and 91
use computer networks for 188
use computer programs and 225
use computer programs for 343
use computer programs that 598
use computer software and 218
use computer software for 288
use computer software that 252
use concrete examples and 105
use concrete materials and 197
use economic pressure for 45
use economic sanctions and 70
use evidence obtained and 112
use feminine pronouns for 45
use hydrogen peroxide and 113
use hydrogen peroxide for 116
use hydrogen peroxide with 123
use improved relations with 50
use internet explorer and 280
use internet explorer for 92
use multiple channels for 47
use parallel processing and 40
use patterns indicate that 45
use personal contacts and 59
use personal judgment and 70
use personal pronouns and 100
use personal pronouns with 46
use prenatal diagnosis and 108
use products designed for 46
use programs designed for 54
use recycled materials and 93
use recycled materials for 40
use separate accounts for 110
use separate antennas for 44
use separate transmit and 46
use separate variables for 49
use socialist property for 109
use software designed for 287
use software packages are 46
use software packages for 53
use software packages that 126
use software programs that 252
use specific examples and 135
use supporting materials that 92
use whatever evidence they 42
use whatever leverage they 203
use whatever materials and 138
use whatever materials are 379
use whatever materials they 271
use whatever materials you 97
use wherever medicine was 236
using abstract concepts and 49
using advanced materials and 41
using aluminum chloride and 46
using ammonium chloride and 62
using ammonium sulphate and 70
using ammonium sulphate with 41
using anabolic steroids and 111
using anabolic steroids for 65
using antibody specific for 76
using authentic materials and 82
using boundary elements and 66
using chemical analysis and 52
using clinical judgment and 47
using compound subjects and 95
using computer graphics and 216
using computer graphics for 72
using computer hardware and 212
using computer networks and 97
using computer networks for 121
using computer programs and 182
using computer programs for 197
using computer programs that 717
using computer software and 184
using computer software for 169
using computer software that 354
using concrete examples and 118
using concrete examples that 51
using concrete materials and 238
using denaturing gradient gel 673
using distance education for 68
using economic concepts and 41
using economic sanctions and 64
using euclidean distance and 108
using hydrogen peroxide and 402
using hydrogen peroxide for 65
using imported materials and 139
using indecent freedoms with 68
using internet explorer and 283
using internet explorer for 162
using internet explorer with 46
using ionization chambers and 40
using isolated perfused rat 167
using materials designed for 57
using materials suitable for 41
using moderate pressure and 55
using multiple channels and 45
using multiple languages and 41
using numerous examples and 48
using original materials and 43
using parallel processing and 45
using personal contacts and 98
using personal pronouns and 91
using programs designed for 48
using properly designed and 41
using purified proteins and 67
using recycled materials and 120
using recycled materials for 66
using sentence materials with 214
using separate antennas for 152
using separate equations for 74
using software designed for 187
using software packages that 154
using software programs that 208
using software provided with 49
using software supplied with 48
using specially designed and 49
using specific examples and 156
using specific materials and 50
using spectral analysis and 104
using standard equations for 43
using standard formulas for 81
using standard hardware and 68
using standard materials and 93
using standard software for 74
using standard solutions and 53
using suitable materials and 45
using synthetic peptides and 98
using vascular isolation and 56
using whatever materials and 71
using whatever materials are 212
using whatever materials they 247
using whatever materials you 43
