use among methadone patients 104
use during physical activity 348
use file transfer protocol 495
use good business judgment 102
use good clinical judgment 113
use more abstract concepts 99
use more advanced hardware 41
use more financial leverage 204
use more hospital services 99
use more personal pronouns 85
use more physician services 119
use more recycled materials 51
use other internet services 75
use other software packages 41
use other software programs 46
use some specific examples 45
use their bargaining leverage 48
use their clinical judgment 316
use their economic leverage 164
use their favorite metaphor 57
use their financial leverage 99
use their increased purchasing 95
use their informal networks 48
use their monopoly positions 46
use their personal authority 56
use their personal computer 80
use their personal contacts 112
use their personal judgment 72
use their personal networks 216
use their personal property 43
use their personal vehicles 237
use their powerful positions 59
use their recently acquired 101
use their religious authority 51
use these imported articles 247
use these materials properly 41
use these software packages 55
use these software programs 45
use these whenever possible 62
use when conscious purposes 46
use will probably continue 352
use word processing packages 109
use word processing programs 698
use word processing software 1858
use your clinical judgment 93
use your computer keyboard 62
use your computer software 54
use your favorite internet 193
use your notebook computer 184
use your parental authority 52
use your personal computer 485
use your personal contacts 77
use your portable computer 56
using file transfer protocol 941
using flow injection analysis 310
using good business judgment 62
using high gradient magnetic 45
using high specific activity 141
using menu commands designed 41
using only moderate pressure 49
using other software packages 73
using other software programs 43
using some concrete examples 45
using some specific examples 72
using their economic leverage 53
using their financial leverage 50
using their personal computer 72
using their personal contacts 60
using their recently acquired 51
using these software packages 67
using these transfer patterns 48
using three purified proteins 46
using three standard deviations 66
using word processing packages 74
using word processing programs 345
using word processing software 3116
using your computer keyboard 63
using your favorite internet 64
using your notebook computer 63
using your personal computer 380
