uncle always said that 153
uncle arnold will not 62
uncle became more and 40
uncle kindly left her 119
uncle passed away and 73
uncle should have run 75
uncle should know you 81
under advice from his 92
under another flag and 48
under another flag than 60
under another form and 295
under another form than 166
under another form that 42
under another heading and 47
under another name and 2777
under another name are 63
under another name but 148
under another name does 47
under another name for 275
under another name had 48
under another name than 483
under another name that 180
under another name they 51
under another name was 195
under another name with 167
under another roof than 51
under arrest along with 198
under arrest more than 104
under arrest till they 44
under arrest were not 46
under arrest when his 40
under arrest when they 113
under arrest will not 50
under attack along with 88
under attack during his 48
under attack during this 140
under attack from all 2639
under attack from any 85
under attack from both 2351
under attack from her 86
under attack from his 590
under attack from its 425
under attack from men 47
under attack from new 182
under attack from non 164
under attack from one 418
under attack from our 91
under attack from pro 119
under attack from that 65
under attack from this 130
under attack from two 2833
under attack here are 289
under attack here was 51
under attack more than 68
under attack over its 43
under attack were not 78
under attack when they 108
under barbed wire and 147
under barbed wire with 116
under before giving way 50
under belgian rule and 46
under bloody mary and 42
under bodily pain and 41
under bursting dawn they 85
under cannon fire and 55
under canvas among his 52
under chiefs whom they 40
under christ their head 398
under closer fire now 52
under common laws and 234
under covering fire and 51
under danish rule and 133
under danish rule for 119
under direct fire and 90
under direct fire for 57
under direct rule and 185
under direct threat and 55
under divine care and 41
under double lock and 230
under duress from her 64
under duress from his 185
under duress must act 58
under duress were not 83
under duress when she 91
under duress when they 55
under duress will not 81
under eighty years old 68
under eleven years old 243
under english laws and 104
under english rule and 490
under english rule for 206
under english rule had 74
under english rule than 134
under english rule that 40
under english rule they 46
under english rule was 200
under existing case law 375
under existing health and 46
under existing land use 123
under existing laws and 1830
under existing laws are 122
under existing laws but 41
under existing laws for 299
under existing laws may 56
under existing laws that 113
under existing laws they 46
under existing laws was 70
under existing tort law 73
under existing zoning and 43
under fallen logs and 135
under former code sec 177
under former laws now 62
under french laws and 95
under french rule all 80
under french rule and 660
under french rule but 75
under french rule for 310
under french rule had 122
under french rule than 67
under french rule that 43
under french rule was 264
under genghis khan and 615
under genghis khan had 51
under gerald ford and 130
under german fire and 50
under german rule and 518
under german rule are 53
under german rule for 204
under german rule had 78
under german rule than 97
under german rule they 47
under german rule was 200
under grants from new 396
under grants from that 46
under grants from this 55
under greater threat than 215
under ground bears but 46
under ground till they 47
under heavier fire than 72
under hitler were not 44
under israeli rule and 235
under israeli rule for 46
under israeli rule was 73
under italian rule and 146
under italian rule for 44
under jewish rule and 69
under joseph smith and 51
under kublai khan and 80
under labels other than 42
under leaders whom they 53
under little crow and 49
under little more than 138
under master tara singh 99
under mental health act 428
under mental health law 61
under mortar fire and 117
under muslim rule and 595
under muslim rule for 845
under muslim rule had 72
under muslim rule than 72
under muslim rule was 206
under muslim rule with 42
under native laws and 48
under native rule and 77
under native rule was 84
under nobler form and 47
under normal load and 174
under norman rule and 57
under notice there was 76
under orders from both 46
under orders from don 49
under orders from god 371
under orders from head 66
under orders from her 319
under orders from him 339
under orders from his 4792
under orders from its 383
under orders from lee 119
under orders from new 49
under orders from one 249
under orders from our 188
under orders from sir 226
under orders from that 96
under orders from them 61
under orders from this 95
under orders from you 57
under parked cars and 59
