urea project in indonesia 42
use according to specific 40
use adverbs to describe 70
use against an opponent 276
use against the american 353
use against the austrians 40
use against the catholics 98
use against the christian 46
use against the heretics 172
use against the invaders 61
use against the issuance 58
use against the japanese 1640
use against the republic 109
use against the soldiers 47
use against the spaniards 352
use against the strikers 53
use against the strongest 72
use alcohol in moderate 139
use alcohol to alleviate 103
use animals as subjects 265
use balance of payments 115
use because it contains 518
use because it includes 56
use because it involves 228
use because it produces 148
use because it provides 514
use because it required 75
use because it requires 1108
use because it suggests 48
use because of breakdown 85
use because of concerns 66
use because of economic 100
use because of formation 132
use because of frequent 43
use because of increased 154
use because of physical 109
use because of possible 237
use because of potential 195
use because of problems 199
use because of toxicity 124
use breaches an implicit 41
use british or american 104
use context to identify 208
use cookies to identify 140
use cookies to maintain 102
use criteria to evaluate 129
use depends on personal 219
use dollars to purchase 51
use exactly the opposite 92
use filters to separate 100
use folders to organize 567
use foreign or japanese 72
use forward or backward 207
use however is possible 45
use hyphens to indicate 88
use hyphens to separate 47
use imagery to describe 46
use indoors or outdoors 142
use italics or boldface 41
use italics or quotation 128
use italics to indicate 479
use jumpers or switches 90
use language in everyday 149
use language in response 41
use language in specific 218
use language of affection 139
use language to convince 69
use language to describe 2813
use language to discover 66
use language to disguise 116
use language to distance 40
use language to generate 73
use language to identify 278
use language to indicate 124
use language to interact 387
use language to maintain 227
use language to negotiate 379
use language to organize 431
use language to persuade 379
use language to regulate 124
use language to transmit 118
use letters to identify 105
use letters to indicate 103
use markers to decorate 171
use markers to indicate 127
use markets to allocate 42
use material in chapters 53
use natural or synthetic 59
use nitrate as electron 140
use numbers to describe 564
use numbers to identify 414
use numbers to indicate 435
use numbers to quantify 44
use outlook to schedule 163
use outside of clinical 103
use outside the computer 148
use outside the confines 46
use outside the hospital 406
use outside the immediate 103
use outside the original 114
use outside the relevant 133
use perhaps in explaining 76
use portions of articles 116
use profane or improper 43
use profane or indecent 63
use research in practice 103
use research to identify 57
use results in decreased 101
use results in improved 103
use results in increased 362
use results in physical 130
use rewards to motivate 238
use rubrics to evaluate 42
use samples to estimate 68
use sarcasm or ridicule 205
use science to discover 88
use scripts to automate 211
use signals to indicate 89
use subject to definite 42
use symbols to describe 251
use symbols to identify 203
use symbols to indicate 446
use symbols to organize 41
use systems of equations 266
use variance or standard 46
use vectors to describe 97
use violence in intimate 111
use violence in response 192
use violence to dominate 118
use violence to maintain 854
use violence to overcome 125
use violence to overthrow 545
use violence to preserve 201
use violence to suppress 342
use windows nt explorer 248
using animals as subjects 869
using balance of payments 105
using context to identify 54
using criteria to evaluate 70
using folders to organize 44
using foreign or domestic 59
using forward or backward 174
using italics to indicate 68
using language so pedantic 42
using language to describe 1059
using language to discover 56
using language to identify 43
using language to interact 47
using language to maintain 52
using language to negotiate 49
using language to organize 54
using language to persuade 163
using letters to indicate 84
using measures of attention 42
using monkeys as subjects 84
using natural or slightly 51
using natural or synthetic 180
using nitrate as electron 157
using numbers to describe 134
using numbers to identify 91
using numbers to indicate 142
using objects or pictures 72
using optical or electron 154
using optical or magnetic 44
using radiation of wavelength 55
using research in practice 201
using rewards to motivate 151
using samples of children 58
using samples of students 45
using symbols or pictures 73
using symbols to describe 72
using symbols to identify 55
using symbols to indicate 133
using systems of equations 157
using violence to maintain 85
using violence to overthrow 88
using violence to suppress 171
using windows nt explorer 433
using windows nt security 47
