ulcers by worrying about 84
ulcers in various parts 133
ulcers of various kinds 195
ulcers of various sizes 227
ulcers of various types 58
ulcers on various parts 82
ulcers or canker sores 123
umpire or common judge 140
umpire to decide which 115
unable to absorb anything 169
unable to absorb either 43
unable to absorb fluid 41
unable to absorb fully 51
unable to absorb large 124
unable to absorb water 730
unable to accept anything 311
unable to accept blame 60
unable to accept change 340
unable to accept defeat 211
unable to accept either 2130
unable to accept freud 78
unable to accept fully 151
unable to accept human 69
unable to accept jesus 77
unable to accept others 65
unable to accept people 59
unable to accept social 48
unable to accept until 76
unable to accept women 81
unable to access either 49
unable to access files 65
unable to access social 42
unable to adduce proof 119
unable to adjust easily 42
unable to adjust fully 50
unable to affect anything 68
unable to affect change 93
unable to affect either 70
unable to affect world 171
unable to affirm anything 137
unable to affirm either 155
unable to afford anything 291
unable to afford basic 205
unable to afford books 55
unable to afford child 162
unable to afford either 669
unable to afford homes 60
unable to afford housing 813
unable to afford large 133
unable to afford legal 1137
unable to afford owner 49
unable to afford sending 55
unable to answer anything 67
unable to answer basic 117
unable to answer either 504
unable to answer fully 83
unable to answer right 102
unable to answer until 108
unable to arrange anything 51
unable to arrive until 110
unable to assert anything 67
unable to assess fully 42
unable to assign either 60
unable to assist others 65
unable to assume adult 42
unable to assume either 107
unable to assume power 92
unable to attack either 93
unable to attack until 52
unable to attain anything 53
unable to attain either 139
unable to attend after 135
unable to attend class 521
unable to attend could 48
unable to attend court 1166
unable to attend either 776
unable to attend evening 98
unable to attend every 60
unable to attend fully 90
unable to attend group 61
unable to attend meeting 204
unable to attend since 63
unable to attend social 42
unable to attend today 76
unable to become anything 43
unable to become aware 222
unable to become either 51
unable to become erect 94
unable to become fully 159
unable to become truly 59
unable to borrow anything 47
unable to borrow funds 173
unable to borrow money 2663
unable to choose anything 66
unable to choose either 253
unable to choose sides 53
unable to choose where 45
unable to choose which 203
unable to clearly state 146
unable to combat pride 92
unable to commit fully 62
unable to comply fully 207
unable to comply within 55
unable to conceal anything 85
unable to conceal either 148
unable to convey anything 87
unable to convey title 201
unable to convey valid 76
unable to decide about 700
unable to decide anything 408
unable to decide either 215
unable to decide until 67
unable to decide where 936
unable to decide which 5797
unable to decide whose 222
unable to deduce anything 81
unable to defend either 449
unable to define either 132
unable to demand anything 44
unable to depart until 86
unable to derive anything 55
unable to desire anything 49
unable to detect anything 604
unable to detect either 756
unable to detect light 56
unable to detect signs 69
unable to detect small 183
unable to detect where 65
unable to detect which 94
unable to devise anything 156
unable to digest anything 130
unable to digest foods 42
unable to digest large 48
unable to digest solid 94
unable to divine where 92
unable to effect anything 1445
unable to effect change 670
unable to effect cover 1391
unable to effect either 68
unable to elicit anything 106
unable to emerge until 48
unable to employ either 44
unable to endure anything 57
unable to endure change 165
unable to endure either 329
unable to endure hunger 46
unable to endure longer 952
unable to endure loose 66
unable to escape after 69
unable to escape again 84
unable to escape either 269
unable to escape fully 50
unable to escape until 177
unable to export anything 63
unable to export goods 57
unable to extend fully 50
unable to finish anything 136
unable to finish either 56
unable to finish tasks 53
unable to finish writing 71
unable to follow anything 44
unable to follow either 282
unable to follow jesus 49
unable to follow rapid 49
unable to follow rules 59
unable to follow where 58
unable to forget about 135
unable to forget anything 133
unable to forget either 47
unable to govern alone 42
unable to handle alone 89
unable to handle anything 114
unable to handle cases 51
unable to handle either 254
unable to handle large 336
unable to handle money 241
unable to import goods 73
unable to impose order 174
unable to impose taxes 48
unable to induce either 103
unable to infect healthy 56
unable to injure anything 102
unable to invent anything 238
unable to invest large 41
unable to invest money 49
unable to locate anything 273
unable to locate either 972
unable to locate where 119
unable to manage alone 513
unable to manage anything 105
unable to manage daily 80
unable to manage either 147
unable to manage large 43
unable to manage money 177
unable to manage until 67
unable to master either 52
unable to measure either 48
unable to mention anything 50
unable to muster anything 50
unable to muster either 106
unable to notice anything 136
unable to obtain action 42
unable to obtain anything 844
unable to obtain backing 42
unable to obtain basic 104
unable to obtain blood 96
unable to obtain board 42
unable to obtain books 75
unable to obtain child 65
unable to obtain cover 174
unable to obtain easily 42
unable to obtain either 1848
unable to obtain entry 249
unable to obtain equal 51
unable to obtain exact 193
unable to obtain fresh 235
unable to obtain funding 435
unable to obtain funds 937
unable to obtain goods 142
unable to obtain grain 109
unable to obtain growth 59
unable to obtain housing 149
