use accumulated sick leave 115
use alternative health care 120
use ambassadors much more 72
use longitudinal data from 206
use photographs from their 496
use restrictions have been 168
use unpublished data from 74
using alternative health care 47
using comparative data from 156
using conventional hearing aids 66
using cooperative game theory 53
using demographic data from 64
using ethnographic data from 177
using evolutionary game theory 54
using expenditure data from 45
using fluorescent dyes such 53
using independent data sets 150
using longitudinal data from 463
using observations made from 42
using performance data from 52
using preliminary data from 41
using qualitative data from 70
using statistical data from 145
using temperature data from 62
using transmission line theory 80
using unpublished data from 156
