urea content of saliva 42
use according to jewish 102
use according to whether 160
use adverbs to modify 277
use affects the market 54
use against an attack 99
use against the allied 126
use against the allies 506
use against the charge 41
use against the church 296
use against the clergy 85
use against the client 121
use against the common 316
use against the cotton 164
use against the disease 156
use against the english 740
use against the forces 125
use against the former 145
use against the french 1166
use against the german 418
use against the greeks 49
use against the indians 450
use against the invading 46
use against the latter 97
use against the person 115
use against the police 222
use against the public 133
use against the rebels 432
use against the regime 45
use against the romans 62
use against the russian 148
use against the soviet 1133
use against the system 99
use against the united 2011
use against the victim 55
use against the whites 50
use alcohol in excess 158
use alcohol or another 97
use alcohol or street 51
use alcohol to escape 242
use alcohol to excess 832
use alcohol to reduce 251
use because he bucked 40
use because it allows 338
use because it appears 51
use because it causes 55
use because it lacked 43
use because it offers 163
use because of changes 91
use because of greater 184
use because of serious 82
use because of severe 120
use because the amount 44
use because the latter 45
use because the number 131
use because the system 49
use between the groups 124
use between the united 144
use between the various 196
use cameras to record 127
use classes to define 61
use cocaine or heroin 185
use condoms in sexual 47
use condoms to reduce 131
use context to decide 41
use context to derive 124
use context to figure 545
use country of origin 141
use criteria or methods 92
use criteria to select 122
use depending on whether 364
use depends on various 55
use depends on whether 2330
use descent in classing 155
use dialogue to convey 44
use digital or analog 128
use dynamic or static 49
use exactly the amount 115
use exceeds the greater 77
use factoring by grouping 49
use factors of safety 225
use fifteen or twenty 61
use fifteen to twenty 90
use figures of speech 3071
use filters to modify 44
use filters to reduce 86
use filters to remove 172
use filters to select 46
use firearms to commit 45
use firearms to defend 145
use forceps or vacuum 102
use forceps to remove 142
use freedom of choice 121
use freedom of speech 528
use futures or options 108
use gravity to assist 117
use himself in shooting 100
use history to carbon 123
use insults to soften 48
use language in school 82
use language in special 44
use language in speech 159
use language in various 218
use language is innate 54
use language or symbol 72
use language to affect 111
use language to assert 156
use language to conceal 449
use language to convey 1539
use language to define 452
use language to direct 305
use language to extend 40
use language to inform 228
use language to manage 138
use language to mediate 241
use language to obtain 154
use language to relate 59
use language to report 61
use language to signal 106
use letters of credit 493
use letters to denote 145
use measures of coercion 50
use measures to reduce 44
use mediation to settle 101
use metrics to measure 107
use millions of colors 48
use mirrors or lenses 89
use needles to inject 133
use nitrate of silver 439
use notepad or another 75
use numbers as labels 135
use numbers to measure 215
use outlook to access 56
use outlook to manage 235
use outside of school 834
use outside the building 185
use outside the church 144
use outside the family 131
use outside the office 183
use outside the school 314
use outside the system 50
use outside the united 2453
use passive or active 72
use pestering me further 61
use phonics to decode 94
use plastic or rubber 187
use plastic or wooden 121
use private or public 317
use profane or vulgar 66
use quicken to manage 115
use quicken to record 82
use receive the influx 41
use reduced the number 46
use reduces the amount 306
use reduces the number 279
use religion to divide 93
use religion to further 131
use research to inform 238
use results in greater 184
use results in higher 152
use rubrics to assess 129
use science to further 51
use sensors to detect 192
use sensors to measure 91
use smaller or larger 149
use sources of energy 210
use spanish in public 40
use spanish or english 128
use surveys to assess 106
use surveys to measure 153
use symbols to convey 361
use symbols to define 181
use symbols to denote 124
use symbols to record 44
use tobacco or liquor 269
use tobacco to excess 278
use torture to elicit 45
use torture to obtain 279
use towards the latter 73
use towards the middle 147
use upwards of twenty 48
use vessels in common 55
use vessels of silver 162
use violence in fighting 99
use violence in opposing 137
use violence in return 211
use violence on behalf 93
use violence or coercion 58
use violence or deceit 89
use violence to assert 191
use violence to attain 431
use violence to combat 40
use violence to compel 237
use violence to defend 1085
use violence to ensure 105
use violence to further 304
use violence to impose 234
use violence to obtain 703
use violence to oppose 219
use violence to punish 170
use violence to pursue 139
use violence to remove 135
use violence to resist 273
use violence to secure 354
use violence to settle 434
use violence to subdue 43
use windows nt server 420
use written or spoken 127
using acrylic on canvas 43
using alcohol in excess 42
using alcohol or phenol 105
using alcohol or street 44
using alcohol to escape 44
using alcohol to excess 342
using alcohol to reduce 63
using animals as models 107
using bunches of hyssop 44
using cocaine or heroin 141
using context to figure 111
using digital or analog 149
using dynamic or static 44
using factors of safety 89
using figures of speech 1141
using forceps or vacuum 46
using freedom of speech 86
using futures or options 78
using glucose as carbon 72
using gravity to assist 78
using landsat tm images 62
using language in public 49
using language in speech 45
using language in various 50
using language to conceal 161
using language to convey 275
using language to define 79
using language to inform 52
using language to mediate 52
using leisure in various 49
using letters of credit 561
using letters to denote 110
using methanol or ethanol 70
using mirrors or lenses 46
using mirrors or prisms 85
using needles to inject 166
using nitrate of silver 357
using notepad or another 128
using numbers to denote 44
using passive or active 142
using plastic or rubber 51
using private or public 104
using religion to further 114
using research to inform 130
using samples of various 53
using sensors to detect 55
using smaller or larger 85
using sources of energy 93
using spanish or english 114
using surface or needle 51
using surveys to measure 55
using symbols to convey 65
using symbols to denote 104
using tariffs or quotas 64
using tobacco to excess 116
using torture to elicit 49
using torture to obtain 197
using violence to attain 135
using violence to defend 136
using violence to further 102
using violence to impose 62
using violence to obtain 65
using violence to oppose 80
using violence to resist 55
using violence to secure 96
using violence to settle 119
using windows nt server 650
using written or spoken 126
