under a battered felt 40
under a beautiful arch 79
under a beautiful blue 107
under a beautiful moon 73
under a beautiful tree 755
under a blossoming tree 161
under a borrowed form 146
under a borrowed name 3839
under a brilliant blue 1025
under a brilliant full 79
under a brilliant moon 548
under a brilliant young 70
under a business duty 434
under a business name 942
under a business suit 68
under a cafeteria plan 1961
under a calabash tree 49
under a category heading 40
under a category other 62
under a category such 80
under a ceaseless rain 44
under a celestial flag 55
under a cemetery wall 110
under a chemical fume 65
under a chemical hood 150
under a chestnut tree 2642
under a christian flag 45
under a christian form 200
under a christian garb 71
under a christian mask 48
under a christian name 462
under a christian roof 189
under a circular arch 87
under a cocoanut palm 75
under a cocoanut tree 336
under a concrete form 121
under a concrete roof 40
under a concrete slab 796
under a condition such 54
under a confused mass 57
under a constant angle 112
under a constant axial 235
under a constant dread 79
under a constant fire 890
under a constant flow 371
under a constant flux 71
under a constant hail 133
under a constant high 115
under a constant load 3116
under a constant rain 126
under a constant rate 269
under a constant shear 281
under a constant threat 1614
under a constant wind 45
under a consumer lease 98
under a containing arch 139
under a continuing duty 841
under a continuing threat 41
under a contract duly 60
under a contract duty 49
under a contract even 60
under a contract fixing 73
under a contract from 1465
under a contract giving 144
under a contract have 99
under a contract having 44
under a contract like 89
under a contract made 2710
under a contract must 183
under a contract naming 52
under a contract only 60
under a contract other 68
under a contract prior 47
under a contract such 263
under a contract theory 345
under a contract there 116
under a contract upon 64
under a contract void 181
under a contract were 99
under a contract when 146
under a contract will 236
under a contract worth 74
under a contrary rule 77
under a converging fire 52
under a corporeal form 112
under a covenant made 55
under a crescent moon 1113
under a criminal code 99
under a cumbrous mass 49
under a currency union 97
under a daylight lamp 46
under a decrepit shed 54
under a definite angle 47
under a definite form 222
under a definite heading 51
under a definite load 186
under a definite name 77
under a definite plan 267
under a definite rent 60
under a definite rule 102
under a definite time 52
under a despotic form 284
under a despotic rule 773
under a despotic sway 117
under a despotic yoke 76
under a detailed plan 54
under a discount rate 49
under a dissecting lens 112
under a distinct form 85
under a distinct heading 200
under a distinct name 255
under a domestic fowl 76
under a dramatic form 55
under a fanciful name 95
under a favorite plum 43
under a favorite tree 145
under a feminine form 75
under a fictional name 64
under a fidelity bond 429
under a fiduciary duty 1222
under a financial lease 190
under a flawless blue 94
