ugly a monster this 88
union i confess one 66
unto a certain end 52
unto a certain man 87
unto a citizen and 52
unto a country near 273
unto a crooked and 179
unto a foolish man 2818
unto a perfect day 288
unto a perfect man 14399
unto a prudent man 151
unto a stranger thou 272
unto a thousand men 43
unto a treasure hid 273
unto a trundling mop 178
upon a balance and 49
upon a balance being 51
upon a balance due 46
upon a balance with 49
upon a balcony and 182
upon a balcony that 326
upon a bargain and 275
upon a bargain that 54
upon a bargain with 48
upon a bastard and 75
upon a battery and 57
upon a bedstead that 64
upon a billowy and 53
upon a biscuit was 52
upon a blanket and 96
upon a blasted heath 53
upon a blessed one 68
upon a boulder and 267
upon a boulder near 55
upon a british man 105
upon a broader and 882
upon a cabbage leaf 65
upon a capital idea 112
upon a careful and 1165
upon a careful use 50
upon a carriage and 112
upon a carriage that 170
upon a carriage with 90
upon a carrier for 58
upon a cashier who 41
upon a cautious and 64
upon a central and 102
upon a central area 50
upon a central idea 190
upon a central pin 61
upon a century ago 202
upon a century and 172
upon a certain act 98
upon a certain age 131
upon a certain and 189
upon a certain area 226
upon a certain day 9414
upon a certain death 91
upon a certain end 93
upon a certain few 164
upon a certain heap 71
upon a certain idea 205
upon a certain jew 85
upon a certain law 64
upon a certain lot 107
upon a certain man 154
upon a certain non 41
upon a certain old 46
upon a certain one 165
upon a certain path 70
upon a certain sad 40
upon a certain set 513
upon a certain sum 684
upon a certain use 42
upon a certain way 174
upon a charger and 41
upon a charter for 45
upon a chemist that 40
upon a chicken that 107
upon a chinese fan 56
upon a chronic one 57
upon a circuit with 85
upon a citizen and 42
upon a citizen for 47
upon a citizen going 51
upon a citizen who 112
upon a colored man 140
upon a compact and 61
upon a compact with 86
upon a company and 65
upon a company for 79
upon a company that 269
upon a complex and 467
upon a complex mix 87
upon a complex set 721
upon a complex web 127
upon a conceit that 362
upon a concept and 48
upon a concept that 598
upon a concern for 532
upon a concern that 334
upon a concern with 236
upon a confiding and 73
upon a contest for 190
upon a contest that 95
upon a contest with 620
upon a context that 51
upon a contour map 51
upon a correct and 160
upon a corrupt and 276
upon a council being 52
upon a country and 177
upon a country for 85
upon a country not 107
upon a country than 83
upon a country that 750
upon a country with 184
upon a cracked and 169
upon a cracker box 340
upon a creature that 1022
upon a creature was 208
upon a creature who 195
upon a cripple now 80
upon a crowded and 55
upon a crowned head 137
upon a crusade for 190
upon a crushed and 51
upon a crystal and 58
upon a culture and 97
upon a culture that 414
upon a current that 92
upon a cursory and 135
upon a decayed log 81
upon a decision and 80
upon a decision being 51
upon a decision for 46
upon a decision that 592
upon a defeated but 60
upon a defined and 47
upon a dialogue with 155
upon a diseased eye 40
upon a dispute that 363
upon a dispute with 189
upon a distant and 757
upon a distant end 49
upon a distant sky 89
upon a distant toy 145
upon a distant war 169
upon a diverse and 43
upon a diverse set 91
upon a divided and 101
upon a division and 124
upon a division that 59
upon a division was 40
upon a divorce and 43
upon a divorce for 63
upon a divorce with 60
upon a drunken man 131
upon a dunghill and 50
upon a dunghill for 54
upon a durable and 50
upon a dutiful and 41
upon a dynamic and 108
upon a european war 130
upon a faithful and 123
upon a faithful old 73
