use personal compulsion towards 57
use physical aggression against 86
use slightly different criteria 216
use slightly different formats 40
use slightly different language 498
use slightly different notation 123
use slightly different symbols 84
use slightly different systems 100
use slightly different versions 193
use somewhat different criteria 215
use somewhat different language 208
use unlisted telephone numbers 63
using multiple knowledge sources 47
using physical aggression against 50
using publicly available sources 55
using randomly generated numbers 103
using slightly different criteria 128
using slightly different language 153
using slightly different measures 41
using slightly different notation 78
using somewhat different criteria 145
using somewhat different language 130
using somewhat different measures 69
using specific diagnostic criteria 49
using standard conversion factors 78
using standard diagnostic criteria 75
