wafers representing the 86
wagering information by 1218
wagons accompanying the 112
wagons approached the 138
wagons disappeared in 42
wagons immediately on 43
wagons sufficient to 87
wagons surrounded by 132
wagons transporting the 102
waited breathlessly as 716
waited breathlessly at 54
waited breathlessly in 206
waited breathlessly on 51
waited breathlessly the 56
waited breathlessly to 925
waited constantly on 60
waited discreetly in 145
waited discreetly to 42
waited downstairs at 57
waited downstairs in 416
waited downstairs on 40
waited downstairs to 242
waited helplessly as 93
waited helplessly in 132
waited helplessly on 63
waited helplessly to 77
waited immediately on 244
waited listlessly in 55
waited obediently in 71
waited personally on 256
waited restlessly at 73
waited restlessly in 188
waited restlessly on 57
waited restlessly to 63
waited tranquilly the 133
waiter approached me 148
waiter approached the 804
waiter approached to 286
waiter approached us 146
waiter approaches the 95
waiter attributes the 63
waiter disappeared to 53
waiter recognized me 40
waiter remembered the 57
waived application of 95
waived regardless of 55
waiver applicable to 77
waiver application in 61
waiver application is 280
waiver application on 73
waiver application to 84
waiver procedures of 56
waiver prohibited by 47
waiver regardless of 65
waiver reinforces the 73
waives prosecution by 139
walked agitatedly up 174
walked barefooted in 421
walked barefooted on 429
walked barefooted to 545
walked barefooted up 47
walked carelessly at 57
walked carelessly in 44
walked carelessly on 111
walked carelessly to 104
walked carelessly up 205
walked ceaselessly up 119
walked cheerfully on 104
walked cheerfully to 365
walked cheerfully up 52
walked composedly to 128
walked constantly in 131
walked constantly to 43
walked decisively to 69
walked decorously to 45
walked decorously up 93
walked dejectedly to 221
walked dejectedly up 55
walked delicately as 40
walked delicately in 60
walked delicately on 78
walked delicately to 41
walked disorderly or 61
walked downstairs as 127
walked downstairs at 51
walked downstairs by 44
walked downstairs he 125
walked downstairs in 360
walked downstairs on 105
walked downstairs to 6853
walked everywhere he 165
walked everywhere in 295
walked everywhere on 82
walked everywhere to 77
walked everywhere we 102
walked feverishly up 166
walked frequently in 107
walked frequently to 49
walked gracefully in 51
walked gracefully on 60
walked gracefully to 301
walked gracefully up 329
walked habitually on 79
walked hesitantly to 314
walked hesitantly up 309
walked hesitatingly to 59
walked hesitatingly up 150
walked immediately in 135
walked immediately to 932
walked immediately up 150
walked listlessly to 197
walked listlessly up 102
walked obediently to 158
walked resolutely in 58
walked resolutely on 236
walked resolutely to 786
walked resolutely up 712
walked restlessly in 75
walked restlessly to 828
walked restlessly up 2647
walked reverently to 46
walked separately or 78
walked separately to 81
walked sheepishly to 47
walked sluggishly to 46
walked steadfastly in 111
walked steadfastly to 59
walked straighter in 43
walked straightly in 44
walked surrounded by 333
walked unassisted at 41
walked unassisted to 313
walked unattended in 59
walked unattended to 42
walked unescorted to 105
walked unmolested to 60
walked vigorously in 75
walked wordlessly to 89
walled boundaries of 159
walled containers of 87
walled courtyards in 51
walled courtyards of 218
walled enclosures at 97
walled enclosures in 618
walled enclosures of 1108
walled enclosures on 201
walled enclosures or 118
walled enclosures to 157
walled fortresses in 63
walled fortresses of 139
walled settlement at 193
walled settlement in 188
walled settlement of 587
walled settlement on 184
walled structures as 135
walled structures in 362
walled structures is 186
walled structures of 532
walled structures on 47
walled structures to 103
walled wilderness of 41
wallet photograph of 57
wallow helplessly in 366
wallow luxuriously in 77
wallow yourselves in 179
walnut overshadow it 68
wampum decorations of 69
wander bewildered in 57
wander carelessly in 47
wander ceaselessly in 40
wander constantly in 54
wander constantly to 90
wander distraught in 73
wander downstairs to 101
wander everywhere in 169
wander helplessly in 145
wander hopelessly in 86
wander insensibly to 59
wander restlessly in 148
wander restlessly to 48
wander restlessly up 111
wander solicitous of 147
wander unconfined in 52
wander unmolested in 47
wangled invitations to 88
wanted absolutely no 644
wanted absolutely to 466
wanted acceptance as 124
wanted acceptance by 89
wanted acceptance in 42
wanted acceptance of 138
wanted admittance to 67
wanted affirmation of 47
wanted alterations in 49
wanted amendments to 150
wanted apparently to 90
wanted applicants to 43
wanted architects to 42
wanted assistance in 887
wanted assistance of 100
wanted assistance on 46
wanted assistance or 66
wanted assistance to 541
wanted assurances as 95
wanted assurances of 375
wanted assurances on 64
wanted australians to 194
wanted authorities to 101
wanted background on 48
wanted broadcasting to 55
wanted businesses to 42
wanted candidates to 121
wanted capitalism to 50
wanted catholicism to 83
wanted commissions in 66
wanted competition in 63
wanted completely to 109
wanted concessions in 99
wanted concessions on 151
wanted concessions to 82
wanted confidence in 505
wanted confidence to 147
wanted congressmen to 73
wanted consciously to 152
wanted constantly to 171
wanted continuity in 64
wanted continuity of 66
wanted cooperation to 50
wanted cornwallis to 95
wanted decorations of 54
wanted definitely to 152
wanted developers to 43
wanted discipline to 65
wanted discussions to 46
wanted earnestness of 40
wanted economists to 57
wanted efficiency in 81
wanted eisenhower to 538
wanted elimination of 63
wanted employment as 123
wanted employment in 261
wanted employment of 54
wanted employment to 58
wanted enormously to 126
wanted essentially the 87
wanted essentially to 110
wanted eventually to 835
wanted everywhere at 108
wanted everywhere in 77
wanted everywhere to 172
wanted excellence in 68
wanted excitement in 121
wanted excitement to 88
wanted experience in 268
wanted experience of 123
wanted experience to 125
wanted explanation of 115
wanted explicitly to 111
wanted facilities to 69
wanted fitzgerald to 97
wanted foreigners to 175
wanted government by 440
wanted government to 4814
wanted grandfather to 177
wanted grandmother to 177
wanted guarantees of 367
wanted guarantees on 46
wanted immediately at 321
wanted immediately by 89
wanted immediately in 195
wanted immediately on 97
wanted immediately to 1258
wanted immigrants to 195
wanted immigration to 165
wanted inclination to 227
wanted indirectly to 58
wanted industries to 40
wanted information as 1201
wanted information at 95
wanted information he 287
wanted information in 489
wanted information is 334
wanted information of 405
wanted information on 15674
wanted information or 558
wanted information so 49
wanted information to 879
wanted instruction as 49
wanted instruction in 339
wanted instruction on 72
wanted instruction to 68
wanted integration in 75
wanted integration of 95
wanted integration to 78
wanted invitations to 55
wanted khrushchev to 160
wanted legislation on 84
wanted legislation to 412
wanted limitations on 74
wanted literature to 363
wanted management to 273
wanted mathematics to 56
wanted membership in 313
wanted membership of 47
wanted membership to 102
wanted minorities to 44
wanted montgomery to 86
wanted negotiations on 65
wanted negotiations to 252
wanted newspapers to 97
wanted nonetheless to 137
wanted originally to 256
wanted palmerston to 56
wanted penetration or 52
wanted penetration to 55
wanted performers to 60
wanted personally to 823
wanted philosophy to 599
wanted physically at 112
wanted physically to 77
wanted politicians to 286
wanted positively to 98
wanted professors to 43
wanted profoundly to 45
wanted psychology to 248
wanted quantities of 58
wanted reassurance of 72
wanted reassurance on 59
wanted recognition as 1618
wanted recognition by 100
wanted recognition in 88
wanted recognition of 2032
wanted references to 81
wanted regardless of 692
wanted reparations to 52
wanted researchers to 76
wanted reservation of 76
wanted resistance to 43
wanted restitution of 60
wanted restoration of 619
wanted richardson to 61
wanted scientists to 345
wanted settlement of 57
wanted shakespeare to 57
wanted shrewdness of 44
wanted simplicity in 54
wanted solidarity to 51
wanted southerners to 80
wanted spectators to 83
wanted suggestions as 73
wanted suggestions on 86
wanted technology to 120
wanted terrorists in 280
wanted ultimately to 446
wanted unification of 124
wanted uniformity in 73
wanted uniformity of 91
wanted volunteers to 261
wanted wherewithal to 160
wanton aggravation of 107
wanton aggressions of 150
wanton aggressions on 51
wanton application of 147
wanton atrocities of 50
wanton atrocities on 56
wanton bitterness of 40
wanton celebration of 42
wanton confidence of 46
wanton consumption of 180
wanton dairymaids of 42
wanton debasement of 43
wanton defacement of 51
wanton degradation of 87
wanton deprivation of 44
wanton dereliction of 44
wanton desecration of 383
wanton destroyers of 341
wanton destruction as 550
wanton destruction at 431
wanton destruction by 1181
wanton destruction he 45
wanton destruction in 747
wanton destruction is 539
wanton destruction it 55
wanton destruction of 73065
wanton destruction on 217
wanton destruction or 667
wanton destruction the 78
wanton destruction to 265
wanton devastation of 775
wanton dishonesty as 83
wanton disposition of 180
wanton disposition to 74
wanton disrespect to 54
wanton dissipation of 183
wanton disturbers of 118
wanton exhibitions of 96
wanton exuberance of 146
wanton imagination of 168
wanton inclination to 50
wanton indulgence in 175
wanton indulgence of 351
wanton infringement of 118
wanton loveliness of 57
wanton misconduct as 224
wanton misconduct by 133
wanton misconduct in 253
wanton misconduct is 224
wanton misconduct of 519
wanton misconduct on 266
wanton misconduct or 217
wanton misconduct to 60
wanton mutilations of 42
wanton negligence in 104
wanton negligence is 59
wanton negligence of 199
wanton negligence on 119
wanton negligence or 114
wanton observance of 47
wanton persecution of 322
wanton profanation of 186
wanton profligacy of 44
wanton prolongation of 62
wanton provocation of 239
wanton sacrifices of 43
wanton savageness by 50
wanton slaughtering of 46
wanton suppression of 50
wanton termination of 56
wanton wickedness of 252
warden approached the 42
warder interfered in 42
warhead equivalent to 95
warily approached the 1488
warily approaches the 73
warily determined the 123
warily determined to 49
warmed appreciably by 40
warmed immediately by 44
warmed immediately to 276
warmer appreciation of 276
warmer atmosphere in 106
warmer atmosphere is 72
warmer atmosphere of 545
warmer atmosphere to 72
warmer attachment to 253
warmer expressions of 187
warmer localities of 53
warmer politicians in 70
warmer recognition of 90
warmer sentiments of 115
warmly appreciated as 162
warmly appreciated at 62
warmly appreciated by 1825
warmly appreciated in 296
warmly appreciated the 551
warmly appreciates the 122
warmly befriended by 174
warmly befriended the 56
warmly celebrated by 78
warmly celebrated in 48
warmly celebrated the 58
warmly complained of 163
warmly criticized by 40
warmly deprecated the 88
warmly disapprove of 42
warmly encouraged by 1469
warmly encouraged in 160
warmly encouraged it 116
warmly encouraged me 210
warmly encouraged my 135
warmly encouraged the 736
warmly encouraged to 296
warmly encouraged us 60
warmly expressive of 102
warmly hospitable to 140
warmly interceded in 207
warmly interested as 146
warmly interested at 44
warmly interested by 67
warmly interested in 6061
warmly interested me 49
warmly interested on 88
warmly interested the 188
warmly interposed the 53
warmly introduced by 81
warmly introduced to 126
warmly maintained by 426
warmly maintained in 72
warmly maintained on 99
warmly maintained the 195
warmly manifested by 53
warmly patronized by 527
