wag horizontally or 45
war accommodated in 70
war accomplished the 65
war achievements in 250
war achievements of 530
war acknowledged by 44
war acknowledged the 69
war administered by 50
war administered the 43
war appropriations in 113
war appropriations to 94
war architecture in 265
war architecture of 152
war availability of 151
war capabilities in 136
war capabilities of 305
war capabilities to 84
war collaboration in 112
war commemorates the 46
war commemoration in 95
war commissioners of 85
war communicated to 57
war concentrated in 96
war concentrated on 488
war concentrated the 68
war concentrates on 54
war concentration of 189
war concentration on 141
war condescended to 60
war configuration of 144
war conflagration in 42
war confrontation in 265
war confrontation of 51
war confrontation to 90
war consciousness in 44
war consciousness of 105
war consequences of 211
war consideration of 143
war consolidated the 97
war consolidation of 165
war constellation of 96
war constitutions of 233
war constructions of 59
war contemplated by 136
war contradicted the 41
war contributions as 153
war contributions by 51
war contributions in 441
war contributions is 105
war contributions of 576
war contributions on 259
war contributions or 48
war contributions to 548
war corresponded in 52
war corresponded to 159
war crystallized the 57
war deliberately to 91
war demonstrated by 55
war demonstrated in 63
war demonstrated the 1880
war demonstrated to 301
war demonstrates the 293
war demonstration as 40
war demonstration at 412
war demonstration by 52
war demonstration in 2300
war demonstration of 282
war demonstration on 286
war destabilized the 42
war determination to 153
war developments as 602
war developments at 60
war developments by 40
war developments in 7212
war developments is 122
war developments of 808
war developments on 150
war developments the 222
war developments to 56
war dictatorship of 178
war difficulties in 396
war difficulties of 680
war disorganized the 61
war disturbances in 210
war disturbances of 51
war expenditures as 466
war expenditures at 181
war expenditures by 818
war expenditures in 1357
war expenditures is 281
war expenditures of 1775
war expenditures on 221
war expenditures or 151
war expenditures the 51
war expenditures to 409
war foreshadowed the 130
war impoverished the 118
war imprisonment in 117
war improvements in 440
war incarcerated in 127
war indebtedness of 194
war indebtedness to 134
war indefinitely by 55
war indefinitely in 81
war independence of 154
war indifference to 100
war individually or 74
war installations as 45
war intelligence on 203
war intelligence to 49
war intelligible to 58
war international co 127
war interrogation of 210
war investigation of 185
war irrespective of 484
war manifestation of 48
war manufactured by 67
war manufactured in 67
war modernization of 139
war necessitated an 156
war necessitated by 81
