wan crescent scarcely 137
war actually declared 151
war actually happened 49
war actually increased 77
war actually occurred 223
war actually prevails 108
war actually threatened 85
war affected american 168
war affected children 96
war affected everyone 81
war aircraft industry 134
war american business 73
war american economic 165
war american hegemony 60
war american industry 152
war american military 531
war american officials 106
war american politics 210
war american sociology 171
war american soldiers 236
war benjamin franklin 93
war business activity 40
war chemical industry 133
war commonly employed 75
war criminal suspects 1106
war cultural politics 117
war declared pursuant 123
war demanded immediate 49
war depended entirely 90
war differed markedly 58
war directed attention 46
war directly affected 358
war diverted attention 279
war doctrine provides 49
war domestic policies 45
war domestic politics 58
war economic activity 196
war economic collapse 231
war economic condition 123
war economic controls 51
war economic distress 141
war economic downturn 90
war economic expansion 1373
war economic miracles 94
war economic orthodoxy 42
war economic policies 780
war economic problems 1951
war economic progress 51
war economic questions 48
war economic recession 346
war economic recovery 2691
war economic relations 386
war economic situation 1191
war economic strategy 187
war economic troubles 60
war everyone expected 44
war expenses amounted 202
war expenses incurred 245
war feminist movement 63
war financial problems 292
war financial situation 79
war financial stringency 197
war formally declared 313
war incident recorded 65
war industry expanded 43
war japanese business 150
war japanese economic 492
war japanese education 123
war japanese industry 238
war japanese military 94
war japanese politics 893
war keynesian economic 107
war manpower shortage 103
war materials captured 46
war materials destined 190
war materials directly 42
war materials imported 82
war materials increased 73
war materials industry 52
war materials intended 334
war materials produced 134
war materials provided 129
war materials required 115
war materials supplied 281
war materiel captured 121
war materiel destined 163
war materiel produced 63
war materiel required 99
war materiel supplied 107
war military alliances 56
war military doctrine 55
war military strategy 230
war minister declared 55
war minister demanded 42
war minister informed 44
war occurred tomorrow 40
war planners believed 86
war pressure remained 44
war produced economic 43
war produced enormous 43
war produced numerous 47
war provided numerous 50
war publicly declared 67
war purposes amounted 51
war purposes increased 51
war recently declared 41
war remained confined 66
war remained constant 64
war remained doubtful 45
war remained unchanged 191
war rendered possible 57
war security concerns 96
war seriously affected 363
war seriously hampered 41
war seriously threatened 59
war services rendered 244
war severely affected 128
war severely strained 45
war situation demanded 338
war situation developing 70
war situation develops 159
war situation improved 132
war situation provided 52
war situation required 126
war situation worsened 687
war socialist movement 157
war strained relations 48
war strategy designed 105
war suffrage movement 117
war supplies destined 159
war supposed nobility 81
war tradition provides 122
war trophies captured 43
war veterans received 190
war veterans returned 238
war weariness increased 62
war whatever happened 54
war whenever possible 206
war wherever possible 99
was abandoning socialism 61
was abjectly grateful 114
was abolishing monarchy 53
was abruptly accosted 57
was abruptly arrested 504
was abruptly attacked 42
was abruptly awakened 1054
was abruptly banished 61
was abruptly canceled 1905
was abruptly conscious 208
was abruptly declared 67
was abruptly declined 45
was abruptly decreased 65
was abruptly deprived 112
was abruptly derailed 115
was abruptly devalued 41
was abruptly diverted 160
was abruptly eclipsed 67
was abruptly expelled 125
was abruptly finished 69
was abruptly followed 106
was abruptly increased 228
was abruptly informed 790
was abruptly notified 72
was abruptly overcome 103
was abruptly promoted 44
was abruptly quenched 83
was abruptly recalled 734
was abruptly rejected 260
was abruptly relieved 462
was abruptly reminded 363
was abruptly replaced 839
was abruptly required 43
was abruptly resolved 43
was abruptly restored 60
was abruptly returned 88
was abruptly reversed 2030
was abruptly silenced 1114
was abruptly snatched 120
was abruptly startled 100
was abruptly stripped 99
was abruptly summoned 824
was abruptly switched 227
was abruptly withdrawn 987
was abruptly wrenched 51
was absently scratching 47
was absolute accuracy 43
was absolute authority 387
was absolute bullshit 84
was absolute confusion 93
was absolute darkness 285
was absolute dictator 282
was absolute disaster 48
was absolute dynamite 45
was absolute equality 340
was absolute evidence 74
was absolute fidelity 54
was absolute identity 64
was absolute immunity 49
was absolute insanity 114
