wad vindicate nae 116
wag appointed to 163
wag compelled to 156
wag described as 128
wag described it 99
wag described the 204
wag expressed it 162
wag necessary to 208
wag presented to 94
wag published in 474
wag succeeded by 63
wag suggested the 136
wag suggested to 222
wan appearance of 190
wan compelled to 41
wan complexion of 74
wan expression of 128
wan expression on 44
wan necessary to 97
wan procession of 51
wan published in 152
wan reflection in 45
wan reflection of 313
wan starlight as 161
war abandoned by 58
war abandoned the 94
war abolished the 85
war abrogated the 61
war abrogates the 45
war activists as 133
war activists at 44
war activists in 457
war activists of 124
war activists to 147
war addressed to 164
war adventure as 59
war adventure in 173
war advocated by 238
war advocated the 56
war advocates in 248
war advocates of 294
war afflicted the 62
war affluence in 105
war agitators in 44
war agreement on 47
war agreement to 111
war alienated the 103
war alignment of 119
war allegedly to 48
war allocation of 71
war allowance of 150
war altogether as 391
war altogether by 98
war altogether if 41
war altogether in 76
war altogether or 140
war altogether to 49
war amendment to 75
war americans in 44
war amplified the 45
war analogous to 222
war annexation of 111
war announced by 152
war announced in 93
war announced the 74
war anxieties of 46
war apparatus of 173
war appearance in 47
war appearance of 146
war appointed as 65
war appointed by 119
war appointed to 287
war approaching in 65
war approaching the 352
war approaching to 112
war arguments in 110
war arguments of 120
war arguments to 40
war armaments of 68
war assembled at 158
war assembled by 58
war assembled in 175
war assembled on 236
war assembled to 55
war association of 154
war assumption of 47
war attempted to 842
war attitudes in 276
war attitudes of 688
war attitudes to 510
war attracted the 195
war attribute of 92
war augmented the 98
war austerity in 140
war austerity of 87
war authorized by 211
war authorized the 173
war authorized to 118
war authorizes no 59
war authorizes the 60
war available in 191
war available to 528
war avoidance in 125
war avoidance is 146
war battalions of 58
war beautified by 43
war beneficial to 81
war benefited the 187
war blockaded the 91
war bolstered the 55
war bombarded the 69
war broadened the 102
war broadened to 47
war bulletins in 112
war bulletins of 157
war bulletins on 48
war bulletins to 44
war campaigns in 386
war campaigns of 368
war campaigns to 104
war candidacy of 47
war candidate in 130
war candidate on 99
war captivity is 174
war catalyzed the 44
war certainly do 65
war certainly is 141
