wakened sensibility and 155
wandering albatrosses and 143
wandering communities who 129
wandering desultorily thus 79
wandering individuals and 40
wandering individuals are 41
wandering macrophages and 196
wandering macrophages are 44
wandering missionaries and 54
wandering missionaries who 47
wandering philosopher and 66
wandering philosopher who 60
wandering philosopher with 47
wandering prospectors who 81
wandering subscription man 61
wandering troubadours and 101
wandering troubadours who 113
wardens responsible for 170
warfare experiments and 73
warfare intensified and 58
warfare transformed her 40
warlike complication with 52
warlike disturbance had 52
warlike enterprises and 271
warlike enterprises with 93
warlike inclinations and 49
warlike instructions with 65
warlike instruments and 312
warlike instruments are 116
warlike instruments that 40
warlike instruments with 55
warlike predecessor had 179
warlike preparations all 50
warlike preparations and 2357
warlike preparations are 655
warlike preparations being 112
warlike preparations both 92
warlike preparations for 427
warlike preparations going 151
warlike preparations had 234
warlike preparations now 50
warlike preparations than 117
warlike preparations that 1427
warlike preparations they 47
warlike preparations was 177
warlike preparations with 353
warlike temperament and 61
warlord governments and 100
warlord responsible for 93
warmest animosities and 41
warmest commendation and 82
warmest commendation for 78
warmest friendships are 40
warmest hospitality and 126
warmest predilection for 98
warmest relationship with 40
warrant applications and 127
warrant applications are 167
warrant applications for 108
warrant compensation for 112
warrant consultation with 406
warrant development and 41
warrant intervention and 234
warrant nevertheless may 59
warrant requirement and 1220
warrant requirement are 840
warrant requirement but 114
warrant requirement can 568
warrant requirement did 183
warrant requirement does 624
warrant requirement for 3044
warrant requirement has 593
warrant requirement may 242
warrant requirement nor 51
warrant requirement not 160
warrant requirement set 54
warrant requirement that 644
warrant requirement was 805
warriors accompanied him 171
warriors accompanied them 121
warriors responsible for 178
warship construction and 475
warship construction for 43
warship construction was 319
wartime achievement was 90
wartime arrangements and 59
wartime arrangements for 329
wartime arrangements had 49
wartime arrangements with 72
wartime camaraderie and 97
wartime commitments and 60
wartime comradeship and 83
wartime comradeship with 51
wartime conferences and 279
wartime conferences that 54
wartime conferences was 56
wartime conferences with 234
wartime conscription and 64
wartime constraints and 44
wartime construction and 121
wartime construction was 61
wartime contribution and 55
wartime contribution was 85
wartime conversation with 47
wartime deprivations and 83
wartime development and 111
wartime development that 158
wartime development was 228
wartime dislocations and 179
wartime emancipation and 63
wartime emergencies and 125
wartime environment and 76
wartime expenditure and 133
wartime expenditure was 60
wartime experiences and 2245
wartime experiences are 323
wartime experiences but 106
wartime experiences can 66
wartime experiences did 155
wartime experiences for 144
wartime experiences had 656
wartime experiences led 79
wartime experiences may 60
wartime experiences that 674
wartime experiences was 179
wartime experiences with 807
wartime experiments and 41
wartime experiments with 121
wartime friendships and 45
wartime governments and 67
wartime governments had 70
wartime hostilities and 51
wartime institutions and 44
wartime involvement with 133
wartime mobilization and 601
wartime mobilization had 111
wartime mobilization that 40
wartime mobilization was 150
wartime necessities and 74
wartime organization and 99
wartime organization for 99
wartime organization that 41
wartime organization was 94
wartime partnership and 51
wartime partnership with 229
wartime performance and 79
wartime performance was 90
wartime photographs and 58
wartime preoccupation with 110
wartime preparations for 51
wartime procurement and 82
wartime publications and 42
wartime relationship was 74
wartime relationship with 534
wartime replacement for 41
wartime requirement for 87
wartime restrictions and 1228
wartime restrictions are 68
wartime restrictions had 174
wartime restrictions that 153
wartime restrictions was 53
wartime underground and 55
watched alternately with 68
watched assiduously for 44
watched attentively and 233
watched attentively for 163
watched continually and 84
watched continually for 143
watched expectantly for 221
watched impassively and 77
watched impatiently for 558
watched incessantly for 45
watched preparations for 135
watched suspiciously and 87
watched suspiciously for 94
watered occasionally and 54
watered occasionally with 87
