call those resemblances of the 46
came down emphatically on the 59
came from consideration of the 53
came from developments in the 55
came from improvements in the 57
came from participants in the 72
came from participation in the 81
came home unexpectedly in the 60
came into consciousness in the 44
came into consideration in the 61
came more specifically to the 66
came there appropriately in the 45
cars were manufactured in the 117
case acts continuously on the 43
case more particularly in the 53
case were communicated to the 65
cash flow attributable to an 40
cash flow attributable to the 261
cash flow consequences of the 93
cash flow requirements of the 519
cast down righteousness to the 178
cease their participation in the 48
cell fate determination in the 227
cell fate specification in the 370
cell wall constituents in the 41
cell wall constituents of the 107
cent were concentrated in the 131
clear from consideration of the 203
clear upon consideration of the 91
cold ocean temperatures in the 49
come down considerably in the 97
come down dramatically in the 71
come down substantially in the 54
come from consideration of the 206
come from contamination of the 46
come from developments in the 75
come from improvements in the 225
come from investigation of the 40
come from modifications of the 52
come from participation in the 203
come into consciousness as an 44
come into consciousness at the 49
come into consciousness in the 60
come into consideration as an 80
come into consideration as the 162
come into consideration if the 50
come into consideration in so 41
come into consideration in the 781
come into manifestation in the 45
come more appropriately in the 44
come more particularly to the 282
coming into consciousness in the 46
coming into consciousness of the 203
cuts down considerably on the 293
cuts down tremendously on the 42
