calf belongs to the cow 52
calf muscle of the leg 83
call earlier in the day 513
call loudly on us for 66
call someone to be with 84
calm repose of the man 93
calm rested on the bay 57
calm waters in the lee 97
calm waters of the bay 1041
came aboard of us and 129
came aboard us to buy 51
came abreast of an old 42
came abreast of me and 81
came abreast of the car 94
came abreast of the man 56
came abreast of the old 59
came abreast of the two 174
came abreast of the van 52
came abreast of us and 73
came across an ad for 196
came across an ad that 110
came across in an old 104
came across in my own 61
came across in the way 78
came across it in his 108
came across it in one 60
came across on the way 169
came across the sea and 188
came across the sea with 106
came across to me and 492
came across to me that 41
came across to me was 43
came across to me with 83
came across to my bed 60
came across to the bed 161
came across to the car 47
came across to us and 116
came almost at the end 204
came almost to an end 483
came almost to the end 141
came almost to the top 243
came almost up to her 56
came almost up to his 110
came almost up to our 84
came always in the end 64
came around at the end 213
came around in the end 123
came around to me and 174
came around to my way 210
came around to the end 40
came around to the far 42
came around to the head 46
came around to the idea 721
came around to the rear 404
came ashore at the end 50
came before me in this 40
came before the king and 1264
came before the king for 65
came before the king with 127
came blushing up the sky 53
came boldly up to him 127
came bounding up the path 65
came bounding up to her 147
came bounding up to him 143
came bounding up to them 106
came bubbling up in air 40
came bubbling up in our 44
came bustling up to him 87
came bustling up to them 82
came charging at me and 51
came charging at me with 51
came clearly to my ears 59
came clearly to the ears 73
came closer to it than 209
came closer to me and 716
came closer to me than 49
came closer to me with 41
came closer to my bed 51
came closer to the bed 576
came closer to the boy 54
came closer to the car 89
came closer to the earth 190
came closer to the end 115
came closer to the idea 57
came closer to the man 126
came closer to the old 45
came closer to the real 139
came closer to the sun 75
came closer to the top 137
came closer to the two 139
came closer to us and 54
came closer to us than 58
came crashing in on her 185
came crashing in on him 161
came crashing in on them 46
came crashing to an end 144
came crashing to the earth 412
came crawling up to him 44
came creeping up on our 50
came creeping up to her 44
came crowding in on her 93
came crowding in on him 114
came crowding in to see 73
came crowding up in her 99
came drifting in to him 56
came drifting up to him 47
came drifting up to his 40
came earlier in the day 95
came earlier in the year 191
came floating in the air 91
came floating on the air 231
came floating to the top 131
came floating up to her 42
came floating up to him 135
came floating up to them 76
came flocking in to see 71
came flocking to the new 51
came flocking to the pen 67
came flooding in on her 50
came flooding in on him 73
came gently up to her 40
came hovering in the air 108
came humbly in to say 66
came hurrying in to say 80
came hurrying in to see 49
came hurrying up the path 110
came hurrying up to her 93
came hurrying up to him 162
came hurrying up to see 54
came hurrying up to them 151
came knocking at my wee 223
came lately as an old 45
came marching at the head 64
came mounting up the path 93
came nearest to it and 41
came nearest to it was 79
came nearest to the idea 57
came nearest to the old 125
came notice to me that 54
came plodding to the inn 301
came plodding up the path 60
came slowly if at all 53
came slowly to an end 190
came slowly to the end 74
came slowly up the long 49
came slowly up the path 188
came slowly up to her 79
came slowly up to him 121
came slowly up to his 47
came slowly up to them 68
came softly by the path 42
came softly on the air 41
came softly up to her 48
came striding up the path 123
came striding up to her 41
came striding up to him 46
came striding up to them 67
came sweeping up the bay 85
came sweeping up to her 55
came swimming up to her 53
came swimming up to him 66
came through at the end 244
came through in the end 317
came through in the way 99
came through of the death 53
came through on the day 50
came through on the way 129
came through to me and 96
came through to me that 323
came through to me was 88
came through to me with 68
came through to us that 123
came toddling up to them 52
came trooping in to get 43
came trooping in to see 46
came trotting up on his 43
came trotting up the path 54
came trotting up to her 61
came trotting up to him 119
came trotting up to his 52
came trotting up to them 98
came trudging up the path 48
came tumbling to the earth 119
came wholly to an end 120
camp earlier in the day 110
cant phrase of the day 783
cant topics of the day 107
card placed at the end 42
card system is in use 41
care before it is too 87
care center in the area 45
care enough of in its 97
care enough to do that 164
care enough to do this 114
care little if at all 57
care should be to get 48
care should be to heal 40
care should be to see 114
care system at the end 43
care system in the usa 150
care whether he be dead 64
care whether he is dead 59
care whether he or she 234
care whether it is for 82
care whether or no she 43
care whether or no they 143
cars looked as if they 83
cars parked at the end 54
cars parked in the area 161
cars parked in the lot 1256
cars parked on the far 59
cars parked on the lot 55
cart driven by an old 74
cart pulled by an old 58
case allows us to see 91
case appears to be due 67
case appears to be one 1382
case appears to be that 1439
case appears to be this 241
case appears to me not 58
case arises as to how 51
case before the king and 244
case before us do not 78
case before us in this 48
case before us is not 691
case before us is one 1193
case before us is that 653
case before us is this 58
case before us it can 99
case before us it does 46
case before us it may 138
case before us it was 147
case before us the act 54
case before us the new 49
case before us the tax 44
case before us we are 187
case before us we may 122
case better if it did 160
case earlier in the day 61
case earlier in the year 222
case except in so far 76
case herein is as with 227
case neither of the two 589
case number at the top 41
case permit us to use 192
case proved to be one 487
case proved to be that 157
case proves to be one 177
case refers to the use 56
case report of the use 246
case report on the use 102
case seemed to be going 141
case seemed to be one 183
case seemed to be that 305
case should be the one 57
case should he or she 42
case should in no way 44
case simply as it was 58
case standing as it did 55
case standing as it doth 82
case through to the end 572
case unless he or she 78
cash amount at the end 48
cash drawer at the end 214
cash inflow at the end 817
cash inflow in the year 81
cash portion of the deal 51
