cal of heat is absorbed 120
can an act of cognition 67
can as far as possible 228
can as ill be ascribed 46
can as yet be answered 66
can as yet be asserted 49
can as yet be assigned 126
can as yet be attached 53
can as yet be detected 47
can as yet be expected 56
can as yet be obtained 43
can as yet be regarded 98
can as yet be scarcely 47
can at all be achieved 40
can at all be compared 1112
can at all be depended 63
can at all be expected 67
can at all be observed 41
can at all be regarded 205
can at all be supposed 121
can be and an absolute 46
can be and do whatever 56
can be and is achieved 89
can be and is actually 70
can be and is affected 65
can be and is attained 46
can be and is disputed 47
can be and is effected 44
can be and is employed 95
can be and is enforced 42
can be and is extended 47
can be and is modified 60
can be and is obtained 78
can be and is overcome 49
can be and is produced 148
can be and is provided 57
can be and is utilized 50
can be but an appendix 48
can be cut as required 65
can be due to abnormal 96
can be due to bacterial 60
can be due to cerebral 41
can be due to chemical 160
can be due to cultural 43
can be due to decreased 200
can be due to diffusion 40
can be due to emotional 72
can be due to exposure 66
can be due to external 131
can be due to heredity 85
can be due to hormonal 52
can be due to impaired 67
can be due to improper 128
can be due to increased 417
can be due to infection 250
can be due to internal 75
can be due to multiple 238
can be due to mutations 77
can be due to numerous 131
can be due to physical 246
can be due to pressure 176
can be due to problems 183
can be due to specific 51
can be due to underlying 43
can be due to variations 189
can be due to vascular 54
can be easy to identify 76
can be easy to maintain 53
can be easy to overlook 374
can be fed to chickens 72
can be for the children 65
can be for the christian 45
can be for the interest 170
can be for the purposes 74
can be got in readiness 46
can be had at moderate 150
can be had by addressing 303
can be had by consulting 143
can be had by contacting 113
can be had by everyone 53
can be had by purchase 119
can be had if required 58
can be had in authentic 48
can be had in quantity 228
can be had in separate 100
can be had or imagined 75
can be had the christian 99
can be led by sensible 119
can be led to conclude 64
can be led to consider 117
can be led to discover 419
can be led to identify 62
can be led to perceive 75
can be met by adequate 57
can be met by developing 152
can be met by domestic 103
can be met by education 51
can be met by increased 353
can be met by installing 83
can be met by performing 41
can be met by properly 56
can be met by purchasing 80
can be met by suitable 74
can be met in practice 212
can be met or exceeded 109
can be not the smallest 46
can be one or multiple 53
can be out of business 65
can be put in activity 56
can be put in condition 132
can be put in evidence 483
can be put in execution 305
can be put in operation 934
can be put in parallel 570
can be put in practice 1625
can be put in separate 65
can be put in slightly 47
can be put in somewhat 45
can be put in standard 94
can be put on probation 270
can be put to clinical 45
can be put to economic 89
can be put to fruitful 60
can be put to immediate 931
can be put to military 47
can be put to multiple 210
can be put to positive 205
can be put to practice 123
can be put to specific 45
can be put to valuable 117
can be put up anywhere 81
can be read as accounts 42
can be read as addressing 97
can be read as advocating 85
can be read as attempting 90
can be read as attempts 505
can be read as authorizing 67
can be read as challenging 61
can be read as companion 48
can be read as confirming 98
can be read as containing 132
can be read as critical 98
can be read as cultural 85
can be read as describing 143
can be read as directed 41
can be read as directly 47
can be read as distinct 41
can be read as evidence 661
can be read as examples 120
can be read as expressing 276
can be read as extended 87
can be read as feminist 153
can be read as indicating 458
can be read as intimating 51
can be read as justifying 63
can be read as literary 58
can be read as metaphor 43
can be read as parallel 129
can be read as parodies 58
can be read as permitting 81
can be read as positive 68
can be read as presenting 116
can be read as protecting 250
can be read as reflecting 258
can be read as responding 46
can be read as separate 165
can be read as shorthand 106
can be read as signifying 158
can be read as straight 122
can be read as suggesting 748
can be read as supporting 413
can be read as symbolic 228
can be read as symptoms 132
can be read as variations 95
can be read by children 271
can be read by computer 247
can be read by everyone 404
can be read by machines 128
can be read by programs 60
can be read by scanners 50
can be read by software 94
can be read by standard 62
can be read by students 176
can be read in appendix 169
can be read in evidence 118
can be read in isolation 436
can be read in multiple 260
can be read in numerous 102
can be read in parallel 558
can be read in sequence 237
can be read in whatever 45
can be read on multiple 59
can be read or listened 50
can be read or modified 339
can be read or otherwise 322
can be read or recorded 58
can be read or visually 181
can be read to authorize 54
can be read to children 202
can be read to indicate 196
can be read to preclude 59
can be read to prohibit 44
can be read to students 59
can be real or existent 218
can be real or fictional 50
can be real or imagined 471
can be real or symbolic 51
can be run at constant 46
can be run in multiple 50
can be run in parallel 3052
can be run in sequence 45
can be run on machines 52
can be run on multiple 121
can be run on personal 156
can be run on separate 44
can be run to generate 49
can be run to identify 59
can be run to simulate 49
