camps into which europe was 70
carry away anything without being 55
carry more moral weight than 53
cases have missing values for 66
cases were tried before him 114
catch your words before you 54
cause cell cycle arrest and 106
cells from healthy donors and 55
cells from solid tumors and 43
cells have large nuclei and 166
cells have large nuclei with 110
cells have round nuclei and 82
cells have round nuclei with 51
cells were either treated with 73
cells were first treated with 237
chain link fence topped with 531
chair some steps higher than 64
change into fresh clothes and 111
change taking place around them 143
change taking place before his 229
change their minds before they 292
change their social status and 49
change their teaching methods and 42
change took place slowly and 51
change took place without any 83
chaos into which france had 61
chaos told about calmly and 98
check till others joined them 58
check upon undue emotion and 45
check your facts before you 113
check your liver before you 347
check your local listings for 59
chose five smooth stones out 307
chose many large fruits and 121
cites three major reasons for 49
claim upon which relief can 16319
claim upon which relief may 3765
clasp your hands behind you 114
class into eight groups and 45
class into seven groups and 83
class into small groups and 2622
class into small groups for 354
class into small groups that 53
class into small groups with 113
class knew about before she 40
coals were found amongst them 85
coals were short measure that 60
coins were legal tender for 69
comes back quite another man 49
comes from jesus christ and 69
comes from people fancying that 49
comes from power plants that 180
comes from sharing deeply any 109
comes home after school and 71
comes into season sooner than 41
cores from which flakes had 119
costs have grown faster than 59
costs have risen faster than 503
costs were often higher than 42
could also claim credit for 92
could also prove useful for 113
could come about without any 40
could even blame myself for 61
could ever quite figure out 64
could feel every muscle and 45
could find anything better than 51
could find money enough for 45
could find would charge them 44
could give valid reasons for 52
could have acted better than 125
could have borne almost any 44
could have borne another day 83
could have coped better with 42
could have dwelt almost with 47
could have earned enough for 58
could have easily filled his 63
could have easily gotten out 112
could have easily killed both 40
could have easily killed her 44
could have easily killed him 184
could have easily killed them 68
could have easily killed you 54
could have easily passed for 897
could have easily proved each 55
could have easily reached out 57
could have easily turned out 49
could have found another job 125
could have found another man 47
could have found another way 236
could have found little that 151
could have found reasons for 42
could have found remedy for 53
could have found someone who 94
could have found something for 48
could have found stable and 49
could have given reasons for 45
could have knelt before her 121
could have known better than 373
could have lived another year 91
could have lived through all 101
could have lived through that 397
could have lived through this 105
could have lived without her 63
could have lived without him 58
could have lived without that 92
could have lived without them 79
could have lived without this 65
could have lived without you 46
could have moved faster than 43
could have rather wished them 49
could have saved canada this 58
could have saved myself all 53
could have saved myself and 54
could have slept through all 53
could have slept through that 122
could have stood before him 72
could have stood before them 78
could have sworn someone had 55
could have sworn someone was 142
could have taken credit for 118
could have thrown myself with 103
could have tried harder than 147
could have worse spared him 70
could just about manage that 48
could just stand around and 45
could keep order better than 40
could lady booby conceal her 88
could look after itself and 49
could look after myself and 50
could look right through her 103
could look right through him 108
could look right through them 104
could look right through you 262
could make anything better than 43
could make appear beyond all 51
could make miles enough that 74
could make people better off 41
could more easily comply with 76
could more easily deduce one 40
could more easily obtain our 64
could more easily pursue her 46
could most amply reward his 45
could move about freely and 313
could move about without being 77
could move about without fear 52
could only blame myself for 122
could only change places with 59
could only reply lamely that 119
could only stand around and 40
could only stand before him 50
could sell goods cheaper than 65
could slam doors behind him 58
could soon cover shorty with 41
could stay after school and 42
could take place without any 606
could take place without being 183
could take place without fear 50
could take place without her 45
could take place without him 76
could take place without his 279
could take place without its 131
could take place without our 44
could take place without them 68
could take place without this 44
could talk about myself and 56
could talk about something that 102
could turn right around and 179
could urge would induce him 72
could very easily happen that 84
could wait until another day 131
could walk about without fear 51
could walk right through them 78
count noun names something that 134
count those votes unless both 42
court into which moneys may 73
court must either decide that 2606
cover their naked bodies with 44
cover their smiling fields with 321
cover their whole bodies with 44
crept along under cliffs that 53
crime make people coarse and 113
cross upon which christ had 75
cross upon which christ was 525
crown have never lacked for 52
cruel blow which struck him 52
curve will shift upward and 105
cutting down trees slowly and 54
cutting into small pieces and 54
cutting some hazel sticks out 128
cycle will repeat itself with 53
