cable slipping down our big 46
calling pompey home with his 91
calls afresh upon him for 95
calls without paying for them 108
camps around those who fear 49
cards seized from his car 63
cared little more for him 61
cared little more than they 47
cared little what any one 152
cared little what they did 95
cared neither what nor why 51
carry austria along with them 45
carry clearly away with you 70
carry through what they had 68
carry weight when you are 49
cases except those that are 47
cases greater even than that 52
cases lurching back with dying 70
catch enough fish for him 44
cause cancer when they are 99
cause disease when they are 64
cause severe pain and may 139
cause severe skin and eye 89
cause through thick and thin 260
cause weight gain and may 99
cells release more than one 171
chain reaction will die out 58
chair across from her and 878
chair across from him and 756
chair across from him with 82
chair across from his and 46
chair across from his own 66
chair across from them and 80
chair beside hers and sat 41
chair placed ready for him 40
chair tilted back and his 273
chair tipped back and his 117
chair without taking off her 62
chair without taking off his 63
change column width and row 240
change greatly from one year 58
change little from one year 44
change methods from one year 112
change passed over her wan 65
change through time and are 132
change through time and how 122
change through time and that 65
change through time and with 84
change through time does not 157
change without there being any 206
chaos should find its way 70
chaos waited only for his 49
chart pointing from his dot 44
chase sweeps past him with 64
check whether there are any 1755
check whether there was any 489
cheek rested upon his arm 215
cheek turned pale and her 52
chest needed more air than 64
chief cities among his own 60
child almost held his dying 102
child gently from her lap 62
child safety seats and seat 44
child should feel that his 55
child should have for his 48
child should have her own 51
child should have his own 708
child should have its own 162
child should know his own 46
child should know its own 64
child should know that his 60
child should live has not 54
child should make his own 106
child should make them his 106
civic crowns upon thee for 62
civil broils make kin and 43
civil decent young man who 45
civil polity must lead thee 50
civil rights bill and his 51
civil rights bill did not 113
civil rights bill that had 135
civil rights bill that was 237
civil rights bill then being 45
civil rights bill was being 91
civil rights bill was not 72
civil rights laws and that 54
civil rights laws and with 40
civil rights laws are being 41
civil rights laws are not 70
civil rights laws can not 63
civil rights laws did not 109
civil rights laws may not 156
civil rights laws that are 44
civil rights laws that had 62
civil rights when they are 43
class infers from them that 55
class should have its own 227
cloak folded over his arm 43
cloak pulled over his head 71
clock struck four she got 73
close escape from being set 65
close family ties with any 50
close friend whom she had 42
close hooded over his head 43
close reasoning will not fix 87
close weapons when they can 58
closing remark made her bring 41
clothing except what they had 109
cloud drifting from its top 107
cloud hovering over his head 46
cloud stands over them and 41
cloud strata high and thin 72
coach always made her ill 52
costs little more than one 50
couch across from her and 43
could affect more than one 112
could afford more than one 1007
could afford more than two 55
could afford only one meal 74
could almost envy him his 80
could almost feel his hot 96
could almost feel that she 85
could almost feel that they 58
could almost give his oath 43
could almost hate him for 82
could almost hate you for 40
could almost have put him 115
could almost have put out 47
could almost kiss you for 56
could almost love him for 139
could almost make out her 90
could almost make out his 115
could almost pass for one 65
could almost reach out and 3288
could almost reach them with 85
could almost swear she saw 43
could almost swear she was 41
could almost swear that she 131
could almost swear that they 65
could almost swear that you 61
could almost take him for 43
could almost think she was 56
could almost think that you 41
could almost wish she had 62
could almost wish she was 70
could almost wish that our 41
could almost wish that they 99
could almost wish that this 62
could almost wish that you 211
could almost wish you had 150
could already tell she was 71
could already tell that she 58
could already tell that this 65
could always call him and 43
could always find his way 236
could always have her way 41
could always have his way 50
could always hold her own 47
could always hold his own 115
could always live with you 145
could always make his way 60
could always pick them out 107
could always plead that they 53
could always talk his way 56
could always tell him that 114
could always tell how long 40
could always tell how she 40
could always tell she was 47
could always tell them that 55
could always tell who had 75
could always tell who they 52
could always tell who was 221
could answer back then and 64
could answer only that she 48
could answer only with his 62
could arrange nothing with him 74
could arrive there not too 42
could assume from this that 110
could barely find his way 127
could barely hold her head 189
could barely hold her own 97
could barely hold his head 214
could barely hold his own 163
could barely hold its own 141
could barely keep her head 142
could barely keep his head 188
could barely keep his own 44
could barely keep his seat 64
could barely lift her head 249
could barely lift his arm 80
could barely lift his head 338
could barely make her out 505
could barely make her way 57
could barely make him out 991
could barely make his way 144
could barely make our way 53
could barely make out any 76
could barely make out each 57
could barely make out her 1111
could barely make out his 1745
could barely make out its 188
could barely make out one 61
could barely make out our 49
could barely make out that 423
could barely make out two 157
could barely make out who 60
could barely make them out 1269
could barely move her head 51
could barely move his head 135
could barely sign his own 103
could barely turn her head 79
could barely turn his head 125
