cake of dry earth attached 104
call if they had questions 41
call in and ask questions 313
call me with any questions 211
call my own this splendid 89
call on them for military 48
call to joy and gladness 74
call to pay his respects 334
call us with any questions 78
calm as any man whatever 41
came as she had promised 73
came as they had promised 68
came he did not hesitate 87
came he was not inclined 40
came he was not prepared 42
came in and sat opposite 490
came in for his breakfast 163
came in one who remained 46
came in than they inquired 114
came in with her breakfast 157
came in with her children 52
came in with her daughter 150
came in with her notebook 44
came in with his breakfast 189
came in with his daughter 103
came in with our breakfast 45
came in with two children 45
came of age and received 87
came of all this activity 46
came on wet and somewhat 80
came on with that breathless 66
came so near being captured 46
came to ask for medicine 107
came to ask her questions 45
came to ask him questions 198
came to ask his commands 51
came to bid her farewell 369
came to bid him farewell 989
came to bid them farewell 363
came to bid you farewell 174
came to deal with domestic 52
came to earth and suffered 63
came to hear his lectures 144
came to her and demanded 82
came to her and embraced 103
came to her and proposed 68
came to her ears directly 51
came to her for counseling 48
came to her for guidance 84
came to her for judgment 154
came to her for treatment 92
came to her with problems 78
came to her with questions 66
came to him all besmeared 89
came to him and besought 119
came to him and declared 135
came to him and demanded 413
came to him and directed 55
came to him and embraced 125
came to him and entreated 84
came to him and foretold 49
came to him and implored 116
came to him and informed 291
came to him and inquired 155
came to him and insisted 159
came to him and narrated 44
came to him and promised 183
came to him and proposed 189
came to him and received 58
came to him and reminded 49
came to him and reported 217
came to him and threatened 64
came to him for analysis 55
came to him for approval 57
came to him for counseling 300
came to him for direction 53
came to him for financial 76
came to him for guidance 961
came to him for judgment 41
came to him for medicine 65
came to him for personal 54
came to him for religious 115
came to him for treatment 1466
came to him that possibly 63
came to him thus prepared 56
came to him with friendly 58
came to him with personal 67
came to him with petitions 96
came to him with presents 80
came to him with problems 220
came to him with promises 69
came to him with questions 239
came to him with requests 101
came to his new authority 46
came to his own daughter 42
came to his own personal 75
came to pay her promised 70
came to pay her respects 861
came to pay his devotions 64
came to pay his farewell 100
came to pay his respects 4898
came to pay its respects 78
came to pay our respects 138
came to read his sentence 48
came to say that breakfast 41
came to say that elizabeth 47
came to say that monsieur 156
came to see and converse 107
came to see her daughter 212
came to see her whenever 75
came to see him whenever 51
came to see his children 64
came to see his daughter 317
came to see his grandson 43
came to see his lordship 212
came to see his pictures 42
came to see that whatever 47
came to see them exercise 45
came to them and demanded 43
came to them for treatment 68
came to them with problems 52
came to try and persuade 59
came to woo his daughter 49
came to you for treatment 81
came up with and attacked 174
came up with and captured 270
came up with her daughter 52
came up with his advanced 83
came up with his companion 58
came up with his infantry 74
came up with his proposal 59
came up with his rearguard 61
came up with his regiment 175
came up with his soldiers 48
came up with one possible 40
came up with that brilliant 49
came up with this brilliant 201
came up with this proposal 70
came up with two divisions 52
came up with two possible 124
came up with two solutions 123
camp of ease and isolation 42
camp to pay his respects 86
care if they get pregnant 102
care is bad for children 75
care is not being provided 92
care is not for everyone 54
care is now being provided 47
care of all her children 153
care of all her expenses 47
care of all her personal 48
care of all his business 85
care of all his children 328
care of all his creatures 301
care of all his domestic 48
care of all his expenses 58
care of all his personal 100
care of all his problems 79
care of all his property 77
care of all its children 43
