cabal with dean swift and 81
cabin was too small for 91
cabin with two bunks and 46
cabin with two rooms and 50
cable and got under way 58
cable car that takes you 41
cakes she had baked for 42
calling each and every one 55
calling for her mother and 113
calling for his father and 40
calling for his horse and 65
calling for his mother and 147
calling for his sword and 41
calling for hot water and 41
calling her and calling her 41
calling her and telling her 130
calling him and calling him 46
calling him and telling him 188
calling him ill names that 171
calling his men about him 44
calling out our names and 48
calling she then found them 77
calling them and telling them 71
calling you and calling you 109
calling you and telling you 71
calls each and every one 105
calls for both skill and 86
calls for his horse and 65
calls for his mother and 47
calls god his father and 41
calls her and tells her 45
calls him and tells him 180
calls them and gives them 125
calls you and tells you 510
camping with his father and 43
camps for boer women and 81
candy bar was named for 44
canon law and civil law 1085
canon law and roman law 412
cards are but bones and 40
cards are not worse than 43
cared for and lived for 65
cared for and lived with 78
cared for and loved and 167
cared for and loved for 45
cared for and loved her 50
cared for and loved him 54
cared for and loved them 44
cared for and where they 74
cared for and would not 54
cared for any woman but 41
cared for her after all 72
cared for her after her 81
cared for her father and 102
cared for her mother and 168
cared for her mother for 126
cared for her mother who 66
cared for her night and 60
cared for her since her 106
cared for her since she 150
cared for her until her 276
cared for her until she 447
cared for her while her 56
cared for her while she 108
cared for him after all 56
cared for him after his 159
cared for him night and 56
cared for him since his 77
cared for him until her 54
cared for him until his 461
cared for him while his 46
cared for his books and 51
cared for his father and 113
cared for his horse and 74
cared for his house and 43
cared for his mother and 131
cared for his people and 129
cared for them until they 457
cared for them while they 56
cared for you since that 41
cared for you since you 84
cared not for cocks that 84
cared not one straw for 68
cares for all people and 40
cares for and loves them 82
cares for her child and 44
cares for her father and 40
cares for her mother and 41
cares for him until his 42
cares for his nation and 190
cares for his people and 224
cares for his sheep and 91
cares for them until they 290
cares for this frail being 230
cares not and knows not 42
cargo out and caulk her 83
cargo was now nearly all 74
carry all this about with 52
carry both her money and 58
carry his hat under his 44
carry his own cross and 419
carry his own party with 53
carry his own state and 44
carry meat and drink for 49
carry off any water that 413
carry off his money and 49
carry off our wives and 48
carry one for every ten 180
carry our own combs and 46
carry out any action that 159
carry out any order that 240
carry out any plans for 43
carry out any plans that 49
carry out her plans and 70
carry out her plans for 292
carry out her plans with 45
carry out his order and 47
carry out his plans and 838
carry out his plans for 2232
carry out his plans with 347
carry out his tasks with 40
carry out his threats and 122
carry out his views and 86
carry out his views for 52
carry out his views with 79
carry out his vision for 42
carry out its goals and 41
carry out its plans and 190
carry out its plans for 455
carry out its social and 57
carry out its tasks and 174
carry out its tasks with 82
carry out its terms and 68
carry out its treaty and 43
carry out our plans and 97
carry out our plans for 249
carry out our plans with 58
carry out that which they 77
carry out that which was 98
carry out this first and 66
carry out this order and 156
carry out this order was 59
carry out this order with 43
carry out this study and 133
carry out this study was 48
carry them both chaff and 89
carry with him clothing and 44
carry with him every man 116
carry with them about ten 75
carry with you every day 57
carve out new lives for 111
carve out new roles for 95
carve them and inlay them 48
carving out new lives for 45
carving out new roles for 56
cases are too small for 61
cases did not reveal any 68
cases does not allow for 59
cases does not imply that 268
cases does not prove that 110
cases does not reveal any 47
cases may yet carry you 45
cases men and women are 79
cases one can argue that 142
cases our own brave and 52
cases that are alike that 43
cases that can occur for 40
cases that may arise and 75
cases that may arise are 41
cases that may occur are 42
cases that they could not 118
cases that they would not 47
cases that this court has 47
cases they are lower than 54
cases they are people who 66
cases they are small and 86
cases they had known and 71
cases was too small for 118
caste all day every day 84
caste does not exist and 51
casting his eye round this 69
casting off all others that 58
casting with long casts and 65
casts his net wider and 40
casts out all evils and 58
catch any oil which may 57
catch her and carry her 89
catch her off guard and 193
catch her off guard with 54
catch him and carry him 98
catch him and force him 88
catch him and shoot him 59
catch him but could not 60
catch him off guard and 416
catch him off guard with 77
catch him they would hang 83
catch them and carry them 321
catch them and shoot them 47
catch them off guard and 232
catch them off guard with 50
catch you and carry you 48
catch you off guard and 483
catch you off guard with 53
cause and that cause was 95
cause can not exist nor 75
cause did not exist for 181
cause does not exist for 103
cause for joy rather than 194
cause for old people and 58
cause for this action was 72
cause for this change has 48
cause for this change was 129
cause heat that might lead 40
cause than that which has 64
cause that our dreams are 50
cause that she leaves you 104
cause that they could not 163
cause that they would not 116
cause that two times two 159
cause then you would not 118
cause why her father and 60
cause why she could not 83
cause why they could not 204
cause why they shall not 49
cause why they would not 99
cause why this stone was 63
cause why you would not 95
cause you are arguing for 75
cause you are working for 128
ceased and that unity had 64
cells and egg cells are 100
cells and red cells are 42
cells and that cells are 42
cells are all alike and 108
cells are both large and 45
cells are long lived and 48
cells are set apart for 189
cells are set aside and 41
cells are set aside for 212
cells are then added and 44
cells are then fixed and 49
cells are then fused with 84
cells are then mixed with 172
cells are too small and 50
cells are too small for 115
cells can not carry out 113
cells did not change with 47
cells did not reveal any 100
cells did not stain for 67
cells did not stain with 103
cells does not change with 62
cells does not prove that 144
cells that are growing and 58
cells that are large and 57
cells that are small and 76
cells that can carry out 58
cells that can engulf and 56
cells with thin walls and 200
cells with thin walls are 62
cents each and sells them 74
cents for each working day 95
cents per ton lower than 41
chain she had given him 92
chain that had bound him 54
chain that hath bound thee 114
chain that hung about her 52
chain that hung about his 47
chain that hung round his 51
chain that was drawing them 66
chain was put about him 64
chain was put round his 67
chain was too short for 49
chain was too strong for 48
chain with both hands and 137
chair and ran after her 43
chair and sat still for 43
chair and she could not 48
chair and was holding her 43
chair and was resting his 44
chair and was sitting with 61
chair for her while she 65
