cafe from 180 cake over 106
cake fine 91 call name 96
call name 43 call from 142
call upon 97 call nine 41
call were 61 call call 58
call away 211 call bird 66
call upon 59 call away 56
call good 53 call from 290
call have 60 call else 182
call what 41 call into 76
came from 98 came from 86
came over 111 came heavy 46
came from 63 came when 45
came when 54 came from 79
came four 42 came part 160
came side 300 came areas 46
came leave 60 came from 45
came from 89 came from 58
came like 46 came dark 117
came from 501 came just 53
came when 48 came when 41
came from 94 came from 96
came from 51 came from 47
came from 51 came from 62
came like 52 came during 112
came when 351 came wave 292
came week 45 came save 83
came down 92 came find 58
came from 61 came into 42
came from 94 came when 270
came from 50 came when 47
came yoke 144 came from 505
came during 59 came some 43
came such 134 came their 289
came these 263 came what 86
came your 97 came inch 94
came nook 58 came from 58
came well 1153 came well 87
came their 44 came these 40
came during 91 came only 67
came when 316 came their 180
came your 46 came into 112
came into 101 came reading 55
came when 42 came time 70
came away 134 came reading 69
came half 112 came three 158
came many 421 came some 82
came these 3179 came those 186
came three 164 came from 128
came save 51 came huts 96
came their 52 came some 42
came their 177 came what 70
came your 100 came their 51
came upon 101 came door 55
came just 42 came room 42
came when 152 came soon 63
came when 62 came from 125
came their 52 came what 45
came have 66 came like 42
came last 43 came door 63
came room 54 came last 125
came once 82 came when 42
came deck 63 came part 81
came side 71 came time 47
came from 50 came during 44
came along 54 came were 69
came time 131 camp hill 54
camp from 53 camp their 56
camp till 62 canoe sail 123
canoe boat 57 cant went 53
caps heads 50 card hand 304
care their 531 care what 450
care your 462 care during 122
care areas 91 care years 139
care such 269 care their 94
care beings 88 care must 43
care ends 104 care during 46
care from 41 care need 505
care baby 45 care ones 866
care when 60 care when 45
care when 45 care need 576
care when 89 care post 77
care ones 231 care when 50
care care 45 care having 286
care laying 350 care losing 56
care making 262 care north 41
care other 87 care seeing 55
care such 146 care their 960
care these 374 care those 189
care what 2210 care your 457
care fall 61 care their 45
care your 346 care more 299
care best 41 care from 113
care pope 152 care such 102
care their 79 care your 46
care else 49 care more 187
care their 175 care feel 41
care like 64 care single 68
care these 109 care such 85
care their 96 care these 129
care what 219 care ones 157
care what 197 care part 76
caring their 45 caring having 55
caring what 355 cars time 49
cart oats 68 case date 59
case from 43 case taking 109
case upon 50 case what 46
case when 70 case will 72
case lucy 55 case there 67
case areas 86 case areas 44
case when 112 case when 40
case early 91 case have 55
case have 52 case like 65
case beings 58 case areas 70
case rope 51 case from 44
case like 41 case from 71
case eddy 43 case less 66
case beings 89 case like 45
case beings 257 case lady 86
case suit 110 case into 41
case have 370 case show 40
case were 241 case work 70
case data 40 case areas 60
case like 81 case have 109
case from 50 case have 41
case have 69 case have 50
case have 56 case have 52
case have 54 case held 313
case have 63 case find 192
case have 42 case will 64
case have 40 case upon 51
case have 59 case have 51
case held 237 case said 61
case have 76 case will 69
case have 54 case made 46
case have 46 case have 66
case have 61 case upon 49
cash date 55 cash away 81
cash less 89 cast over 425
cast upon 257 cast form 40
cast made 71 cast will 40
cast have 106 cast upon 63
cast into 148 cast over 104
cave from 49 cease having 154
cease life 202 cease living 64
cease miss 271 cease their 72
cease more 55 cease over 128
ceasing also 131 cent years 47
cent areas 147 cent areas 62
cent acid 415 cent were 53
cent aged 46 cent were 125
cent have 53 cent were 86
cent size 42 cent wage 250
cent were 114 cent from 55
cent from 117 cent from 121
cent from 268 cent were 45
cent from 65 cent from 98
cent were 135 cent body 148
cent cash 76 cent cost 90
cent debt 108 cent food 385
cent land 119 cent loan 123
cent mass 54 cent time 400
cent vote 68 cent wage 225
cent wealth 49 cent work 167
cent bill 49 cent during 41
cent into 44 cent were 70
cent time 588 cent have 116
cent there 109 cent were 417
cent will 42 cent were 60
cent were 79 cent were 137
cent were 137 cent were 40
cent have 115 cent live 95
cent were 258 cent will 46
cent were 75 cent were 59
cent have 91 cent were 380
cent will 49 cent said 126
cent were 79 cent work 57
cent were 43 cent were 52
cent part 125 cent have 121
cent have 41 cent aged 253
cent from 129 cent have 80
cent leaving 47 cent were 149
cent will 44 cent aged 86
cent were 47 cent their 67
cent those 41 cheat time 43
chip reach 136 city from 47
city have 85 city unit 43
city also 100 city fail 45
city have 518 city levy 111
city make 42 city vote 77
city said 86 city such 561
city there 279 city your 51
city book 201 city from 71
city from 41 city their 56
city over 43 clad wild 58
clad like 99 clean filth 58
clean ends 175 clear have 42
clear what 357 clear such 117
clear there 41 clear these 80
clear these 68 clear what 88
clear what 115 clear ends 204
clings like 111 clings when 108
cloth what 42 cloth wool 49
cloth tell 49 club hand 121
club from 177 clue have 185
coal from 70 coal fuel 133
coat from 65 coat three 55
coat hangs 41 coat have 90
coat cloth 49 coat cloth 62
coat drab 51 code upon 159
code came 49 code bears 106
code bore 52 code have 70
code made 47 code their 49
code were 223 code will 68
code acid 68 code life 66
coil hair 57 coil wire 52
coil rope 55 coil part 41
coil over 116 coil upon 135
coin hand 347 cold into 72
cold when 41 come from 49
come date 51 come time 49
come side 55 come part 118
come side 93 come areas 43
come from 45 come week 165
come like 180 come away 86
come from 47 come from 63
come from 105 come such 119
come from 63 come from 211
come from 76 come from 46
come days 59 come during 208
come here 95 come when 1832
come time 164 come wave 60
come week 58 come down 48
come when 92 come your 63
come such 101 come these 53
come what 89 come made 70
come from 225 come your 63
come their 93 come like 93
come years 73 come reach 48
come over 107 come many 46
come other 124 come some 76
come such 238 come their 383
come these 277 come those 41
come what 188 come your 105
