call if you remember anything 112
call in with questions about 119
call is not answered within 64
call on her cellular phone 40
call on him tomorrow morning 138
call on his cellular phone 440
call on you tomorrow evening 90
call on you tomorrow morning 280
call to ask questions about 157
call to her tribunal every 406
came in and anchored close 65
came in and anchored within 53
came in and inquired about 53
came in two distinct waves 64
came of old american stock 46
came of this proposal either 55
came the two infernal ships 50
came to ask questions about 147
came to his attention after 45
came to his attention while 56
came to his personal wrongs 40
came to its troubled close 86
came to our attention after 278
came to our attention which 112
came to our attention while 50
came to this terrible sight 49
came up and politely asked 40
came up with colorful names 105
came up with eighteen fresh 54
camp on his personal staff 87
camp on this eventful night 72
care as was required under 41
care he was scarcely worthy 120
care in its broadest sense 103
care of all children under 40
care of all possible cases 40
care of all pregnant women 52
care of her children after 64
care of her children alone 45
care of her children until 64
care of her children while 371
care of her daughter while 82
care of her emotional needs 72
care of her financial needs 71
care of her immediate needs 55
care of her numerous train 54
care of her personal needs 317
care of her physical needs 191
care of his children after 50
care of his children while 122
care of his clerical tutor 98
care of his domestic needs 44
care of his emotional needs 49
care of his financial needs 70
care of his immediate needs 101
care of his maternal uncle 937
care of his paternal uncle 47
care of his personal needs 586
care of his physical needs 531
care of our children while 82
care of our emotional needs 44
care of our financial needs 43
care of our immediate needs 42
care of our immortal souls 79
care of our personal needs 74
care of our physical needs 152
care to all pregnant women 114
care to see barnyard fowls 50
case as her ladyship treats 48
case he was probably right 97
case in its simplest terms 48
case in its strongest light 95
case is not complete until 65
case is not strictly within 189
case is not surprising since 51
case of any accident which 63
case of any blackout period 47
case of any contract which 52
case of any disputes arising 41
case of any employee whose 86
case of any proceeding under 51
case of any property which 144
case of any publicly owned 63
case of any untoward event 86
case of raw materials which 40
case of real property which 64
case of that provision which 52
case of two hydrogen atoms 89
case of two parallel lines 55
case of two parallel wires 116
case of two straight lines 103
case we may formally write 124
cash is not received until 68
cash to buy consumer goods 89
cast up his accounts every 50
cease to bear interest after 74
cell to its daughter cells 113
cell to its original state 82
cent of all american farms 63
cent of all american homes 123
cent of all american women 189
cent of all business firms 76
cent of all children below 54
cent of all children under 723
cent of all consumer goods 154
cent of all consumer units 175
cent of all criminal cases 713
cent of all electric power 131
cent of all employed males 47
cent of all employed people 112
cent of all employed women 477
cent of all families owned 68
cent of all imported goods 49
cent of all internet users 131
cent of all mortgage loans 46
cent of all occupied males 44
cent of all passenger miles 47
cent of all possible cases 42
cent of all pregnant women 536
cent of all recorded cases 68
cent of all recorded crime 91
cent of all reported cases 261
cent of all salivary gland 111
cent of his adjusted gross 175
cent of his graduating class 53
cent of its assessed value 285
cent of its electric power 158
cent of its external trade 53
cent of its ordinary share 47
cent of its original level 133
cent of its original value 1424
cent of its purchase price 82
cent of its purchasing power 248
cent of its ultimate value 72
cent of net relevant earnings 81
cent on all imported goods 96
cent on its ordinary stock 54
chin in her beautiful white 55
chin on his clenched fists 57
chip on her shoulder about 180
chip on his shoulder about 712
chip on his shoulder which 114
city in its complete sense 52
city in that interest stood 72
city of his intended visit 77
clad in his priestly robes 92
clan of old jacobite spies 63
clear in his judgment about 76
clear of this accursed topic 158
clear up any confusion about 480
clear up any possible doubt 54
clear up any questions about 169
clear up this business about 100
clinging to his graceful horns 221
clip to its original state 141
clung to his muscular chest 50
clung to his muscular thighs 117
coin to its standard under 72
cold of that december night 40
cold of that terrible night 50
cold to our internal touch 41
come in and complain about 125
come in its improved state 107
come in two distinct forms 126
come in two distinct types 132
come in two standard sizes 128
come of that horrible thirty 42
come to any decisions about 62
come to any decisive issue 66
come to any definite close 125
come to ask questions about 185
come to his attention after 55
come to his attention since 49
come to his attention until 95
come to his attention which 63
come to his attention while 56
come to its greatness again 113
come to new insights about 58
come to one decisive action 85
come to one original thinking 48
come to our attention again 59
come to our attention holding 51
come to our attention since 129
come to our attention until 105
come to our attention where 200
come to our attention which 310
come to this beautiful place 89
come to this desolate place 90
come to this hallowed place 193
come to this horrible place 169
come to this isolated place 41
come to this terrible place 91
come to this wretched place 141
come to you tomorrow morning 77
come up with concrete plans 55
come up with detailed plans 53
come up with examples where 101
come up with questions about 89
come up with solutions which 137
come up with specific plans 115
coming in with breathless cries 100
coming of age outlined above 128
coming to all darkened lands 55
coming to any decisive action 48
coming to any definite point 69
coming to his attention which 47
cook in not properly cleaning 63
copy in its original binding 122
copy of any document filed 150
copy of any document under 96
copy of any document which 188
copy of any reported hearings 44
copy of each purchase order 200
copy of his complete works 63
copy of his doctoral thesis 127
copy of his original draft 48
copy of our magazine which 130
copy of that document which 69
copy of this document shall 60
copy of this document which 94
copy of this facetious story 51
copy of this pamphlet which 157
core of all physical abuse 48
core to its original state 46
cost is not incurred until 41
cost of all consumer goods 63
cost of all finished goods 47
cost of all imported goods 189
cost of doing business rather 172
cost of doing business rises 59
cost of doing business today 95
cost of doing business under 73
cost of doing business which 212
cost of doing business while 60
cost of doing business within 98
cost of doing business would 191
cost of long distance calls 282
cost of long distance phone 46
cost of raw materials which 102
cost of raw materials would 94
cost of real property shall 51
cost of this approach would 45
cost of this operation would 92
cost of this proposal would 67
cost of using borrowed funds 75
cost of using borrowed money 131
cost of using internal funds 71
cost of using retained earnings 147
