cabbages all turned very red 114
calamity had fallen upon him 70
calamity had fallen upon them 167
calamity has fallen upon him 73
calamity has fallen upon you 65
calamity was turned upon you 80
campaign did little more than 41
campaign for better health and 44
campaign that lasted less than 42
campaign that lasted more than 54
campaign that raised more than 46
campaign was little more than 248
capacity did better work than 46
capacity for enjoying life and 182
capacity for entering into all 41
capacity for entering into that 105
capacity for higher work and 65
capacity for higher work than 50
capacity for managing their own 122
capacity for mental work and 45
capacity for reasons other than 94
capacity for something more than 44
captured his closed hand and 62
captures per target atom per 48
carotene and animal fats and 47
casually that special care had 56
cataract had formed over one 42
causeway was filled from end 44
ceramics but indeed also for 52
ceremony was little less than 111
ceremony was little more than 56
certifying him merely what they 90
challenge for public health and 47
chambers are called atria and 50
channels that remain open for 64
chapters and verses were not 45
chapters are little more than 135
chapters that follow show how 146
chapters that follow show that 141
chapters that follow there are 50
chapters that follow will deal 163
chapters that follow will not 84
chapters that follow will try 48
charcoal for smelting iron ore 189
chastise and punish those who 58
cherries for something less than 63
chestnut with flaxen mane and 153
children and adults cope with 165
children and adults from all 133
children and adults have had 63
children and adults have not 81
children and adults know that 91
children and adults learn and 47
children and adults less than 63
children and adults living with 61
children and adults more than 43
children and adults other than 45
children and adults over age 107
children and adults show that 121
children and adults there are 76
children and adults think and 44
children and adults were being 52
children and adults were not 113
children and adults when they 170
children and adults will not 81
children and anyone else who 217
children and buried their dead 116
children and family life and 58
children and family life are 61
children and killed their men 92
children and little dogs are 56
children and reward those who 46
children and spending time with 79
children are always asking for 71
children are becoming less and 50
children are becoming more and 199
children are better able than 137
children are eleven years old 40
children are exempt from this 74
children are little more than 135
children are looked upon with 44
children are neither good nor 59
children are sexual beings and 47
children are spending more and 87
children are spending time with 48
children are taught reading and 96
children are taught what they 59
children are tucked into bed 69
children are twelve years old 61
children can choose their own 130
children can choose what they 50
children can design their own 74
children can hardly wait for 52
children can invent their own 101
children can record their own 42
children can select their own 74
children for reasons other than 125
children for twenty years and 40
children had already been put 43
children had already eaten and 43
children had already left for 135
children had called upon him 56
children had little time for 97
children may differ from one 42
children may differ from that 61
children not twelve years old 75
children they already have and 44
children they should have and 65
children who already knew how 51
children who already know how 137
children who needed care and 69
children who opened their ears 54
children who scored less than 42
children who suffer from any 60
children who suffer from this 228
children with autism were not 81
children with normal hearing and 332
children with normal hearing are 62
children with normal hearing who 74
children with school work and 44
children yet unborn have set 50
chivalry had become more and 51
chloride and acetic acid are 47
churches and formed their own 121
churches are becoming more and 75
churches are little more than 67
churches per square mile than 86
churches was seized upon and 60
circuits are widely used for 52
citizens all formed upon one 53
citizens are becoming more and 73
citizens can pursue their own 55
citizens who thought their own 41
citizens who waited upon him 44
civilians and injuring more than 54
civilians and wounding more than 51
clattering and rumbling from this 54
clemency and wisdom into our 137
collapse has called forth old 74
colleague had fallen into this 47
collects her virtue into this 69
colleges are becoming more and 62
collided with another boat and 49
collided with another ship and 109
collision with another ship and 47
colonies are neither more nor 43
colonies was little more than 50
combined with nitric acid and 45
combined with proper diet and 54
commands are issued more for 47
commands are useful when you 86
commands our belief upon its 85
commands that appears when you 54
comments are little more than 72
commerce and through means and 64
commerce was looked upon with 42
commingled and formed into one 116
commonly and justly said that 53
commonly are silent when they 67
commonly use another name for 52
companion was struck down with 77
compared with actual data for 42
compared with census data for 46
compared with curves like that 140
compared with earlier years and 49
compared with little more than 351
compared with nobler aims has 56
compared with something else that 44
compared with twenty years ago 915
compares his future fate with 71
complete and breathed into him 139
complete and sudden break with 53
complete with barbed wire and 75
complete with swimming pool and 524
composed with becoming care and 132
comprising one member from each 140
computer for something other than 43
computer has become more and 41
computer that stores data and 59
computer that weighs less than 51
concealed had turned over and 47
concealed her visions from her 63
concealed that vessel from his 57
conceded them before there can 164
conceive her terror when she 54
conceive them without seeing them 49
conceiving and offering more and 44
concepts and methods from one 53
concepts and methods used for 80
concepts are neither true nor 60
concerns for public health and 191
concerting and devising means for 49
conclude that something more than 85
conclude that something other than 201
conclude this learned note with 52
conclude this section dealing with 42
concluding this section dealing with 59
condition had already been set 41
condition had become such that 72
condition has always been met 41
condition may result from any 60
condition may result from one 42
condition may result from too 50
condition that causes pain and 69
condition that exists when all 120
condition that exists when one 224
condition that exists when two 198
condition that occurs when air 45
condition that occurs when one 184
condition that occurs when two 192
condition that occurs when you 57
condition was becoming more and 96
conferring new titles upon him 42
conflict that arises when one 137
conflict that lasted more than 69
conflict was little more than 44
conflict with existing laws and 73
confused and forget what you 87
confusion and driven back with 81
confusion and memory loss are 44
confusion and memory loss that 40
confusion can result from this 90
confusion has arisen from not 171
confusion has arisen from this 169
confusion has arisen over this 74
confusion than england ever yet 68
confusion that arises when one 119
confusion that ensued upon his 76
conquest may become more easy 123
conquest that seemed more than 56
conscious that something more than 74
conscious that something more was 74
consider and advise upon all 43
consider and advise upon any 98
consider and advise what was 46
consider and decide upon all 81
consider and decide upon any 57
consider and ponder well all 44
consider and report upon all 317
consider and report upon any 363
consider and report upon this 90
consider doing something like that 183
consider doing something like this 75
consider him little more than 47
consider how little there was 48
consider them little more than 44
consider this matter well and 45
consider was whether there was 49
conspire with virtue more than 100
constant and pressing need for 47
constant but varies from day 85
constant but varies from one 62
consulting and training firm that 125
consumer has become more and 40
contagion that spreads like that 41
containing both acetic acid and 49
containing but little more than 49
containing one carbon atom and 98
containing one member from each 49
containing one oxygen atom and 42
contains all created beings and 57
contains but little more than 123
contains one carbon atom and 216
contains one double bond and 51
contains one oxygen atom and 54
contains one sample from each 49
contains two papers dealing with 44
contempt and hatred among his 59
contempt and impose upon him 44
contempt for manual work and 100
continue all through life doing 48
continue and endure during her 194
continue for twenty years and 47
continue his blessing upon this 179
continue his pension during his 55
continuing with caution when she 58
contract being entire there can 79
contract for reasons other than 133
contract had already been let 65
contract has already been let 51
contract may become null and 52
contract was agreed upon and 65
contract you signed when you 113
contrast with something else that 123
contrite and humble heart god 64
contrive you should have six 101
contriving for likely ways and 123
converting that friend into his 45
conveyed him softly into her 44
convince all europe into its 76
convince any candid mind that 449
coolness and languor gave way 58
coronets and simple faith than 269
counters are widely used for 49
covenant that yahweh made with 61
coverage for mental health and 188
creatures are become their own 40
creatures are fierce when they 61
credited with little more than 54
credited with shooting down one 78
credited with shooting down two 88
criterion for choosing among them 104
critical and proper time for 41
cultural and family ties with 59
cultural lag occurs when one 55
cultures are becoming more and 43
cultures are widely used for 45
cultures that differ from our 96
curiosity and crawling along for 47
curiosity and desire spun him 50
