cakes made from flour and 59
calls came from people who 61
calls were from people who 65
camel having died within two 46
cards have been drawn and 60
cared much more about her 125
cared very much about being 51
cared very much about her 184
cared very much about him 115
cared very much about his 206
cared very much about how 73
cared very much about that 111
cared very much about them 93
cared very much about this 62
cared very much about you 56
cares like those which lie 114
cares very much about her 118
cares very much about him 42
cares very much about his 166
cares very much about you 166
carry along much power with 80
carry away their goods and 52
carry away their wives and 163
carry away your wives and 51
carry great sums about his 42
carry into full force and 129
carry much more water than 53
carry over half spain and 50
carry over into every new 85
carry their anger rather with 235
carry their eggs about with 97
carry their hell about them 47
carry their young about with 54
carry very heavy loads and 46
carve upon their tombs and 49
cases from those which are 71
cases have been added and 128
cases have been cited and 72
cases have been cited with 51
cases have been cured with 68
cases have been filed and 112
cases have been filed for 47
cases have been filed with 109
cases have been found and 94
cases have been found for 47
cases have been found that 183
cases have been found with 99
cases have been known for 50
cases have been pending for 246
cases have been thrown out 176
cases have been tried and 86
cases have come under his 76
cases have come under our 298
cases much good sense and 92
cases save those which are 41
cases will fall within one 55
casting their eyes about for 56
casting your line right and 50
casts even these aside one 44
catch fire more easily than 43
catch some other sound than 43
catch upon their dusty wings 55
cause fall much below this 70
cause once more exert his 71
cells from cord blood and 75
cells from mice which had 62
cells from those which are 47
cells have also shown that 53
cells have been fixed and 54
cells have been found not 50
cells have been found that 379
cells have been found with 55
cells have been fused with 50
cells have been known for 135
cells have cell walls and 51
cells have thick walls and 87
cells have thick walls that 83
cells lose their shape and 42
cells were very small and 43
cells when these cells are 78
chair away from under him 63
chair back into place and 65
change jobs less often than 146
change jobs more often than 589
change much more easily than 126
change much more often than 44
change must take place and 94
change must take place for 103
change must take place with 58
change over time rather than 532
change over time within each 58
change over time within one 40
change their form until they 45
change their ideas about how 52
change their life style and 183
change will take place and 422
change will take place for 215
change will take place with 173
change your life right now 95
change your life until you 50
change your mind about all 80
change your mind about any 518
change your mind about being 182
change your mind about doing 94
change your mind about going 1187
change your mind about her 237
change your mind about him 477
change your mind about his 51
change your mind about how 617
change your mind about its 69
change your mind about not 84
change your mind about one 68
change your mind about our 86
change your mind about that 2437
change your mind about them 150
change your mind about things 136
change your mind about this 1161
change your mind about using 138
change your mind about who 182
change your mind after all 50
change your mind after you 830
change your mind again and 143
change your mind later and 288
change your mind while you 97
changing health care needs and 56
changing into other forms than 128
changing your mind about how 51
chaos when mind arose and 44
chase some crow which has 47
check into your hotel and 103
check your hard drive for 123
child care during world war 42
child died soon after its 60
child feel good about him 41
child feel good about his 57
child into your house and 69
child must have lived with 178
child must work alone and 50
child only three months old 62
child went forth every day 2867
child whom their creed has 51
chips will fall where they 55
chose their seed after them 883
cited much more often than 51
civil life adds pains and 97
clasp their arms round her 48
class even more worse off 48
class from those which are 80
clerk also take order that 50
close down their shops and 51
close look will reveal that 352
close many more which are 277
close reading will reveal that 43
close their eyes again and 170
close their eyes tight and 45
close their eyes while one 192
close their eyes while she 51
close their eyes while they 116
close their eyes while you 971
close upon their heels and 127
close your eyes again and 1013
close your eyes right now 97
close your eyes tight and 94
close your eyes until you 83
close your eyes while you 182
closing your eyes while you 41
cloths over their mouths and 84
cloths over their noses and 40
coals were soon raked off 43
coats from their backs and 56
cocks have great combs and 45
coins have been found all 67
coins have been found and 79
coins have been found near 286
coins have been found with 118
comes down from above and 231
comes down from heaven and 2293
comes down from heaven for 58
comes down from heaven that 48
comes down from heaven with 137
comes from data showing that 193
comes from deep within and 98
comes from deep within her 40
comes from deep within him 50
comes from deep within his 41
comes from deep within our 59
comes from deep within you 78
comes from good stock and 52
comes from other people and 53
comes from other people who 46
comes from rich cathay with 59
comes from their mouths and 146
comes from those people who 170
comes from work showing that 138
comes from your ideals and 49
comes from your mother and 51
comes home from playing with 41
comes into full force and 54
comes into play after you 55
comes into play again and 79
comes into play until that 94
comes into some money and 51
comes into such close and 60
comes into their lives and 76
comes into their minds and 77
comes into your house and 174
comes into your store and 60
comes more from within than 53
comes much more easily than 74
comes only when people are 41
comes over here every day 49
comes very good after one 147
comic tone when alone with 50
cooking over open fires and 49
coops from other lands her 532
costs have been lower than 79
costs have been taxed and 407
costs into their fixed and 602
costs over more units and 52
costs were much lower and 56
costs were much lower for 42
costs were much lower than 425
could also come under this 42
could also have added that 574
could also have asked for 56
could also have found that 182
could also have found this 45
could also have noted that 137
could also take place with 60
could also talk about how 43
could call their wives and 50
could care less about all 91
could care less about any 116
could care less about being 131
could care less about going 49
could care less about her 211
could care less about him 124
could care less about his 265
could care less about how 223
could care less about our 106
could care less about that 527
could care less about them 173
could care less about this 178
could care less about who 142
could care less about you 271
could cast their votes for 75
could clap your hands and 61
could come along later and 55
could come back again and 161
could come back later and 278
could come back later for 58
could come back today and 54
could come from dreams that 64
could come here every day 90
could come into action and 48
could come into action with 45
could come into court and 100
could come into court with 50
could come into touch with 93
could come over right now 61
could cope more easily with 106
could deny nothing could not 52
could even feel sorry for 99
could even joke about his 67
could even think about being 41
could even think about doing 51
could even think about going 84
could even think about that 92
could ever feel anything but 41
could ever find fault with 48
could ever find space for 56
could ever have asked for 239
could ever have cared for 194
could ever have found her 53
could ever have found him 45
could ever have found his 60
could ever have found its 66
could ever have found out 237
could ever have found them 63
could ever have given any 61
could ever have given her 78
could ever have given him 211
could ever have given them 141
could ever have hoped for 2008
could ever have known that 119
could ever have lived with 110
could ever have loved her 199
could ever have loved him 162
could ever have loved you 79
could ever have taken any 62
could ever have taken her 42
could ever have taken that 53
could ever think about was 75
could fain have loved him 48
could fain weep rather than 52
could feel good about that 112
could feel sweat breaking out 110
could feel sweat popping out 95
could feel tears filling her 40
could feel their warmth and 59
could feel very sorry for 40
could fill many pages with 1285
could fill these pages with 85
could find free fault with 88
could find full scope for 62
could find many people who 42
could find much fault with 92
could find nothing about her 45
could find nothing about him 82
could find nothing amiss with 65
could find nothing worse than 45
could find some basis for 89
could find some place for 97
could find some reason for 60
could from their hopes than 57
could give good reason for 43
could give nothing until they 56
could have been about any 130
could have been about that 97
could have been about this 60
could have been acted out 47
could have been added and 86
could have been added for 130
could have been added that 279
could have been added with 65
could have been alive and 128
could have been alive for 44
could have been alone with 173
could have been anything and 74
could have been anything but 2493
could have been anything she 132
could have been anything that 268
could have been anything you 96
could have been armed with 87
could have been asked and 59
could have been asked for 396
could have been aware how 112
could have been aware that 330
could have been begun and 49
could have been blown off 168
could have been blown out 178
could have been borne and 45
could have been borne with 88
could have been built and 405
could have been built for 1268
could have been built had 42
could have been built out 164
could have been built using 59
could have been built with 580
could have been cared for 404
could have been cause for 92
could have been cited for 79
could have been civil war 41
could have been coped with 97
could have been cured and 52
could have been cured had 77
could have been cured with 145
could have been dancing with 47
could have been drawn and 90
could have been drawn for 121
could have been drawn off 47
could have been drawn out 362
could have been drawn that 63
could have been drawn using 65
could have been drawn with 387
could have been dried and 49
could have been earned had 279
could have been earned with 114
could have been easier and 66
could have been easier for 469
could have been easier than 1527
could have been easily and 403
could have been easily met 89
could have been easily put 169
could have been easily won 70
could have been either for 53
could have been either his 44
could have been either one 529
could have been either way 80
could have been empty for 45
could have been ended with 47
could have been every bit 96
could have been faced with 238
could have been fatal but 48
could have been fatal for 287
could have been fatal had 71
could have been father and 143
could have been filed with 69
could have been finer than 624
could have been fired and 61
could have been fired for 140
could have been fired with 50
could have been fixed and 52
could have been fixed for 57
could have been fixed with 103
could have been found and 401
could have been found any 69
could have been found but 46
could have been found for 4057
could have been found had 155
could have been found long 102
could have been found near 49
could have been found not 84
could have been found out 1085
could have been found than 1656
could have been found that 1149
could have been found using 67
could have been found who 729
could have been found with 694
could have been gayer than 45
could have been given and 147
could have been given any 104
could have been given but 86
could have been given for 433
could have been given had 75
could have been given her 132
could have been given him 585
could have been given its 62
could have been given out 169
could have been given than 472
could have been given that 490
could have been given them 325
could have been given this 86
could have been given was 59
