cage on the back veranda 60
call in the fire brigade 55
call in the hill country 85
call in the last chapter 47
call in the main program 308
call in the next chapter 150
call in the next patient 60
call in the south pacific 40
call it an axiom because 58
call it in their language 375
call it in your country 46
call it my good fortune 47
call it the great western 142
call me at home tonight 254
call me at your earliest 318
call me in five minutes 47
call of the last trumpet 68
call of the open country 41
call on the good offices 50
call on the holy trinity 113
call on the other members 156
call on the other parties 96
call on the south african 163
call to the duty officer 46
call to the fire brigade 152
call to the same function 101
calm of the tide deepens 71
came as if from nowhere 86
came at the same instant 197
came at the very beginning 1389
came in an open carriage 81
came in at five minutes 60
came in he threw himself 103
came in in great numbers 103
came in in high spirits 62
came in the early decades 124
came in the early fifties 137
came in the early forties 99
came in the early sixties 200
came in the early thirties 168
came in the fifth century 323
came in the half century 49
came in the lady renewed 41
came in the last century 209
came in the last decades 99
came in the last quarter 503
came in the late fifties 159
came in the late forties 117
came in the late sixties 397
came in the late thirties 116
came in the next century 354
came in the ninth century 234
came in the open windows 98
came in the same carriage 68
came in the same instant 44
came in the same numbers 49
came in the same package 79
came in the sixth century 290
came in the tenth century 153
came in the third century 152
came in the third quarter 339
came in the very beginning 49
came in the years between 224
came in the years following 266
came in to take command 46
came in to warm himself 51
came of the great victory 48
came of the plan because 48
came of the safe arrival 85
came on by slow degrees 58
came on in great numbers 53
came on in such numbers 76
came on in three columns 67
came on the flat juniper 41
came on the line quickly 41
came on the wars between 58
came to an early decision 51
came to an even stranger 81
came to an open country 244
came to an open doorway 121
came to an open quarrel 393
came to an open rupture 2668
came to an open stretch 215
came to be good friends 240
came to be great friends 55
came to be held together 44
came to be less arboreal 57
came to be made against 53
came to be made between 666
came to be more broadly 61
came to be more closely 670
came to be more exactly 45
came to be more familiar 84
came to be more popular 85
came to be more sharply 117
came to be more strongly 106
came to be most closely 218
came to be most strongly 56
came to be much admired 141
came to be much revered 40
came to be seen largely 77
came to be there because 104
came to be there himself 100
came to be tied together 47
came to be used against 232
came to be used because 284
came to be used chiefly 158
came to be used largely 103
came to be used loosely 179
came to be used outside 92
came to be used together 47
came to be very closely 86
came to be very familiar 44
came to be very largely 90
came to be very popular 167
came to be well defined 42
came to be worth millions 50
came to do their function 71
came to it from outside 185
came to me from america 87
came to me from forward 109
came to me from friends 84
came to me from general 82
came to me from germany 42
came to me from nowhere 89
came to me from outside 222
came to me from senegal 64
came to me from several 136
came to me from sources 68
came to me last thursday 40
came to me only because 96
came to me very quickly 82
came to me very strongly 139
came to my eyes because 161
came to my mind because 154
came to my room tonight 176
came to so dread williams 92
came to the best country 47
came to the city because 228
came to the city between 48
came to the coal valleys 40
came to the door because 64
came to the door between 71
came to the door dressed 237
came to the door herself 518
came to the door himself 553
came to the door quickly 114
came to the door several 48
came to the door together 105
came to the door wrapped 53
came to the fine passage 169
came to the firm decision 62
came to the flying mercury 51
came to the fore because 381
came to the fore between 157
came to the fore following 196
came to the fore regarding 43
came to the fore shortly 79
came to the fore towards 80
came to the great camphor 87
came to the great central 56
came to the great council 44
came to the great decision 50
came to the great northern 93
came to the great pyramid 424
came to the great question 46
came to the high country 79
came to the hill country 145
came to the holy prophet 2503
came to the lake superior 89
came to the last chapter 130
came to the last picture 67
came to the last portage 47
came to the last question 133
came to the last stretch 42
came to the last village 197
came to the line beginning 131
came to the main channel 49
came to the main highway 105
came to the main purpose 41
came to the main question 51
came to the main subject 40
came to the most fertile 49
came to the most northern 43
came to the next question 124
came to the next village 242
came to the north country 108
came to the only decision 58
came to the only logical 107
came to the open country 293
came to the open doorway 208
came to the play stirred 41
came to the polo grounds 136
came to the same college 45
came to the same decision 1009
came to the same general 519
came to the same position 118
came to the same purport 52
came to the same results 231
came to the same solution 71
came to the same village 54
came to the soup kitchen 73
came to the south african 81
came to the south pacific 125
came to the third chapter 61
came to the tiny village 83
came to the union pacific 56
came to the very natural 120
came to the west african 71
came to the west country 138
came to the wise decision 104
came to the word tarnish 154
came to the wrong address 70
came to the wrong country 53
came to the wrong decision 62
came to the young officer 62
came to to find himself 42
came to us from america 173
came to us from ancient 50
came to us from foreign 63
came to us from germany 258
came to us from holland 43
came to us from outside 228
came to us from several 55
came to us from stranger 43
came up in great numbers 355
came up in such numbers 48
came up in three columns 63
came up the hill towards 112
came up the road towards 71
came up the walk together 68
came up to rest against 77
came up to take command 121
came up to their armpits 115
came up to their middles 50
came up to their support 420
came up to three hundred 41
came up to town according 60
came up to town together 51
came up to town towards 76
camp at the fair grounds 124
camp in an arab village 57
camp in the high country 53
camp in the hill country 43
camp in the open country 144
camp in the open prairie 63
