cadences that rose and fell 85
caissons with odds and ends 41
calendar was from that time 56
calmness that nothing but great 60
calories and keep him trim 50
calories are used not only 143
calories per gram per hour 155
calories per hour per gram 351
calories you need for your 43
campaign for truth and fair 53
campaign had been too much 173
campaign had done its work 62
campaign may have had some 58
campaign was more than just 106
candidly say what they think 59
candidly say what you think 54
capacity and love for work 42
capacity and more than half 43
capacity and need for love 54
capacity and there has been 40
capacity and what they tell 161
capacity for coping with life 48
capacity for dealing with such 105
capacity for dealing with these 116
capacity for dealing with those 58
capacity for give and take 110
capacity for good and evil 2408
capacity for great and good 134
capacity for life and love 121
capacity for love and caring 113
capacity for love and hate 349
capacity for love and self 256
capacity for love and work 327
capacity for love had been 62
capacity for love has been 101
capacity for loving and caring 119
capacity for loving and living 42
capacity for making bad puns 53
capacity for more and more 99
capacity for more than five 71
capacity for more than four 60
capacity for more than three 107
capacity for over two years 43
capacity for ruin are made 59
capacity for seeing and hearing 52
capacity for seeing things from 53
capacity for what has been 106
capacity for work and great 41
capacity for work and love 57
capacity for work and play 240
capacity for work and sane 85
capacity for work and self 173
capacity for work and their 121
capacity for work had been 80
capacity for work has been 195
capacity for work was very 65
capacity was less than half 51
capsized and sank his canoe 139
captains and their men were 69
captured and held for some 68
captured and held for trial 40
captured and were being held 167
captured had been set free 41
captured her gaze and held 76
captured her hand and held 143
captured her heart and soul 48
captured his heart and soul 46
captured his mind and heart 83
captured his mouth with hers 107
captured with hook and line 84
carbines and shot him down 99
caressed each other with their 82
caressed her face and hair 77
caressed her face and neck 107
caressed his face and hair 51
carnival was over they made 55
carriages are kept for sale 61
carriages may pass each other 41
casement had been set open 71
category are those that have 80
category are those who have 290
category with those who have 57
cathedral that bears his name 66
cautioned that there are many 135
cemented with lime and sand 123
cemetery for those who died 103
centurion and those who were 192
centurion saw what was done 396
ceremony for those who have 63
ceremony than those who took 41
ceremony was held with great 55
ceremony was null and void 70
ceremony was over they were 89
certifying that such and such 43
certifying that there has been 64
challenge all those who have 51
challenge each other with their 63
challenge for those who have 116
challenge for those who seek 171
challenge for those who want 269
challenge for those who wish 343
challenge for those who work 73
challenge our wine and bread 96
challenging each other with their 66
challenging for those who have 49
champions had lost his life 62
channels and keep them from 58
channels are used for data 117
channels may have cut into 61
channels that have not been 85
channels that make them take 86
chapters than upon any other 117
chapters that have not been 69
chapters that there are many 139
chapters that there has been 41
charcoal and iron ore were 63
charcoal was used for fuel 60
chastise them when they were 45
chastity was very far from 149
cheerful any more than their 52
chickens and cows and pigs 89
chickens and cream for their 60
chickens and dogs and cats 63
chickens and pigs and cows 55
children all dark and heavy 121
children and also for their 50
children and also for those 43
children and bringing them into 53
children and care for their 173
children and caring for their 254
children and cats and dogs 84
children and cook and clean 42
children and dealing with their 63
children and dogs all come 82
children and dogs and cats 117
children and even his wife 162
children and fears its youth 42
children and find out what 155
children and from each other 70
children and gave them some 57
children and gave them their 63
children and give them good 40
children and give them some 90
children and give them their 78
children and give them what 68
children and hand them over 84
children and have not been 110
children and help them cope 45
children and help them feel 51
children and help them grow 124
children and help them learn 145
children and help them make 54
children and hope they will 55
children and keep them away 83
children and keep them from 337
children and keep them safe 174
children and kept them from 49
children and leave them well 59
children and made them feel 64
children and make them feel 235
children and make them good 51
children and make them into 65
children and make them more 157
children and make them work 53
children and making them feel 59
children and more and more 182
children and more than half 331
children and more than three 92
children and plan for their 43
children and play with their 49
children and save them from 125
children and seen them most 145
children and sell them into 115
children and send them back 44
children and send them into 42
children and sent them away 67
children and sent them into 57
children and sold them into 115
children and some that were 63
children and take them away 149
children and take them back 130
children and take them home 295
children and take them into 80
children and teach them good 41
children and teach them what 48
children and tell them what 158
children and there are many 122
children and there had been 43
children and there has been 83
children and there was nothing 54
children and there was only 93
children and those for whom 76
children and those that have 54
children and those that suck 72
children and those who came 63
children and those who care 263
children and those who come 147
children and those who have 1224
children and those who live 126
children and those who love 142
children and those who need 70
children and those who want 66
children and those who were 618
children and those who will 95
children and those who wish 41
children and those who work 148
children and those with less 63
children and those with more 184
children and those with other 121
children and those with whom 71
children and threw them into 182
children and throw them into 57
children and told them what 78
children and took them away 96
children and took them back 99
children and took them home 136
children and took them into 72
children and turn them into 186
children and wealth and live 88
children and went out into 62
children and what are their 43
children and what they have 115
children and what they learn 56
children and what they need 115
children and what they want 48
children and what they were 142
children and when they have 43
children and when they were 117
children and will not have 44
children and young men were 59
children and youth all over 52
children and youth and also 43
children and youth and have 45
children and youth and their 490
children and youth and those 62
children and youth are also 76
children and youth are less 44
children and youth are more 214
children and youth but also 189
children and youth can learn 77
children and youth for life 136
children and youth for their 90
children and youth for whom 97
children and youth had been 93
children and youth has been 256
children and youth may have 50
children and youth not only 91
children and youth that have 63
children and youth that were 63
children and youth who come 81
children and youth who give 43
children and youth who have 828
children and youth who live 108
children and youth who need 120
children and youth who were 257
children and youth who will 97
children and youth with their 49
children and youth with whom 84
children any more than their 41
children are able not only 70
children are born and bred 101
children are born and grow 420
children are born and live 96
children are born and more 106
children are born not only 42
children are born they will 42
children are born who have 40
children are born who will 53
children are born with birth 99
children are born with more 61
children are born with only 120
children are born with some 208
children are born with such 84
children are born with teeth 52
children are born with their 156
children are born with these 56
children are born with very 76
children are born with what 47
children are busy with their 193
children are clean and well 116
children are crying for bread 326
children are crying for food 202
children are crying for their 56
children are crying with cold 56
children are just not ready 45
children are left too much 66
children are left with their 89
children are less and less 120
children are less than five 51
children are less than those 98
children are like and what 319
children are living and well 47
children are living with only 42
children are living with their 381
children are making too much 49
children are more and more 620
