cake frosting and as light 43
call button for the nurse 170
call mowgli and he shall 79
calm enough yet to write 53
came aboard for the first 52
came across for the first 133
came across one in which 57
came around for the first 48
came ashore for the first 88
came before him as judge 45
came before him he would 89
came before him in court 67
came before him in which 114
came before him of tithes 40
came before him on appeal 44
came before him the vision 44
came bounding out the front 105
came bounding out to greet 67
came charging out the front 104
came closer and he could 78
came closer than the others 79
came faster than he could 123
came hurrying out to greet 93
came preaching that the kingdom 45
came purely for the glory 61
came shouts and the sound 57
came sooner than he could 50
came streaming out in every 57
came through for me again 94
came through for the first 52
came through that the enemy 81
came through with an offer 180
came through with the first 62
came through with the goods 85
came through with the money 424
came toward him on tiptoe 49
camp halted for the night 49
camp showed that the money 96
camp turned out to watch 60
cane fields and the sugar 58
caps popped out of every 146
care center for the first 56
care greatly for the story 75
care little for the abuse 139
care little for the danger 89
care little for the lives 145
care little for the people 69
care little for the social 87
care little for the sport 57
care little for the title 40
care little for the world 154
care little how the world 83
care neither for the mother 54
care should not be based 124
care should not be given 97
care should not be taken 275
care should not be wanting 51
care should now be taken 99
care should then be taken 286
care should thus be taken 113
care system and the social 147
care system for the first 96
care system that is based 104
care whether our sea coast 251
caring little for the world 61
caring whether for so short 220
cars parked near the house 44
cars parked out in front 131
case anyone was in doubt 85
case before going to court 122
case before him in which 74
case begins with the tenet 51
case better than we could 67
case except one in which 66
case except that in which 96
case reveals that the showing 109
case should not be based 42
case should not be given 98
case should not be taken 487
case should not be tried 214
case solely out of spite 92
case without fear or favor 97
case without going to court 128
cash budget for the first 208
cash budget for the months 141
cash budget for the period 85
cash exists out of banks 42
cash income and the value 40
cash income for the first 125
cash income for the people 41
cash income for the rural 141
cash prizes for the winning 84
cast anchor for the night 1131
cast anchor near the shore 103
cast anchor off the coast 270
cast anchor off the shore 105
cast around for the right 121
cast before them as bones 42
cast behind them the bones 89
cast behind you the bones 102
cast demons out of people 246
cell bodies and the axons 148
cell bodies can be found 49
cell layers and the shape 61
cell tumors may be found 45
cell volume and the total 163
cent chance that he would 56
cent chance that it would 65
cent chance that the child 85
cent cheaper than it would 47
cent faster than the growth 51
cent greater than it would 106
cent greater than the first 76
cent greater than the rated 74
cent greater than the speed 44
cent greater than the total 700
cent greater than the value 320
cent greater than the yield 54
cent higher than in april 48
cent higher than in japan 48
cent higher than in march 59
cent higher than it would 879
cent higher than the above 68
cent higher than the basic 217
cent higher than the costs 48
cent higher than the earnings 60
cent higher than the first 137
cent higher than the growth 101
cent higher than the level 384
cent higher than the local 49
cent higher than the median 145
cent higher than the price 781
cent higher than the rated 45
cent higher than the rates 234
cent higher than the rural 109
cent higher than the state 205
cent higher than the total 549
cent higher than the urban 49
cent higher than the usual 82
cent higher than the value 388
cent higher than the wages 107
cent higher than the white 111
cent higher than the world 428
cent higher than the yield 86
cent larger than it would 56
cent larger than the first 51
cent larger than the total 136
cent larger than the value 56
cent phenol may be added 40
cent thought that it would 157
cheap credit for the rural 91
cheap houses for the working 46
cheat someone out of money 108
city itself and the whole 46
city itself was in ruins 44
city itself was the scene 52
city passes out of sight 64
city should not be given 50
city should not be liable 82
city should not be taken 154
city should then be taken 56
city states and the roman 60
city strict was the glint 70
city turned out in force 65
city turned out to cheer 61
city turned out to greet 156
city turned out to honor 42
city turned out to watch 103
clap louder than the first 45
clean animal and of every 269
clean another way of working 60
clean clothes for the first 46
clean clothes for the morning 41
clean except for the crane 55
clean sheets for the first 69
clear advice that he could 120
clear answer can be found 91
clear answer can be given 923
clear border and an inner 43
clear enough for the reader 151
clear enough that he could 132
clear enough that he would 166
clear enough that it would 58
clear enough that the first 109
clear enough that the hound 88
clear enough that the people 53
clear enough that the reader 44
clear enough that the whole 180
clear enough that we ought 50
clear enough that we shall 43
clear fluids may be taken 50
clear liquid can be drawn 45
clear liquid may be drawn 60
clear opinion that it would 78
clear signal that he would 49
clear signal that it would 72
clear whether one is talking 74
clear whether this is based 57
clear whether this is cause 48
clear whether this is really 79
cloth cheaper than we could 53
club closed for the night 71
club formed for the study 50
clung dripping with the brine 110
coal strike and no earthly 43
coal supply and the coaling 63
coat closet near the front 64
coat faster than the laird 89
cock crowed for my blame 42
cock crowed for the first 44
code framed for the curbing 41
code number for the first 54
code without using the dingbat 85
cold enough for the water 132
cold mutton all the world 100
cold spirit did the moral 66
cold waters off the coast 127
come abroad with the welly 62
come across for the first 237
come across one in which 59
come across with the dough 43
come across with the goods 142
come across with the money 187
come almost for no reason 90
come ashore and be hanged 92
come ashore that he might 54
come before him in which 48
come before them in court 48
come before them in which 98
come before you to stand 49
come closer than the others 52
come dimpling out of doors 217
come earlier than the others 44
come through for me again 141
come through with an offer 150
come through with the goods 472
come through with the money 929
come through with the right 197
come tripping off the tongue 41
coming faster than he could 55
coming through with the money 44
coming toward you or running 46
cool attire for the season 49
cool breeze off the river 100
cool breeze off the water 337
cool enough not to scald 48
cope better with the world 61
core values are at stake 99
corn factor and the money 59
corn should not be grown 42
corn should not be taken 63
cost curves are as shown 42
cost curves can be drawn 131
cost curves for the firms 189
cost greater than or equal 61
cost greater than the price 111
cost greater than the value 46
cost higher than the price 85
cost shares sum to unity 170
cost should not be borne 122
cost should not be taken 86
cost varies with the level 60
cost worked out at about 46
crag sucked him up still 48
cream cheese with the sugar 90
cream should not be given 40
crew landed and the awnings 49
crop losses due to pests 274
crop losses due to plant 126
crop losses due to weeds 261
crop should not be grown 116
cubs remain with the mother 58
cure should not be worse 41
cure sought may be worse 90
cuts across all the others 286
