calcine the body of this 75
calcium as well as for 50
calcium in areas of fat 54
calcium to make up for 70
callous as those of all 41
cameras as well as for 40
cameras as well as with 41
canceling the rest of his 40
cancels an item of new 73
cancers as well as for 71
canvass as well as any 40
capable as those of any 51
capable at least of being 236
capable at once of being 66
capable in time of being 53
capable in time of war 82
capable of acting as both 148
capable of acting as his 109
capable of acting as its 75
capable of acting as one 338
capable of acting as you 63
capable of acting at all 94
capable of acting in all 134
capable of acting in any 231
capable of acting in both 63
capable of acting in his 171
capable of acting in its 132
capable of acting in one 42
capable of acting in that 141
capable of acting in this 464
capable of acting in two 51
capable of acting on all 435
capable of acting on and 67
capable of acting on any 76
capable of acting on each 143
capable of acting on her 134
capable of acting on his 491
capable of acting on its 399
capable of acting on one 336
capable of acting on our 117
capable of acting on that 131
capable of acting on them 548
capable of acting on this 142
capable of acting or being 164
capable of adding to her 42
capable of adding to his 144
capable of adding to its 105
capable of adding to our 103
capable of bearing the heat 82
capable of bringing an end 71
capable of bringing it out 110
capable of bringing the dead 63
capable of bringing the two 40
capable of bringing the war 89
capable of bringing to bear 572
capable of bringing to its 58
capable of bringing to our 55
capable of bringing up her 82
capable of coming to any 64
capable of coming to his 65
capable of coming to see 63
capable of coming up with 2730
capable of earning my own 112
capable of ending the war 121
capable of fixing an idea 70
capable of giving an idea 94
capable of giving at that 59
capable of giving it than 80
capable of giving me any 84
capable of giving to all 44
capable of giving to any 172
capable of giving to each 72
capable of giving to her 47
capable of giving to his 223
capable of giving to its 92
capable of giving to our 49
capable of giving to them 91
capable of giving to this 42
capable of giving up all 42
capable of giving up her 45
capable of giving up his 147
capable of giving up its 61
capable of giving us all 121
capable of giving us any 147
capable of giving us joy 79
capable of giving us this 84
capable of good or bad 106
capable of having an idea 97
capable of having the idea 41
capable of laying an egg 49
capable of leading the new 43
capable of leading the way 225
capable of leading to and 50
capable of leading to any 67
capable of leading to new 55
capable of leading to this 50
capable of leading us out 118
capable of leaping to his 51
capable of leaving the earth 49
capable of life is being 44
capable of living at all 102
capable of living by his 84
capable of living in all 114
capable of living in and 60
capable of living in any 84
capable of living in both 82
capable of living in that 65
capable of living in this 155
capable of living in two 67
capable of living on dead 46
capable of living on dry 71
capable of living on her 81
capable of living on his 81
capable of living on its 94
capable of love at all 218
capable of loving at all 55
capable of making an act 44
capable of making in his 68
capable of making in this 43
capable of making it all 52
capable of making my own 922
capable of making the big 49
capable of making the earth 93
capable of making the law 90
capable of making the leap 104
capable of making the long 117
capable of making the man 129
capable of making the new 62
capable of making the run 44
capable of making up all 43
capable of making up for 437
capable of making up her 181
capable of making up his 722
capable of making up its 70
capable of making up our 67
capable of making up that 41
capable of making us see 61
capable of moving at all 51
capable of moving in all 105
capable of moving in and 131
capable of moving in any 223
capable of moving in one 45
capable of moving in two 71
capable of moving on each 42
capable of moving on its 56
capable of moving or being 85
capable of moving to and 60
capable of moving to any 66
capable of moving up and 410
capable of much in this 40
capable of nothing at all 237
capable of paving the way 122
capable of paying my own 42
capable of reading at all 41
capable of reading in this 42
capable of rising by its 45
capable of rising to any 217
capable of rising to his 69
capable of rising to its 86
capable of rising to new 49
capable of rising to that 49
capable of rising to thee 86
capable of rising to this 214
capable of rising up and 90
capable of saying or doing 147
capable of saying to her 111
capable of saying to his 52
capable of seats in this 157
capable of seeing in this 51
capable of seeing it for 49
capable of seeing the big 84
capable of seeing the two 135
capable of such an act 2797
capable of such an idea 104
capable of taking an oath 115
capable of taking in all 220
capable of taking in and 247
capable of taking in any 91
capable of taking in its 52
capable of taking in new 40
capable of taking it all 51
capable of taking it out 47
capable of taking my own 57
capable of taking on all 371
capable of taking on and 190
capable of taking on any 513
capable of taking on her 71
capable of taking on new 286
capable of taking on one 42
capable of taking on that 62
capable of taking on this 186
capable of taking on two 43
capable of taking the law 61
capable of taking the lead 2108
capable of taking the long 126
capable of taking the new 43
capable of taking the oath 41
capable of taking the war 158
capable of taking to him 53
capable of taking up all 100
capable of taking up and 687
capable of taking up any 188
capable of taking up both 50
capable of taking up dna 96
capable of taking up his 93
capable of taking up its 41
capable of taking up new 45
capable of taking up one 168
capable of taking up this 179
capable of taking up two 47
capable of voting at any 99
capable of voting in any 93
capable of waging the war 53
capable of wearing it with 61
capable of what he had 51
capable of what is not 57
capable of what is now 49
capable of when he was 89
capable of when it has 42
capable of work of any 62
capital as much as they 72
capital as part of his 79
capital as part of its 159
capital as soon as they 112
capital as such is not 62
capital as well as all 107
capital as well as any 70
capital as well as being 47
capital as well as for 759
