caliph that their religion and 69
called all their friends and 45
called all their kinsmen and 42
called each other brothers and 109
called each other husband and 115
called easy reading perhaps too 80
called for five thousand men 42
called for from storage and 65
called for great courage and 84
called for jury service and 78
called for more capital than 80
called for more courage than 50
called for more research and 96
called for more support for 88
called for room service and 49
called for very decided and 46
called his army together and 91
called his crew together and 128
called his sons together and 264
called out three thousand men 58
calmer and more peaceful than 63
calmer and more relaxed than 94
camels and other animals are 49
camels and other animals that 41
camels had been carried off 101
cancel each other because they 102
cancer and birth defects and 61
cancer and heart attacks and 40
cancer and heart diseases are 45
cancer and other diseases and 170
cancer and other diseases are 128
cancer and other diseases can 48
cancer and other diseases has 55
cancer and other diseases may 42
cancer and other diseases that 377
cancer and other diseases with 59
cancer has been carried out 69
cancer has been present for 47
cancer has been studied for 47
candle had been snuffed out 81
cannon and foot against our 59
cannon and three hundred men 72
cannon far more rapidly than 43
canons and other general and 97
canopy had been erected for 84
canvas had been erected all 68
career had been crowned with 49
career has been crowned with 57
career has been fraught with 40
career has been notable for 41
caries has been removed and 51
carrying all their belongings with 62
carrying his coat because one 40
carrying off their wounded and 147
carrying out land reforms and 47
carrying out such research and 46
carrying out such studies and 47
carrying out their cushions and 47
carrying out their research and 57
casket and those flowers and 48
castings had been exposed for 47
castle was soon alarmed and 40
catching her face between his 43
cathode ray tube display and 89
cattle and other animals and 238
cattle and other animals are 167
cattle and other animals for 89
cattle and other animals had 43
cattle and other animals that 274
cattle and other animals was 49
cattle and wild animals and 44
cattle are much smaller than 45
cattle had been carried off 634
caught her breath quickly and 127
caught her breath sharply and 203
caught her chin between his 342
caught her face between his 836
caught her finger between his 43
caught her hand between his 69
caught her hard against him 71
caught her lips between her 60
caught his breath sharply and 118
caught his face between her 391
caught his foot between two 66
caught his hand between both 64
caught his hand between his 40
caused far more trouble than 111
caused her great anxiety and 57
caused her more anxiety than 54
caused her more suffering than 63
caused her more trouble than 53
caused her much anxiety and 53
caused him great anxiety and 104
caused him great anxiety for 68
caused him great concern and 48
caused him great suffering and 83
caused him great trouble and 90
caused him less anxiety than 43
caused him more anxiety than 245
caused him more concern than 59
caused him more suffering than 91
caused him more trouble and 64
caused him more trouble than 424
caused him much anxiety and 213
caused him much suffering and 75
caused him much trouble and 250
caused him much trouble with 44
caused him some anxiety and 43
caused them more trouble than 77
caused them much trouble and 58
caused too much trouble and 67
caused too much trouble for 60
causes and risk factors for 274
causes and their effects and 118
causes and their effects are 554
causes and their effects can 118
causes are more complex and 73
causes are more complex than 126
causes are well handled and 220
causes that have brought them 85
causes that have brought this 66
caution that these results are 56
caution them only against using 53
cavity has been entered and 65
ceilings and tall windows and 40
cellar was well stocked with 169
cement has been offered for 43
census had been carried out 272
census has been carried out 503
chains are much shorter than 42
chairs and four persons that 47
chairs and sofa stuffed with 122
chairs had been arranged for 117
chairs had been brought out 104
chairs had been removed and 82
chaise and four wheeled off 73
chance for their payment but 67
chance for your majesty and 50
chance has been favored and 85
chance may well dictate that 64
changed far more rapidly than 131
changed her mind because she 245
changed her name because she 47
changed his life forever and 60
changed his mind because his 51
changed his mind regarding his 68
changes and other factors that 65
changes and their effects are 165
changes are made blindly and 55
changes are more complex and 101
changes are more complex than 143
changes are more gradual and 134
changes are more gradual than 61
changes are more intense and 89
changes are much smaller than 209
changes are very gradual and 40
changes far more drastic than 91
changes far more quickly than 41
changes far more radical than 89
changes far more rapidly than 229
changes had been carried out 333
changes has been carried out 63
changes may also account for 70
changes that were carried out 169
changes that were occurring and 136
changes that were occurring with 43
changes that will benefit all 98
changes that will benefit them 65
changes that will benefit you 41
changes that will improve our 68
chapel had been erected for 55
charge being laid against him 74
charge being laid against them 41
charge being made against her 46
charge being made against him 271
charge being made against them 176
charge has been brought that 117
charge has been leveled that 128
charge now made against him 48
charge per unit surface area 533
charge that great britain was 90
charge was laid against him 156
charge was laid against them 69
charge was made against her 107
charge was made against him 976
charge was made against one 47
charge was made against them 246
charge was made against this 58
charge you three dollars for 171
chatting with their friends and 84
cheaper and less painful than 49
cheaper and more certain than 53
cheaper and more compact than 103
cheaper and more durable than 475
cheaper and more popular than 47
cheaper and more private than 51
cheaper and more reliable and 46
cheaper and more reliable than 734
cheaply and more quickly than 139
cheaply and more rapidly than 483
checking has been carried out 45
