cab out to the airport 96
can act as an adjunct 69
can act as an adviser 58
can act as an antenna 418
can act as an antigen 636
can act as an arbiter 51
can act as an example 85
can act as an impetus 104
can act as an inducer 115
can act as an optical 75
can act as an osmotic 48
can act as an oxidant 95
can act as an oxidizing 416
can act as he chooses 75
can act as the central 86
can act as the company 66
can act as the nucleus 46
can act as the primary 295
can act as the solvent 98
can act as the subject 123
can act as the trigger 85
can act as the vehicle 57
can act in an instant 50
can act in the absence 277
can act in the following 100
can act in the present 220
can act in the service 41
can act on the central 48
can act on the material 56
can act on the muscles 47
can act on the patient 62
can act on the results 50
can act on the subject 164
can act on the surface 54
can add to or correct 48
can add to or detract 722
can add to the account 51
can add to the anxiety 53
can add to the article 49
can add to the beauties 179
can add to the comfort 261
can add to the company 59
can add to the content 86
can add to the current 109
can add to the dignity 80
can add to the display 45
can add to the effects 120
can add to the expense 78
can add to the following 101
can add to the foregoing 41
can add to the general 235
can add to the illusion 69
can add to the message 50
can add to the national 97
can add to the natural 184
can add to the numbers 56
can add to the overall 906
can add to the patient 267
can add to the picture 153
can add to the pleasure 403
can add to the present 65
can add to the previous 44
can add to the problem 436
can add to the process 84
can add to the product 170
can add to the program 70
can add to the project 66
can add to the quality 359
can add to the revenue 105
can add to the sensory 54
can add to the success 101
can add to the toolbar 176
can add to the treasury 55
can add to the variety 95
can add to the welfare 86
can add up the numbers 61
can add up to millions 121
can add up to produce 81
can add up to several 229
can aid in the control 103
can aid in the decision 174
can aid in the location 44
can aid in the overall 49
can aid in the process 500
can aid in the removal 103
can aid in the solution 200
can all be of service 46
can all be the subject 58
can all do it together 97
can all go in together 67
can all go on together 40
can all go up together 60
can and do go together 103
can and do on occasion 141
can and in the process 42
can any of us believe 59
can any of us imagine 142
can any thing be plainer 172
can ask if the patient 86
can ask to be dropped 76
can ask to be excused 85
can ask to be released 48
can ask to be removed 44
can bear it in silence 54
can bear on the question 71
can bear to be checked 44
can bear to be handled 43
can bear to be laughed 135
can bear to be rallied 62
can bet on the behavior 51
can bet on the outcome 49
can bring in an outside 45
can bring it to fruition 149
can bring to it certain 41
can bring to the company 246
can bring to the country 84
can bring to the decision 51
can bring to the marriage 47
can bring to the occasion 86
can bring to the patient 92
can bring to the position 129
can bring to the problem 155
can bring to the process 270
can bring to the program 49
can bring to the project 169
can bring to the research 43
can bring to the service 99
can bring to the solution 80
can bring to the student 60
can bring to the subject 369
can bring to the support 59
can bring to the surface 1010
can bring up the question 45
can bring up the subject 396
can bring us to believe 63
can bring us to fervent 49
can but be an average 103
can but be as thankful 59
can but be the outward 52
