can an apprentice or servant 56
can be abbreviated as follows 296
can be absolutely no question 632
can be abstracted as follows 117
can be acceptable in certain 42
can be aggravated by certain 50
can be aggregated to produce 165
can be aggregated to provide 232
can be aggregated to satisfy 45
can be aggressive or passive 41
can be alphabetic or numeric 56
can be ameliorated by careful 54
can be ameliorated by increasing 81
can be ameliorated by providing 55
can be apportioned as follows 45
can be appreciated as follows 84
can be appreciated by analyzing 47
can be appreciated by comparing 1932
can be appreciated by examining 971
can be appreciated by following 65
can be appreciated by imagining 141
can be appreciated by observing 293
can be appreciated by palpating 47
can be appreciated by recalling 235
can be appreciated by referring 286
can be appreciated by returning 42
can be appreciated by reviewing 188
can be appreciated in relation 78
can be appreciated in several 40
can be appreciated on several 75
can be approached as closely 219
can be approached as follows 244
can be approached at several 65
can be approached by analyzing 65
can be approached by comparing 96
can be approached by examining 257
can be approached by several 139
can be approached in exactly 45
can be approached in several 1449
can be approached in similar 70
can be approached on several 89
can be approached to provide 46
can be appropriate in certain 111
can be attenuated by increasing 45
can be attributed as follows 45
can be attributed in general 44
can be attributed to absence 50
can be attributed to adverse 100
can be attributed to african 41
can be attributed to alcohol 267
can be attributed to altered 76
can be attributed to america 50
can be attributed to animals 119
can be attributed to anxiety 60
can be attributed to aspects 44
can be attributed to between 43
can be attributed to brahman 43
can be attributed to british 61
can be attributed to capital 324
can be attributed to careful 74
can be attributed to central 67
can be attributed to certain 725
can be attributed to charles 72
can be attributed to chinese 50
can be attributed to chronic 158
can be attributed to climate 158
can be attributed to colonial 44
can be attributed to complex 70
can be attributed to congress 44
can be attributed to contact 205
can be attributed to control 50
can be attributed to culture 149
can be attributed to current 131
can be attributed to declining 104
can be attributed to decreasing 72
can be attributed to defects 160
can be attributed to density 42
can be attributed to dietary 233
can be attributed to differing 252
can be attributed to dilution 62
can be attributed to diverse 50
can be attributed to dynamic 57
can be attributed to effects 165
can be attributed to efforts 105
can be attributed to european 73
can be attributed to exchange 151
can be attributed to extreme 62
can be attributed to factors 1348
can be attributed to failure 365
can be attributed to fatigue 127
can be attributed to features 81
can be attributed to federal 150
can be attributed to foreign 377
can be attributed to fortune 223
can be attributed to friction 131
can be attributed to general 371
can be attributed to genetic 1691
can be attributed to genuine 75
can be attributed to habitat 44
can be attributed to increase 143
can be attributed to increasing 448
can be attributed to intense 54
can be attributed to johnson 45
can be attributed to language 226
can be attributed to lateral 46
can be attributed to leonardo 53
can be attributed to limited 240
can be attributed to mankind 42
can be attributed to marketing 90
can be attributed to massive 53
can be attributed to material 156
can be attributed to medical 182
can be attributed to members 68
can be attributed to national 139
can be attributed to natural 736
can be attributed to neglect 115
can be attributed to obesity 190
can be attributed to objects 112
can be attributed to official 49
can be attributed to organic 103
can be attributed to outside 62
can be attributed to parents 43
can be attributed to passive 67
can be attributed to patient 43
can be attributed to persons 122
can be attributed to poverty 96
can be attributed to previous 86
can be attributed to primary 80
can be attributed to private 71
can be attributed to program 72
can be attributed to protein 74
can be attributed to quality 60
can be attributed to radiation 142
can be attributed to reactions 53
can be attributed to reduced 742
can be attributed to regional 186
can be attributed to religion 45
can be attributed to removal 66
can be attributed to repeated 49
can be attributed to research 325
can be attributed to rustics 114
can be attributed to science 45
can be attributed to screening 44
can be attributed to scribal 107
can be attributed to seasonal 135
can be attributed to service 72
can be attributed to several 7599
can be attributed to similar 181
can be attributed to smaller 64
can be attributed to society 115
can be attributed to sources 77
can be attributed to spanish 42
can be attributed to species 76
can be attributed to stronger 49
can be attributed to superior 67
can be attributed to surface 245
can be attributed to systems 42
can be attributed to teachers 75
can be attributed to tobacco 311
can be attributed to tourism 64
can be attributed to unequal 59
can be attributed to unusual 53
can be attributed to variable 62
can be attributed to variance 45
can be attributed to variation 1067
can be attributed to vitamin 62
can be attributed to western 130
can be attributed to workers 46
can be calculated as equation 55
can be calculated as example 52
can be calculated as following 219
can be calculated as follows 30737
can be calculated as function 122
can be calculated by addition 96
can be calculated by adjusting 118
can be calculated by analogy 71
can be calculated by analyzing 172
can be calculated by assessing 68
can be calculated by assigning 180
can be calculated by averaging 518
can be calculated by balancing 63
can be calculated by combining 890
can be calculated by comparing 1570
can be calculated by computing 325
can be calculated by deducting 227
can be calculated by employing 219
can be calculated by equation 2436
can be calculated by examining 176
can be calculated by expanding 176
can be calculated by extending 60
can be calculated by following 472
can be calculated by formula 544
can be calculated by fourier 154
can be calculated by imagining 51
can be calculated by including 94
can be calculated by increasing 40
can be calculated by inserting 454
can be calculated by inverse 100
can be calculated by inverting 86
can be calculated by modifying 113
can be calculated by observing 201
can be calculated by obtaining 148
can be calculated by quantum 283
can be calculated by rearranging 417
can be calculated by recording 90
can be calculated by referring 181
can be calculated by regarding 54
can be calculated by repeated 157
can be calculated by replacing 403
can be calculated by requiring 71
can be calculated by resolving 65
can be calculated by rewriting 64
can be calculated by selecting 98
can be calculated by several 229
can be calculated by similar 73
can be calculated by solution 50
can be calculated by statics 91
can be calculated by supposing 46
can be calculated by utilizing 151
can be calculated by weighting 137
can be calculated if certain 67
can be calculated if desired 105
can be calculated in addition 53
can be calculated in advance 3436
can be calculated in analogy 59
can be calculated in certain 49
can be calculated in dollars 106
can be calculated in exactly 309
can be calculated in general 145
can be calculated in relation 443
can be calculated in several 869
can be calculated in similar 120
can be calculated or derived 62
can be calculated or measured 1051
can be calculated the following 45
can be calculated to achieve 58
can be calculated to compare 72
can be calculated to express 65
can be calculated to include 42
can be calculated to increase 51
can be calculated to produce 108
can be calculated to provide 237
can be calculated to reflect 49
can be calibrated as follows 73
can be calibrated by adjusting 44
can be calibrated by comparing 110
can be calibrated by observing 56
can be calibrated to deliver 54
can be calibrated to produce 65
can be calibrated to provide 174
can be classified as applied 107
can be classified as capital 370
can be classified as central 116
can be classified as chronic 94
can be classified as complex 149
can be classified as contact 41
can be classified as control 45
can be classified as creative 43
can be classified as current 95
can be classified as digital 47
can be classified as dynamic 81
can be classified as elastic 45
can be classified as fibrous 45
can be classified as following 123
can be classified as follows 16475
can be classified as foreign 89
can be classified as general 420
can be classified as genetic 62
can be classified as genuine 45
can be classified as involving 138
can be classified as liberal 70
can be classified as logical 61
can be classified as material 143
can be classified as measures 72
can be classified as medical 76
can be classified as members 205
can be classified as mineral 42
can be classified as national 72
can be classified as natural 312
can be classified as neutral 87
can be classified as nominal 58
can be classified as occurring 82
can be classified as operating 96
can be classified as optical 43
can be classified as organic 179
can be classified as passive 199
can be classified as popular 50
can be classified as primary 2774
can be classified as private 113
can be classified as problem 181
can be classified as process 52
can be classified as product 134
can be classified as providing 53
can be classified as rational 51
can be classified as reactive 84
can be classified as regional 67
can be classified as regular 94
can be classified as related 144
can be classified as research 176
can be classified as resulting 61
can be classified as routine 180
can be classified as science 133
can be classified as seasonal 53
can be classified as sensory 62
can be classified as service 160
can be classified as similar 65
can be classified as skilled 58
can be classified as somatic 75
can be classified as strongly 64
can be classified as suffering 52
can be classified as surface 95
can be classified as systems 48
can be classified as tangible 96
can be classified as typical 88
can be classified as variable 127
can be classified by comparing 60
can be classified by content 116
can be classified by etiology 59
can be classified by examining 53
can be classified by function 199
can be classified by location 102
can be classified by purpose 59
can be classified by several 140
can be classified by subject 60
can be classified in following 46
can be classified in general 433
can be classified in relation 211
can be classified in respect 48
can be classified in several 3523
can be classified is according 53
can be classified on several 61
can be classified or grouped 155
can be compounded to produce 58
can be compounded to provide 50
can be conditioned to believe 53
can be conditioned to perform 84
can be conditioned to produce 70
can be conditioned to respond 654
can be conditioned to stimuli 141
can be configured as follows 118
can be configured by selecting 109
can be configured in several 264
can be configured to achieve 86
can be configured to address 48
can be configured to capture 118
can be configured to collect 115
can be configured to connect 208
can be configured to contain 84
can be configured to control 181
can be configured to deliver 134
can be configured to disable 53
can be configured to discard 52
can be configured to display 473
can be configured to emulate 97
can be configured to encrypt 42
can be configured to enforce 65
can be configured to examine 44
