canal boat and sailing vessel 95
cards from his breast pocket 40
cards from his shirt pocket 115
cared much for anything beyond 69
cared nothing for drawn swords 48
cared nothing for money except 52
cared only for human nature 55
carry fire and sword through 1501
carry more than fifty pounds 46
carry their own blood supply 93
carry their own inner measure 106
carry their own water supply 49
cases dealing with civil rights 53
catch those not easily caught 311
ceased from his earthly labors 44
ceased from its motion causes 47
cents back for every dollar 53
chair when mrs george appears 43
chalk line was drawn across 83
change even this rocky height 50
change from his working clothes 199
change from one cross section 41
change from one social status 40
change from one social system 172
change into his evening clothes 40
change into his working clothes 62
change some things about myself 47
change will not occur unless 415
change will not occur without 363
check from his shirt pocket 54
check into his shirt pocket 46
chest rising and falling evenly 137
chest rising and falling gently 58
chest rising and falling heavily 84
chest rising and falling slowly 125
chief port and trading center 41
child care and child training 162
child care and working mothers 141
child care for working mothers 1740
child care that would enable 47
child into this world without 74
child life and child nature 98
chill wind had blown across 55
chill wind was blowing through 71
cigar from his breast pocket 485
cigar from his shirt pocket 593
civil suit for false arrest 84
civil wars and ethnic cleansing 46
civil wars and human rights 43
class into six small groups 55
class into two equal groups 286
class into two large groups 65
clearing away and washing dishes 58
cleft dust was never english 63
close rail was drawn across 71
close ties with fidel castro 43
closing down one after another 66
clown puff his gross spirit 142
coach whom she would salute 71
cocoa beans and cocoa butter 91
coins from his pants pocket 41
coins were not legal tender 104
color when his civil rights 833
comes among his white fathers 126
comes into our lives through 58
comes into this world through 67
comes into this world without 145
comes leaping and dancing simply 49
comes there and curls around 90
comes these two chaps slipping 121
comes upon and finds simply 155
cooking food and washing dishes 41
cooking meals and washing clothes 110
cooking meals and washing dishes 347
cooks quit that ranch without 41
could curl his tongue around 239
could even get close enough 74
could ever bring about merely 68
could ever get close enough 124
could feel her bones through 49
could feel her pulse pounding 170
could feel her pulse throbbing 127
could feel her warmth through 118
could feel him getting closer 96
could feel him right behind 50
could feel his blood pounding 49
could feel his blood stirring 72
could feel his pulse pounding 195
could feel his pulse throbbing 93
could feel his shirt sticking 209
could feel his warmth through 99
could feel its warmth through 82
could find any which seemed 49
could find out anything better 186
could find out easily enough 377
could find them easily enough 40
could give his malay friend 41
could give you every luxury 42
could give you stale sneers 41
could give you which settle 68
could have any lasting effect 58
could have any legal effect 51
could have got close enough 67
could have had money enough 92
could have had sense enough 54
could have met under better 66
could hold any civil office 68
could hope for anything better 45
could jump six times higher 46
could just get close enough 152
could keep her within bounds 55
could keep him within bounds 55
could keep his elder brother 42
could kill our black belief 42
could leave its ports without 56
could live and breathe without 94
could live for months without 73
could live for weeks without 50
could live our lives without 40
could look for miles across 41
could lull his moral feelings 41
could make and could market 102
could make but small headway 43
could make her happy without 53
could make her laugh should 43
could make his final escape 55
could make out every detail 255
could make out quite clearly 133
could make out vague shapes 97
could make that winning hazard 108
could make thee stand before 49
could more than amply supply 57
could move any given weight 43
could only get close enough 145
could only see about twenty 57
could only too easily become 71
could pick out every detail 52
could plan and carry through 137
could play for hours without 64
could play that march without 103
could reach its upper waters 154
could ride for hours without 58
could ride for miles through 42
could sort and group values 61
could speak and seven before 167
could speak and write english 786
could speak and write french 440
could speak and write german 70
could speak for hours without 50
could take her place beside 45
could take his place beside 77
could take his place without 42
could take its place beside 173
could take long walks without 78
could talk for hours without 140
could tell his story without 45
could tell she really wanted 120
could tell you about myself 106
could tell you about something 45
could tell you every detail 67
could throw his whole weight 69
could tread this lofty ground 54
could walk for hours without 98
could walk for miles through 78
could walk for miles without 175
could walk six months before 53
could wash his hands before 47
could wish for anything better 213
could wish was never called 40
could wish you tried something 41
could wish you would follow 124
could work for hours without 42
could work that which neither 71
could wrap her fingers around 97
could wrap his fingers around 95
could wrap his hands around 151
court during that period should 42
court fees and stamp duties 58
court held its first session 126
court held that state courts 54
court held that under section 158
court what they might expect 73
court will not allow itself 97
court will not grant relief 122
cover crop and green manure 227
crawl over this awful desert 54
create jobs and raise worker 63
create their own armed forces 88
create their own social reality 162
create their own social worlds 66
create your own color scheme 136
create your own style sheets 59
crept into his human powers 145
crops next year would perish 46
crops used for green manuring 44
cross deep and rapid rivers 78
cross over and change places 107
crowd into one period entire 46
cubic feet and cubic meters 45
cubic feet for every person 49
curve from two fixed points 61
curve into two equal halves 86
cynic puts all human actions 45
