cabbage and toss to coat 54
cabinet and shut the door 70
cabinet set into the wall 41
cadmium being used in some 126
caitiff who aims at their 108
calcium and iron as well 46
calcium ions from the cell 77
calcium ions into the cell 540
calculi may vary in size 50
calumet and belt of peace 60
cameras are ready to roll 57
cameras are used to film 43
cameras are used to take 61
cameras can also be used 303
cameras may also be used 66
cancels that from the other 41
cancers are among the most 206
candles all over the room 136
candles and went to open 59
candles can also be used 65
candles lay among the other 41
canines are more or less 95
cannons and guns to roar 74
cannula can also be used 61
capable and able to take 45
capable and ready to make 52
capable not only of acting 68
capable not only of bearing 60
capable not only of bringing 60
capable not only of dealing 61
capable not only of fixing 53
capable not only of giving 127
capable not only of great 119
capable not only of having 59
capable not only of living 42
capable not only of making 265
capable not only of moving 58
capable not only of reading 86
capable not only of seeing 67
capable not only of self 202
capable not only of taking 111
capable not only to throw 41
capable they were of making 101
capable they were of paying 43
capital and land as well 110
capital and land is such 117
capital and land to work 70
capital and make it more 41
capital and rent of land 286
capital and rent on land 41
capital and take the risk 48
capital are able to move 40
capital are among the most 48
capital are free to move 137
capital are like the rest 68
capital are more or less 284
capital are said to have 71
capital but also in other 41
capital can also be seen 55
capital can also be used 110
capital can only be made 49
capital can only be used 53
capital can take the form 124
capital for four or five 42
capital for years to come 80
capital goes hand in hand 248
capital has been the main 69
capital has been the most 85
capital has come to play 59
capital may also be used 58
capital may take the form 162
capital may take up such 94
capital per acre of land 183
capital per hour of work 2008
capital per mile of line 140
capital per unit of land 583
capital per unit of time 205
capital put into the land 66
capital that must be held 69
capital that must be paid 90
capital that will be used 156
capital they have at their 61
capital they need to grow 91
capital was hard to come 79
capital was more or less 298
capital was said to have 88
capital with ingots of gold 72
capsule and bury it deep 85
captain and crew as well 46
captain and crew at your 78
captain and crew of their 42
captain and crew to sail 59
captain and even the same 55
captain and four or five 53
captain and half the crew 94
captain and three or four 89
captain due time to cool 67
captain had come on deck 73
captain had come to treat 44
captain had left the ship 55
captain had made it clear 48
captain had only to pick 57
captain then said it must 54
captain was able to find 40
captain was able to make 46
captain was able to take 58
captain was busy on deck 47
captain was ready to sail 60
captain was said to have 160
captain was seen no more 46
captain was sick on deck 56
captain was trying to make 47
captain who puts the ship 54
captain who wins the toss 63
captive and make it obey 102
capture and hold the city 160
capture and hold the high 41
capture and hold the town 86
capture and keep the heart 125
capture and sack of rome 748
capture and sack the city 58
capture and taming of wild 50
caravan was ready to leave 47
caravan was ready to move 70
careers and those of their 141
careers and ways of life 43
careers they have in mind 62
careful and more or less 47
careful eye must be kept 69
careful not only to keep 74
careful one must be when 120
careful than ever to speak 54
careful that none of their 157
careful that none of your 77
careful that nothing is done 50
careful that there be none 54
careful that there is nothing 52
careful they were to keep 91
careful this time to keep 45
careful with some of these 46
careful with what he said 114
carnage and loss of life 71
carpels are more or less 171
carpets and cloth of gold 42
carpets are made of wool 63
carriage and came to speak 101
carriage and form the mind 107
carriage and into the hall 82
carriage and leave the city 150
carriage and pair to take 65
carriage and shut the door 140
carriage and take me home 130
carriage and took the road 62
carriage and went on foot 48
carriage are just as great 68
carriage for half an hour 93
carriage had been in part 46
carriage had come to take 40
carriage was heard to roll 115
carriage was heard to stop 70
carriage was ready to take 376
carriage was sent to meet 276
carriage was sent to take 54
carriage with three or four 74
carried all along the line 56
carried all over the body 779
carried all over the city 44
carried all over the land 74
carried all over the room 46
carried all over the town 52
carried far into the heart 147
carried her along the road 46
carried her away to their 57
carried her baby to term 72
carried her back in time 40
carried her back to camp 75
carried her back to other 42
carried her back to their 318
carried her back to those 46
carried her down the dark 42
carried her down the hall 1023
carried her down the hill 374
carried her down the road 49
carried her from the boat 43
carried her from the hall 42
carried her from the less 102
carried her from the room 685
carried her into the back 134
carried her into the barn 80
carried her into the boat 50
