calendar years or fiscal years 87
campaign during the second half 44
capacity during the latter part 42
capacity during the second half 112
capacity when the options were 51
capitals such as mexico city 44
captains bred in former wars 41
captains home to dinner when 52
captured during the retreat from 124
captured from the english more 63
captured from the french during 71
captured from the soviet union 117
captured trying to escape from 41
caravans from the persian gulf 57
carbolic acid or nitric acid 121
carbonic acid is broken down 46
carbonic acid is forced into 60
carbonic acid is formed from 248
carbonic acid is passed into 61
careless talk the prince said 84
carloads were to arrive from 41
cascaded down the stairs into 65
cassette tape or floppy disk 168
category from an atomic bomb 61
category must be placed those 64
caudally into the spinal cord 113
centered over the station mark 109
cesspool full of barbed wire 61
challenge from the soviet union 691
challenge left no course open 151
channels such as direct mail 52
charcoal made of burned bats 40
chattering from the chilly ride 58
cheerful duty to attend upon 60
cheerful hope of better life 40
chemical bond is formed when 50
childish eyes he looked upon 88
children born in england have 63
children born in england were 56
children born in london died 122
children born in recent years 94
children born of slaves were 103
children born on french soil 70
children born to mothers aged 127
children born to mothers living 46
children born to mothers over 88
children born to mothers taking 101
children born to slaves were 87
children come to school able 40
children come to school eager 69
children come to school from 161
children come to school having 117
children come to school ready 112
children coming to school from 44
children during the earlier years 44
children during the greater part 65
children during the latter part 108
children during the middle ages 106
children during the middle years 65
children during the school years 186
children during the second half 290
children five to eleven years 62
children five to twelve years 200
children four to twelve years 70
children free to choose among 45
children from the family home 188
children from the foster care 108
children from the school were 97
children from the second wife 48
children from the soviet union 59
children grew up without ever 127
children grow up without ever 189
children grow up without having 71
children grow up without their 69
children hangs the loaded sheaf 69
children have an active part 40
children have in recent years 41
children have no nerves worth 84
children have no sexual life 89
children have to choose from 49
children have to suffer from 40
children help the younger ones 71
children learn to accept their 79
children learn to adjust their 76
children learn to become more 99
children learn to handle their 82
children learn to manage their 174
children leave the family home 170
children living in foster care 201
children living in mexico city 65
children living in remote areas 140
children lost in vanity fair 114
children must be taught from 57
children must be taught self 109
children must be taught some 60
children must be taught what 107
children need to become more 126
children nine to eleven years 71
children nine to twelve years 89
children over to someone else 135
children play an active part 62
children play an active role 385
children seem to become more 141
children seem to suffer from 105
children seem to suffer more 44
children seen in mental health 55
children stay in foster care 60
children take an active part 298
children take an active role 141
children take the family name 44
children taking an active part 53
children tend to become less 169
children tend to become more 526
children tend to differ from 58
children tend to follow their 61
children tend to report more 47
children tend to retain their 45
children tend to suffer from 137
children tend to suffer more 107
children three to twelve years 89
children took an active part 160
children trying to escape from 53
children used to launch their 48
children went to school from 56
children went to school only 255
children went to school there 387
children went to school when 58
children were at greater risk 173
children were at higher risk 78
children were at school when 55
children were in actual want 44
children were in another room 41
children were in foster care 763
children were in school during 54
children were in school full 102
children were in school when 52
children were of various ages 54
children when the latter were 104
children when the mothers were 49
children whom he should have 60
children will be better able 358
children will be called upon 143
children will be forced into 52
children will be taught will 103
children will be turned into 64
chivalry during the middle ages 95
chivalry were no better kept 47
chlorine from the swimming pool 159
churches during the latter part 42
churches during the middle ages 246
churches during the second half 131
churches from the middle ages 119
churches have in recent years 53
churches were the freest from 78
circular flow of income from 48
circular flow of income will 107
citizens from the public realm 40
citizens from the soviet union 100
citizens play an active role 120
citizens take an active part 170
citizens take an active role 56
citizens tend to become more 50
citizens took an active part 108
citizens will be better able 45
citizens will be called upon 68
claimant knew or should have 154
clattering down the stairs from 57
clinician will be better able 56
clinkers from the middle part 74
clusters over the sleeping city 58
colleague from the soviet union 44
collects from the prayer book 47
colleges have in recent years 54
colonies among the greeks were 47
colonies during the latter half 56
colonies during the latter part 82
colonies during the second half 103
colonies from the persian yoke 72
colonies took an active part 55
commands from the arrange menu 44
commands from the format menu 469
commands from the select menu 43
commands from the window menu 100
commands will be called great 259
commands will be thought just 130
commence from the moment when 307
commence when the troops leave 50
comments from the public were 43
commerce during the middle ages 223
commerce during the second half 50
commerce there is something left 61
commerce when the prince made 58
commonly made of feelings into 54
commonly sold on market days 42
commonly used as another term 58
commonly used by mental health 63
commonly used in mental health 56
commonly used in public health 91
commonly used in recent years 175
commonly used to denote such 65
commonly used to denote those 68
commonly used to denote what 50
commonly used to measure flow 44
commonly used to measure these 49
commonly what we should call 91
commotion among the whales gave 64
communal sigh of relief when 40
companion during the greater part 43
companion take the darker side 91
compiled during the latter part 46
compiled during the middle ages 78
compiled during the second half 82
compiled from the latest data 77
compiled into an object file 66
complete body of guards upon 89
complete loss of muscle tone 269
complete loss of spinal cord 49
complete suit of clothes from 48
complete suit of clothes made 51
complete wall of various heavy 129
complete when the person making 155
composed during the latter half 95
composed during the latter part 140
composed during the middle ages 246
composed during the second half 200
composed during the twenty years 41
compound from the threaded hole 48
compound love to physic your 46
compound rate of return over 133
computed from the actual data 79
computed from the census data 54
computed from the sample data 939
computed from the square root 67
computed from the survey data 89
computed from the training data 95
computer from the floppy disk 62
computer name or domain name 53
comrades left the little town 40
concealed from my future lord 57
concealed from the greater part 50
concealed from the person whom 79
concealed from the public gaze 1281
