call of duty prove superior 60
call the base class function 57
came at full speed towards 75
came in from every quarter 914
came in from playing outside 184
came in last night glorious 83
came in soon after sunrise 144
came in such close contact 107
came in such large numbers 472
came in such small numbers 54
came in very close contact 203
came in very handy because 53
came in very large numbers 165
came in very small numbers 88
came the last faint flicker 110
came the more easily because 45
came the open breach between 54
came to seem quite natural 105
came to their final decision 64
came to these parts because 68
came to what could rightly 46
came to your house tonight 51
came up from below inquiring 41
came up from every quarter 65
came we were looking together 71
canoe of their indian voyager 81
care of just about everything 396
care of their older members 51
care of their older parents 62
care of their whole country 77
care of your legal guardian 57
care on those noble features 50
care to take sides between 138
care to talk about himself 128
case by case basis according 113
case by case basis because 61
case by case basis depending 130
case is made still stronger 47
case of ford motor company 154
case of good strong pistols 49
case of hard drive failure 55
case of many whose funeral 48
case of such action brought 47
case of such equal division 126
case of those small sinners 41
case of those which contain 66
case of those whose incomes 52
case of those whose loyalty 54
case of those whose parents 87
case of very large estates 83
case of very large incomes 49
case of very large numbers 98
case of very large objects 59
case of very large systems 44
case of very large vessels 44
case of very small amounts 84
case of very small animals 53
case of very small numbers 46
case of very small objects 46
case of very small samples 95
case of very small vessels 62
case the land shall descend 52
case the lord chief justice 88
case the most basic question 48
case the other staff members 40
case the trial court granted 138
case the trial court refused 58
case the trial judge charged 380
cash in your savings account 43
cast it into swift decline 55
cast of mind which enables 49
cast the only votes against 73
cats or other small animals 51
cats to those doggy circles 42
cent of their gross incomes 88
cent of their gross national 2374
cent of their gross product 108
cent of their gross profits 67
cent of their gross revenue 229
cent of their sales revenue 220
cent of their share capital 132
cent of their total budgets 129
cent of their total capital 307
cent of their total current 45
cent of their total deposit 133
cent of their total exports 714
cent of their total foreign 272
cent of their total imports 346
cent of their total incomes 135
cent of their total national 65
cent of their total numbers 66
cent of their total operating 249
cent of their total payroll 58
cent of their total profits 74
cent of their total revenue 873
cent of their water content 123
cent of their working capital 209
cent of those whose parents 130
cent of young people between 186
cent on their total capital 116
cent or more above average 140
cent or more below average 108
city in such large numbers 47
city of over fifty thousand 132
city of over forty thousand 58
city of over sixty thousand 60
city of over thirty thousand 68
city of some fifty thousand 141
city of some forty thousand 191
city of some seven hundred 63
city of some seven thousand 44
city of some sixty thousand 113
city of some thirty thousand 290
city or town shall provide 73
city or town shall receive 62
clad in dark green european 98
clad in their usual apparel 71
clay or other binding material 57
clay to soil cation exchange 52
clear in your minds between 42
cloth of gold which covered 130
clung to their frail support 68
coat of clear gloss varnish 133
coat of mail which covered 40
code of laws which certain 58
cold or other minor ailment 41
cold or other minor illness 54
come at least eight thousand 67
come by some lucky variation 45
come by such noble manners 52
come by your house tonight 45
come in from every quarter 134
come in from playing outside 132
come in many forms including 136
come in such close contact 198
come in such large numbers 952
come in three basic designs 49
come in three basic flavors 113
come in very close contact 368
come in very handy because 40
come in very large numbers 220
come to hand while congress 56
come to keep nancy company 115
come to lend moral support 45
come to life again because 42
come to pure rider haggard 41
come to seem quite natural 132
come to some final decision 139
come to some rather notable 63
come to take action against 56
come to talk about religion 45
come to their final decision 52
come to their first quarrel 46
come to their house because 45
come to very large animals 93
come to work today because 78
come to your house because 93
come to your house tonight 420
come to your party because 45
come to your party tonight 85
come to your place tonight 103
come up from thence rejoicing 54
coming at full speed towards 233
coming in from every quarter 389
coming in soon after himself 144
coming in such close contact 64
coming in such large numbers 197
coming on deck about sunrise 52
coming to have false beliefs 82
coming to their final decision 49
coming to your house tonight 123
coming up from every quarter 72
cool as their white dresses 70
copy at your local library 74
copy in your local library 62
copy of your local journal 41
copy of your sales receipt 41
copy or move files between 137
cost at least fifty dollars 159
cost at least fifty thousand 116
cost at least sixty thousand 49
cost at least thirty thousand 42
cost my poor mother trouble 72
cost of great human suffering 78
cost of just about everything 219
cost of living index between 105
cost of living index figures 405
cost of living index numbers 1976
cost of living nearly doubled 59
cost of living since january 125
cost of living under control 56
cost of living would increase 75
cost of moving goods between 82
cost of over forty thousand 47
cost of their getting together 42
cost of time spent traveling 86
cost of your legal defense 49
cost or other basis reduced 56
cost the ford motor company 93
cost us many heated debates 40
cows in such large numbers 56
cult of your father abraham 49
