cabin half hidden in the 54
cable from england to the 50
cable from europe to the 47
cable from london to the 91
cable will depend on the 64
cages were placed in the 114
cages were placed on the 60
cakes from sticking to the 43
cakes were placed on the 75
cakes were served in the 101
calling down curses on the 258
calling their design by the 108
calls down curses on the 170
calls forth images of the 89
calls upon bakers in the 41
calls were likely to be 43
calls were picked up by 49
calls were placed by the 105
calls were placed to the 157
calls were routed to the 53
camel took charge of my 123
camps have proved to be 45
camps were formed in the 89
camps were formed on the 127
camps were opened by the 69
camps were opened in the 120
camps were raised at the 91
canal from albany to the 41
canal from boston to the 300
canal from dublin to the 48
canal from madrid to the 86
canal giving access to the 62
canal runs almost to the 46
canoes were beached on the 63
canoes were hauled up on 114
canoes were moored at the 42
canoes were pulled up on 95
cards face upward on the 291
cards were already on the 47
cards were always on the 77
cards were handed to the 75
cards were issued at the 53
cards were issued by the 171
cards were issued in the 133
cards were issued to the 181
cards were mailed to the 46
cards were placed in the 265
cards were placed on the 212
cards were played in the 64
cards were signed by the 42
cards were tossed to the 50
cards will depend on the 54
cared nothing whether or no 48
cared very little as to 63
cared very little to be 41
cared what became of me 192
cared what became of the 273
cares very little as to 95
cargo from europe to the 42
cargo were seized by the 119
carry away something of my 48
carry away something of the 67
carry back bright to the 151
carry back notice to the 87
carry great weight as an 52
carry great weight in the 743
carry heavy weight in the 51
carry into effect at the 64
carry into effect by the 180
carry into effect in the 160
carry into effect on the 67
carry less weight if the 52
carry less weight in the 298
carry more oxygen to the 140
carry more weight at the 49
carry more weight if he 106
carry more weight if it 302
carry more weight if the 186
carry more weight in the 1140
carry more weight on the 103
carry most weight in the 115
carry much weight at the 78
carry much weight if it 47
carry much weight if the 89
carry much weight in an 64
carry much weight in the 1094
carry much weight on the 47
carry some portion of the 96
carry some weight in the 376
carry such vessel to the 178
carry such weight as to 48
carry such weight in the 41
carry their appeals to the 106
carry their babies on the 62
carry their babies to the 54
carry their battle to the 230
carry their bodies to the 48
carry their bullion to the 292
carry their burden on my 54
carry their burden to the 57
carry their cargoes to the 63
carry their dishes to the 50
carry their plates to the 89
carry their policy to the 41
carry their prizes to the 124
carry their riches on the 61
carry their riders to the 56
carry their rifles to the 41
carry their scalps to the 55
carry their waters to the 181
carry their weight in the 106
carry these feelings to the 52
carry three fourths of the 58
carry very little of the 124
carry very little or no 43
carry what appears to be 43
carry will depend on the 85
carts were called in the 41
carts were standing in the 40
cases been belied by the 50
cases been proved to be 46
cases been traced to the 43
cases have arisen as to 46
cases have arisen in the 569
cases have arisen on the 84
cases have little or no 225
cases have little to do 131
cases have looked at the 43
cases have looked to the 52
cases have proved to be 306
cases have proven to be 133
cases have relied on the 96
cases have seemed to me 70
cases have tended to be 117
cases have turned on the 175
cases having regard to the 94
cases least likely to be 45
cases more likely to be 130
cases more marked in the 40
cases more useful to the 81
cases most likely to be 432
cases must depend on the 73
cases seem better to be 119
cases show changes in the 50
cases show little or no 104
cases some member of the 52
cases some portion of the 80
cases there appears to be 2461
cases there seemed to be 523
cases there should be an 199
cases there should be at 48
cases there should be no 1176
cases there should be the 57
cases there simply is no 78
cases these changes in the 84
cases very little or no 40
cases were already in the 42
cases were already on the 40
cases were argued at the 50
cases were argued in the 104
cases were argued on the 68
cases were called to the 44
cases were caused by the 240
cases were chosen by the 49
cases were chosen on the 64
