cake made of glutinous rice 65
call from an emergency room 53
call from the brokerage firm 41
call from the emergency room 692
call from the neglected gods 57
call over the banisters when 40
calm flow of moonlight over 71
came along the starboard side 56
came back to periscope depth 192
came down by agreement from 41
came down the hierarchy from 46
came down the staircase from 65
came during the depression years 57
came during the napoleonic wars 147
came from an extremely poor 109
came from the blacksmith shop 42
came from the communist bloc 53
came from the emergency room 61
came from the neighboring town 102
came from the political left 411
came from the starboard side 89
came from the surrounding areas 142
came from the uttermost part 83
came home at christmas time 68
came into my possession during 84
came into my possession from 157
came into my possession many 55
came into my possession some 180
came into my possession when 106
came into the committee room 87
came into the courtyard from 41
came into the emergency room 813
came into the intensive care 40
came into the interview room 171
came into the limelight during 112
came into the limelight only 40
came into the limelight when 182
came into the political life 52
came into the principal door 42
came into the spotlight when 59
came into the territory from 111
came like an avalanche upon 42
came over the mountains from 694
came over the mountains half 101
came over the mountains into 113
came over the telegraph wire 43
came over the telephone from 121
came over the telephone line 65
came upon an abandoned camp 52
came upon the prostrate form 57
camp must of necessity come 65
care during the preschool years 173
care must be exercised during 2002
care must be exercised even 110
care must be exercised here 340
care must be exercised lest 1920
care must be exercised over 268
care must be exercised when 12764
care play an important role 132
care unit or emergency room 117
care unit or intensive care 117
care what the neighbors think 313
care will be available when 50
cars sold in california must 42
case during the formative years 43
case during the napoleonic wars 41
case from the knowledge even 81
case must be different from 53
case there is generally some 64
case there is sometimes room 46
case will be dependent upon 129
case will be different from 125
case will be discussed here 118
case will be discussed more 122
case will be discussed next 41
case will be presented here 82
cash flow is different from 58
cash will be available when 143
cast down an imaginary pair 81
cast into an inductive form 91
cast into the everlasting fire 127
cast iron is converted into 243
cast iron is generally used 113
cast iron is sometimes used 136
cast lots to determine upon 109
cast upon the multitude such 290
cell line is available from 54
cell must be separated from 43
cell play an important role 57
cell will be different from 43
cent during the depression years 66
city from the surrounding areas 43
city will be delivered into 42
city will be destroyed when 43
clay from the millstone grit 99
clay will be impressed most 49
clean bill of political health 201
clean bill of spiritual health 67
clear from the available data 522
clear from the discussion here 71
clear from the interview data 72
clear from the published data 93
clear from the published work 40
clear from the statement made 133
clear lack of political will 148
clear mind the spiritual food 66
clear what an important role 55
coal will be converted into 45
code must be converted into 59
code used to represent data 145
come back to civilized life 79
come down by succession from 40
come down in succession from 40
come down the centuries from 43
come down the staircase from 46
come down to posterity from 55
come from an alcoholic home 53
come from an excessive turn 48
come from an identical twin 93
come from the countries along 41
come from the different ways 64
come from the emergency room 57
come from the innermost part 41
come from the political left 423
come from the production line 62
come from the spiritual realm 61
come from the surrounding areas 117
come from the uttermost ends 134
come here as colonists from 48
come home at christmas time 124
come into my possession from 81
come into my possession years 81
come into the classroom during 40
come into the classroom from 55
come into the community from 100
come into the emergency room 434
come into the honorable rank 46
come into the interview room 55
come into the limelight during 47
come into the profession from 52
come into the strictest union 44
come into the territory from 59
come like the impetuous south 48
come over my character when 103
come over the mountains from 531
come over the mountains into 85
come upon an unfamiliar word 89
come upon us gradually over 59
come when the americans will 54
come when the community will 47
come when the producers need 62
coming down the mountains from 47
coming down the production line 70
coming down the staircase from 73
coming from the apartment next 110
coming from the intestine during 45
coming from the political left 113
coming from the production line 62
coming from the starboard side 164
coming from the surrounding areas 46
coming home at nightfall from 169
coming into the apartment next 68
coming into the community from 66
coming into the emergency room 120
coming over the mountains from 292
coming over the mountains into 46
coming over the neighboring hill 97
coming over the starboard side 263
coming over to mansfield till 107
coming soon in hardcover from 189
coming upon the sensations from 52
cost less in proportion from 141
cost more to represent some 41
cost must be allocated among 115
cost must be allocated over 44
cost must be amortized over 282
cost must be recovered from 43
cost over the estimated life 127
cost will be amortized over 127
cost will be different from 41
cost will be recovered from 136
cows left to themselves fall 46
crop must be protected from 46
cues play an important part 66
cues play an important role 278
cure lies in instituting such 69
