cage and let her tiger 44
cake and pie with which 58
cake pan and set aside 91
cake pan with wax paper 89
cake that she had baked 120
cake with her own hands 55
cake with our own hands 41
calf with his own hands 46
call all men and women 66
call and ask him about 115
call and get his people 103
call and see her after 42
call and see her again 62
call and see her mother 92
call and see him again 140
call and see you about 48
call and see you again 233
call both day and night 61
call both men and women 183
call for aid and force 317
call for any and every 153
call for her that evening 43
call for him this morning 97
call for ink and paper 111
call for law and order 1161
call for men and money 258
call for men and women 546
call for pen and paper 126
call for two new packs 68
call for you this evening 212
call for you this morning 49
call her and she could 40
call her and she would 278
call him and ask about 49
call him and they would 44
call him for any reason 44
call him out and shoot 109
call him who was taken 65
call him with one voice 44
call his own and which 97
call his own that which 209
call men that are within 56
call out for her mother 163
call out for his mother 99
call out with one voice 47
call sin does not belong 41
call that doing its father 45
call that god has given 93
call that his own knell 43
call that his own which 55
call that one but rather 46
call them and ask about 52
call them and they would 159
call them kings and dukes 136
call them men and women 65
call them out for drill 65
call you and you would 41
calm and can sit still 50
came all this way alone 85
came and all was quiet 55
came and all was still 78
came and ate and drank 103
came and cut his throat 48
came and had his whist 51
came and put her hands 98
came and put his hands 228
came and sat for hours 61
came and sat two hours 43
came and sat with jesus 44
came and she was still 105
came both men and women 59
came for all our goods 44
came for her this morning 118
came for him one night 72
came for him that night 60
came for him this morning 90
came for you this morning 407
came near her she would 94
came near him and bowed 79
came near him and stood 90
came near them nor spoke 82
came near them they would 53
came not too long after 89
came one day and asked 213
came one day and found 42
came out and ran about 73
came out and ran after 40
came out and sat under 45
came out and was about 67
came out and was taken 40
came out and was walking 40
came out and you could 54
came out for his first 44
came out for his morning 41
came out hot and strong 61
came out low and husky 89
came out not long after 118
came out now and again 61
came out one year after 49
came out one year later 63
came out she was sitting 49
came out she was still 85
came out singing and dancing 72
came out that she could 59
came out that she would 45
came out that this stern 55
came out they had taken 46
came out with all kinds 76
came out with all sorts 89
came out with both hands 52
came out with her apron 43
came out with her black 88
came out with her father 59
came out with her first 175
came out with her hands 51
came out with her mother 81
came out with her shawl 40
came out with her usual 43
came out with her water 153
came out with his crown 86
came out with his father 196
came out with his first 335
came out with his guess 160
came out with his hands 507
came out with his rifle 129
came out with his staff 41
came out with his story 159
came out with his sword 136
came out with his usual 133
came out with his whole 138
came out with his words 97
came out with its first 428
came out with its usual 46
came out with that story 45
came out with this story 62
came out with two large 70
came too near him while 40
came was that she found 53
came with all his court 127
came with all his force 73
came with all his guard 90
came with all his might 46
came with all his people 62
came with all its vices 43
came with both his wives 48
came with him and after 55
camp and that they would 41
camp was all that could 49
camp with him that night 42
camp with them that night 48
canoe and let her float 102
cape was wet with blood 43
cape with his two hands 44
caps and with long spears 76
caps for men and women 46
card and set long lists 138
card that does not belong 83
card that does not match 57
card that you can carry 102
care and all his skill 48
care and can not shift 40
care and that she would 40
care and that they would 100
care and who that knows 43
care and zeal with which 117
care both day and night 125
care for all her needs 44
care for all his needs 140
care for all its people 238
care for all our needs 168
care for all our people 204
care for all that lives 41
care for and who cares 55
care for ann and rhoda 64
care for any one again 74
care for any one sheep 45
care for any set times 267
care for each and every 478
care for her aging father 206
care for her aging mother 377
care for her and would 118
care for her any longer 360
care for her dying father 178
care for her dying mother 490
care for her ill father 40
care for her ill mother 202
care for her own child 694
care for her own mother 89
care for her own needs 412
care for her son while 87
care for her two small 153
care for her with fitting 45
care for him and share 42
care for him and watch 254
care for him and would 124
care for him any longer 448
care for him who cares 204
care for him who shall 11769
care for his aging mother 188
care for his dying father 116
care for his dying mother 149
care for his old mother 132
care for his own child 140
care for his own engine 250
care for his own glory 43
care for his own horse 96
care for his own needs 685
care for his own people 278
care for its own funds 111
care for its own needs 160
care for its own people 248
care for law and order 116
care for men and women 1304
care for our own needs 83
care for our own people 53
care for our own souls 64
care for them and about 53
care for them and guide 85
care for them and train 117
care for them and watch 134
care for them and would 103
care for them any longer 163
care for this age group 289
care for you and watch 93
care for you and yours 177
care for you any longer 109
care not for his danger 187
