cage of ours with baleful 158
cake of filth and clotted 297
call in their own language 161
call me more with honesty 41
call me nothing but jonathan 152
call me nothing but seignior 55
call me when she returns 43
call of drum and trumpet 106
call of duty was stronger 44
call of fate and marched 41
call of their own species 253
call of those who require 79
call on some old friends 140
call the bone and muscles 77
call the good old yeomanry 49
call the just but sinners 211
call the view that abortion 196
call to arms had sounded 45
call to arms was sounded 1388
call to duty and service 93
call to leave his country 119
call to love our enemies 153
call to mind any account 42
call to mind any occasion 206
call to mind any problem 56
call to mind few reviews 83
call to mind how precise 68
call to mind one occasion 51
call to mind that unhappy 40
call to mind with pleasure 90
call to stop and explain 54
call to wage war against 219
call to work for justice 139
calm the mind and emotions 88
came at last and brought 51
came at their own charges 40
came at their own expense 659
came at their own pleasure 41
came in from all corners 68
came in from all sections 43
came in from any chinese 49
came in from her bedroom 56
came in from his bedroom 53
came in from his country 40
came in here and ordered 54
came in here and started 261
came in their own carriage 59
came in upon his friends 44
came in wiping his forehead 40
came of saul and jonathan 69
came of their own impulse 58
came of their own volition 613
came on deck and ordered 204
came on deck and watched 52
came on their own account 131
came on their own volition 51
came on warm and pleasant 75
came so nigh his seemingly 172
came the arab oil embargo 77
came the duke and duchess 108
came the great leap forward 145
came the lash and flicked 72
came the last and greatest 76
came the longing for liberty 59
came the news that captain 40
came the news that charles 57
came the news that colonel 54
came the news that general 184
came the news that germany 92
came the news that napoleon 151
came the news that several 46
came the news that virginia 96
came to call and brought 51
came to dealing with congress 61
came to dealing with foreign 45
came to feel that although 47
came to feel that america 40
came to feel that certain 48
came to feel that everything 105
came to feel that perhaps 173
came to feel that religion 83
came to feel that slavery 51
came to find you because 123
came to fish for sturgeon 87
came to from two hundred 41
came to give her lessons 111
came to give him lessons 45
came to give them lessons 69
came to hand and counted 46
came to hate and despise 73
came to have his picture 56
came to have its current 53
came to have its greatest 40
came to have its present 659
came to help him against 47
came to high and abusive 81
came to hope and believe 40
came to india and settled 336
came to india and started 82
came to india and studied 74
came to india and visited 41
came to john for baptism 276
came to join her husband 235
came to keep her company 287
came to keep him company 738
came to keep them company 336
came to keep you company 140
came to know and believe 106
came to know and cherish 55
came to know and respect 1802
came to know for certain 104
came to know her husband 169
came to know him because 141
came to know him closely 66
came to know his brothers 50
came to know his country 47
came to know his religion 46
came to know that although 40
came to know that certain 73
came to life and grabbed 46
came to life and reigned 685
came to life and started 433
came to life and stepped 41
came to like and respect 976
came to live with grandma 47
came to love and cherish 97
came to love and marriage 45
came to love and respect 922
came to love her husband 62
came to love him because 42
came to love this country 44
came to make his decision 64
came to make his fortune 120
came to make its general 45
came to make that decision 55
came to make this mistake 103
came to make war against 145
came to meet and welcome 223
came to meet her husband 109
came to meet him outside 134
came to meet him trembling 67
came to meet them peaceably 52
came to meet you because 46
came to noah and entered 92
came to nothing and tunisian 54
came to open war between 84
came to over ten thousand 40
came to over two hundred 53
came to pass that abraham 81
came to pass that although 152
came to pass that because 93
came to pass that between 63
came to pass that captain 92
came to pass that certain 200
came to pass that charles 84
came to pass that clement 47
came to pass that exactly 52
came to pass that finally 42
came to pass that gabriel 63
came to pass that general 119
came to pass that pharaoh 43
came to pass that several 64
came to pass that shortly 46
came to pass with respect 59
came to push his fortune 79
came to rome and entered 54
came to rome and settled 41
came to saul and entered 56
came to save all mankind 94
came to save all persons 268
came to seek her counsel 49
came to seek his blessings 46
came to seek his counsel 124
came to seek his fortune 545
came to seek one subject 69
came to stay for several 117
came to stay with friends 55
came to take for granted 1109
came to take her husband 74
came to take his picture 45
came to take his position 45
came to take its present 90
came to tell her husband 57
