capacious a heart that she 102
capacity i heard and saw 47
captured a ship and two 41
chapters a good deal has 71
chapters i have set out 43
chapters i will deal with 76
children a great deal and 76
children i ever met with 41
children i have not got 65
children i work with are 46
clutched a tree that yet 43
coachman a very low bow 94
coincide a good deal with 50
collared a young man with 49
combined a cool head with 63
combined a keen eye for 63
combines a text box with 48
commands i left with you 63
commerce i have had with 43
commerce i have with them 40
companion a young man who 57
compared i unto her any 66
compares a sick man and 124
complain a great deal that 83
complete a form for each 241
complete a sale and that 94
complete a task and then 197
complete a task that had 47
complete a task that has 86
complete a task that they 99
complete a task that was 121
composed a great deal for 113
composed a work that was 48
composed i know not how 60
compress a file and then 41
comprise a great deal that 113
conceive a good man and 276
conceive a hero dying for 44
concerning a girl who had 42
concerning a young man who 193
concerns a young boy who 189
concerns a young man and 96
concerns a young man who 1282
conclude a pact with him 55
conclude a peace with her 92
conclude a peace with him 549
conclude a peace with his 130
conclude a peace with that 66
conclude a peace with them 565
concluding a peace with them 55
condition a sine qua non 131
condition i made was that 139
conducting a tour that has 62
conflict i have for you 526
confused a page that she 59
conquering a city that was 85
consider a bank that has 62
consider a book our own 56
consider a case that has 47
consider a data set with 55
consider a firm that has 216
consider a sine qua non 129
consider a young man who 94
constant a such that for 108
constant c such that for 874
constant k such that for 250
constant l such that for 58
constant m such that for 107
construe i ever met with 73
consumed a diet that was 86
contacts i have had with 242
containing a card for each 91
containing a good deal that 241
containing a great deal that 333
containing a page for each 47
containing a verb and its 93
containing a word that she 50
containing a young man and 58
contains a card for each 93
contains a file for each 58
contains a good deal that 1396
contains a great deal that 3106
contains a line for each 139
contains a list box and 40
contains a list box that 136
contains a list box with 62
contains a menu bar and 62
contains a node for each 175
contains a page for each 69
contains a term for each 49
contains a text box and 104
contains a text box for 130
contains a text box that 80
contains a verb and its 195
contains a very long and 68
contains a word that has 45
contempt i feel for them 44
contempt i feel for you 75
contempt i felt for him 128
contempt i have for you 72
contrive a plan that may 146
converse a good deal with 129
converse a great deal with 132
converse i have had with 302
conversing a great deal with 48
convince a girl that was 55
convince a jury that his 134
convince a jury that its 70
convince a jury that she 146
convince a jury that they 106
convince a jury that this 63
convince a jury that you 117
convince a young man that 114
convince a young man who 44
counseling a young man who 46
covenant i made with them 59
covenant i made with you 117
creatures i ever met with 142
creatures i have met with 67
crevices a dull red heat 65
critical a time can not 55
