cables stretched in front to 70
called consisted at first of 60
called jamestown in honor of 66
called mysticism of plato is 47
called themselves the group of 52
called themselves the house of 64
called themselves the league of 51
called themselves the lords of 132
called themselves the order of 82
called themselves the party of 216
called themselves the people of 402
called throughout the world the 43
called witnesses to prove the 129
calmly approaching the throne the 45
cancer mortality in women in 42
candid confession of doubt or 54
candid statement of facts on 205
cannon announced the fourth of 57
cannon announced the opening of 121
cannon shattered the walls of 199
captor preserves the scalp as 46
carbon compounds in which the 50
carbon compounds is known as 43
cardiac stimulant in cases of 61
career resembles the groping of 44
career throughout the period of 44
carnal knowledge to defeat the 40
carrying conductor is given by 60
carrying conductor is shown in 42
carrying passengers or goods or 90
causal connection in order to 50
causal connection in terms of 51
causal connection in which the 82
causal hypothesis to serve as 71
causal mechanism by which the 91
caused parliament to repeal the 51
caused throughout the whole of 45
caused throughout the world by 91
caused virtually no change in 42
causes conception in women by 47
causes concurred in forming the 227
causes determining the price of 41
causes paralysis of motion on 46
causes stagnation of blood in 86
causes transcend the grasp of 55
causes virtually no change in 42
censor themselves in order to 98
center frequency at which the 60
center frequency is equal to 46
center frequency is given by 137
center frequency of which is 72
center frequency to which the 63
chairs positioned in front of 206
changed conditions in order to 121
changed conditions in which the 221
changed conditions in which we 94
changed conditions of which the 47
changed radically in favor of 57
changed radically in order to 73
changed regularly in order to 58
changed throughout the period of 81
changed throughout the whole of 170
changes continued to occur in 50
changes expressed in terms of 42
changes necessary in order to 698
changes necessary to adapt it 99
changes necessary to adapt the 129
changes necessary to adapt to 179
changes necessary to allow the 56
changes necessary to alter the 53
changes necessary to create the 50
changes necessary to solve the 58
changes throughout the period of 212
changes throughout the whole of 186
charge expressed in terms of 68
charge throughout the whole of 97
charge unrelated to either the 84
choice collection of books in 135
choice collection of works of 91
choice procedure in which the 55
choice situations in which the 250
choose carefully in order to 45
choose directors to serve as 42
chosen carefully in order to 413
chosen carefully to avoid the 46
chosen carefully to match the 44
chosen commander in chief of 195
chosen occupation or field of 63
chosen precisely in order to 72
chosen primarily in order to 51
church continued to serve as 51
church continued to serve the 81
church continues to serve as 47
church primarily in terms of 74
church throughout the whole of 79
church throughout the world is 62
circle indicates the point of 52
circle represent the orbit of 67
cities throughout the nation in 59
cities throughout the nation to 64
cities throughout the state of 53
cities throughout the world in 96
cities throughout the world is 68
cities throughout the world to 109
clause recognizing the right of 115
clause restricting the right of 42
clause restricts the power of 42
clause structure in terms of 68
clause structure in which the 59
cleaned regularly in order to 51
clearly addressed the issue of 71
clearly addresses the issue of 83
clearly appreciate the value of 41
clearly apprehend the meanings of 48
clearly apprehend to belong to 64
clearly beneficial in terms of 53
clearly conceived in terms of 126
clearly conceived the notion of 123
clearly contained the seeds of 53
clearly definable in terms of 156
clearly delineated in order to 45
clearly delineated in terms of 184
clearly described in terms of 248
clearly desirable in order to 46
clearly different in terms of 125
clearly disclosed in writing to 70
clearly establish the right of 67
clearly explained in order to 49
clearly explained in terms of 197
clearly explained the cause of 54
clearly expressed in terms of 361
clearly expressed the views of 45
clearly forbidden to women in 48
clearly important in order to 52
clearly important in shaping the 56
clearly important in terms of 170
clearly important to study the 40
clearly incapable of meeting the 43
clearly indicated in cases of 51
clearly indicated in order to 76
clearly indicated the brand or 47
clearly indicated the scope of 50
clearly indicated the trend of 58
clearly indicated the value of 89
clearly indicated the views of 80
clearly indicates the action to 50
clearly indicates the change in 50
clearly indicates the danger of 47
clearly indicates the growth of 55
clearly indicates the level of 54
clearly indicates the power of 57
clearly indicates the scope of 77
clearly indicates the state of 72
clearly indicates the trend of 66
clearly indicates the value of 172
clearly justified in terms of 100
clearly necessary in order to 502
clearly necessary to avoid the 48
clearly negligent in failing to 47
clearly organized in terms of 41
clearly perceived as holding the 53
clearly perceived in terms of 42
clearly perceived the danger of 117
clearly perceived the force of 40
clearly perceived the unity of 65
clearly perceived the value of 91
clearly possessed the power to 49
clearly possesses the power to 74
clearly predicted by reason of 57
clearly presented in terms of 75
clearly recognize the right of 87
clearly recognize the value of 112
clearly recognize the voice of 54
clearly reflected the thinking of 60
clearly reflected the views of 137
clearly remembers the story of 72
clearly situations in which the 50
clearly specified in order to 50
clearly specified in terms of 224
clearly throughout the whole of 50
clergy continued to preach in 98
clergy throughout the kingdom to 52
clever adaptation to which he 43
client privilege in cases in 45
client privilege in order to 102
closed community in which the 51
closed container in which the 88
closed throughout the period of 57
closer inspection is found to 70
closer inspection it could be 60
closer inspection it might be 46
closer inspection it seems to 41
clouds continued to gather on 49
coarse diversions in which the 77
cogent arguments in favor of 511
colony languished in spite of 49
coloring principle of which is 43
column indicates the change in 103
column indicates the level of 71
column indicates the value of 67
column succeeded in reaching the 45
combat obstacles in order to 166
comedy adventure to claim the 60
commit themselves in favor of 118
commit themselves in order to 50
commit themselves in writing to 161
commit themselves to abide by 150
commit themselves to anything in 40
commit themselves to either of 70
commit themselves to helping the 76
commit themselves to honor the 69
commit themselves to keeping the 48
commit themselves to lives of 91
commit themselves to meeting the 58
commit themselves to serve the 54
commit themselves to serving the 49
commit themselves to working in 65
commit themselves to working on 132
common agreement in order to 46
common arguments by which the 74
common arguments in favor of 368
common captivity the ranks of 58
common complaint of women in 47
common conditions in which the 100
common deformity in which the 52
common englishman is prone to 138
common expression in terms of 41
common extremity is equal to 68
common foundation on which the 62
common foundation on which to 68
common framework in order to 51
common framework in which the 79
common framework in which to 113
common instances in which the 94
common interests in order to 161
common interests in terms of 86
common interests on which to 81
common knowledge in order to 74
common knowledge in terms of 46
common knowledge in which we 112
common knowledge of which the 98
