cabin and warmed and fed 78
cabin she shared with her 99
cable and anchor she had 70
cakes and sweets for her 73
calling all clerks who may 44
calling and shares with his 139
calling and unless you can 151
calls for leaders who are 105
calls for leaders who can 48
calls for reform and for 41
calls for skills that are 110
calls for someone who can 121
calls per person per year 54
calms and cheers them with 187
camps near enough for you 60
canal was formed for its 82
canal was opened for use 44
canst but perish with her 138
canst not choose but see 49
canst not expect that our 60
cards and another too few 67
cards and fanned them out 44
cards and played them one 63
cards and spades and beat 156
cards and spades and then 45
cards are filled out and 50
cards are needed for each 44
cards with another old hag 56
cared but little for any 128
cared but little for her 206
cared but little for his 366
cared but little for its 40
cared but little for that 65
cared but little for them 49
cared but little for this 85
cared for anyone but her 53
cared for anyone but you 73
cared for fighting for its 46
cared for little but his 47
cared for neither god nor 51
cared for neither man nor 51
cared for virtue that was 61
cared not enough for any 89
cared not whether they saw 57
cared one little bit for 68
cared too little for any 75
cared too little for each 52
cares but little for his 41
cares for nobody but you 229
carry all before him and 105
carry all before him with 82
carry all before them and 111
carry all before them for 82
carry all before them with 80
carry any desire they may 92
carry any weight with him 82
carry any weight with them 145
carry any weight with you 56
carry both parlor and day 41
carry but little with them 77
carry her basket for her 70
carry her paints and things 72
carry him around with you 43
carry him through all his 71
carry him through all that 46
carry his dinner with him 44
carry his family with him 111
carry his hearers with him 187
carry his horror and fear 62
carry his memory with him 43
carry his opinion with him 83
carry his rations with him 159
carry his readers with him 172
carry his secret with him 130
carry his sheets with him 70
carry his slaves with him 187
carry its reasoning too far 45
carry its strength with you 70
carry long sticks with them 54
carry one normal and one 74
carry out actions that are 240
carry out actions that they 63
carry out duties that are 51
carry out orders and not 51
carry out orders that are 83
carry that around with you 120
carry that basket for you 111
carry them around all day 70
carry them around with her 52
carry them around with him 155
carry them around with them 105
carry them around with you 336
carry them better than she 72
carry them farther than one 51
carry them further than they 62
carry this around with you 57
carry this burden for him 77
carry this further and say 45
carry this matter too far 82
carry this policy too far 44
carry this secret with her 77
carry you further than was 41
carry you further than you 50
cases and points out that 40
cases are indeed few and 61
cases are neither few nor 58
cases are rarely met with 62
cases are treated each year 127
cases per million per year 528
cases that called for this 64
cases that follow deal with 137
cases then before them they 43
cases they simply can not 50
cases was greater than that 59
cases was higher than that 64
casts his ballot for one 43
casts one shadow one way 83
catch any errors that may 68
catch her before she goes 128
catch her before she got 201
catch her before she had 47
catch her before she hit 246
catch his sleeve and ask 47
catch one thought that she 42
catch them before they are 114
catch them before they can 145
catch them before they get 295
catch them before they got 147
catch them before they had 74
catch them before they hit 145
catch you before you can 69
catch you before you get 140
catch you before you got 226
catch you before you hit 75
catch you meddling with him 70
cause and effect act and 137
cause and effect and all 205
cause and effect and are 385
cause and effect and can 324
cause and effect and has 67
cause and effect and his 61
cause and effect and how 257
cause and effect and its 172
cause and effect and may 123
cause and effect and not 414
cause and effect and that 1010
cause and effect and then 177
cause and effect and they 61
cause and effect and this 109
cause and effect and thus 368
cause and effect and was 88
cause and effect and with 85
cause and effect are all 165
cause and effect are being 124
cause and effect are both 388
cause and effect are but 198
cause and effect are far 120
cause and effect are non 195
cause and effect are not 5254
cause and effect are now 107
cause and effect are one 654
cause and effect are real 142
cause and effect are thus 191
cause and effect are too 93
cause and effect are two 354
cause and effect but are 121
cause and effect but one 186
cause and effect but that 201
cause and effect can not 5108
cause and effect did not 398
cause and effect does not 1929
cause and effect for each 185
cause and effect for this 51
cause and effect had not 126
cause and effect has all 165
cause and effect has its 379
cause and effect has not 559
cause and effect may not 707
cause and effect than that 136
cause and effect that are 779
cause and effect that can 518
cause and effect that had 89
cause and effect that has 202
cause and effect that lead 40
cause and effect that led 155
cause and effect that may 168
cause and effect that they 204
cause and effect that was 109
cause and effect that you 65
cause and effect was not 593
cause and effect with any 115
cause and effect with each 59
cause and effect with its 62
cause and effect with that 175
cause any emotion and any 50
cause any person who has 241
cause for regret that his 95
cause for regret that this 86
cause for regret was that 75
cause for wonder but not 50
cause for wonder that his 86
cause for wonder that they 269
cause for wonder that this 174
