cage door and let the 41
call ahead and ask if 129
call ahead and ask the 157
call ahead and ask to 40
call ahead and let the 57
call ahead and see if 105
call ahead and set up 51
call back and hung up 47
call back and let me 43
call back for her in 73
call came for her to 84
call came for him to 301
call came for men to 85
call came for them to 92
call down and see if 108
call duty may not be 60
call evil may not be 40
call forth all that is 407
call forth any one to 63
call free him who is 120
call from any one of 86
call from god and the 62
call from him and he 117
call from one end of 646
call gods and men to 238
call good and bad the 78
call have you got to 56
call here and get it 46
call home and let my 45
call home and see if 211
call john saw fit to 98
call love and that the 103
call more than one of 40
call next day for the 47
call play they act at 53
call their own and in 56
call their own and the 61
call their own and to 63
call those things that be 110
call those who are in 42
call upon ali for the 40
call upon all men of 277
call upon all men to 693
call upon all that is 207
call upon all things to 123
call upon any man to 156
call upon any one of 357
call upon any one to 216
call upon each one of 169
call upon god and the 163
call upon god and to 91
call upon god for the 285
call upon god out of 51
call upon her for the 212
call upon him and he 339
call upon him and the 95
call upon him and to 120
call upon him for an 727
call upon him for it 270
call upon him for the 994
call upon him not to 44
call upon him who is 99
call upon him with my 142
call upon him with the 202
call upon his god to 109
call upon his men to 168
call upon thee for thy 70
call upon them all to 122
call upon them for an 164
call upon them for it 82
call upon them for the 685
call upon them not to 425
call upon them now in 57
call upon them now to 96
call upon you all to 1427
call upon you and the 225
call upon you and to 176
call upon you both to 307
call upon you for an 355
call upon you for it 67
call upon you for the 1358
call upon you not to 654
call upon you now to 669
call upon you then to 59
call upon you with my 40
call upon you with the 133
call went out for an 159
call went out for the 667
call went out that the 52
call what was going on 57
call what you did to 41
call when she got to 157
call when she was in 63
call when they are in 109
call when you are in 233
call when you get in 264
call when you get the 112
call when you get to 346
call when you see the 125
call will one day be 51
call wise who has in 118
calm days you can go 116
calm down and get on 45
calm down and get the 52
calm down and get to 128
calm down and let me 518
calm down and let the 220
calm down and let us 54
calm down and not be 166
calm down and not to 231
calm down and that he 40
calm down and then we 51
calm down and try to 724
came along and all of 41
came along and ate it 99
came along and ate the 175
came along and ate up 156
came along and cut the 45
came along and did it 106
came along and did the 145
came along and got in 43
came along and got me 42
came along and got the 63
came along and had the 43
came along and had to 79
came along and hit the 72
came along and one of 104
came along and put an 82
came along and put in 49
came along and put it 46
came along and put the 101
came along and put up 60
came along and sat in 100
came along and sat on 105
came along and saw it 74
came along and saw me 152
came along and saw the 430
came along and set up 58
came along and with it 78
came along and with the 44
came along for him to 50
came along one day in 76
came along one day to 58
came along that way by 51
came along with all the 82
came along with her to 59
came along with him in 139
came along with him the 40
came along with him to 289
came along with one of 82
came along with them in 48
came along with them to 240
came among them for the 62
came among them with the 119
came away with all the 60
came away with one of 77
came away with them to 45
came away with was the 131
came back all out of 55
came back and all the 74
came back and ate the 88
came back and beat the 53
came back and cut the 47
came back and did as 101
came back and did it 238
came back and did the 262
came back and for the 42
came back and got in 407
came back and got it 119
came back and got me 187
came back and got my 86
came back and got on 143
came back and got the 340
came back and got to 54
came back and got us 59
came back and had the 94
came back and had to 148
came back and hit me 148
came back and hit the 65
came back and lay on 64
came back and led me 122
came back and led the 125
came back and led us 76
came back and let me 52
came back and met the 82
came back and off we 51
came back and one of 148
came back and put an 40
came back and put it 171
came back and put me 41
came back and put my 42
came back and put on 167
came back and put the 361
came back and rang the 62
came back and ran the 42
came back and read it 44
came back and read the 85
came back and sat at 242
came back and sat by 238
