cable messages from san francisco 44
carry messages over long distances 67
causing grievous hurt and convicted 49
claim exemption from this accusation 61
claim exemption from this universal 58
comet suddenly made its appearance 41
could contract only for themselves 66
could exercise their own discretion 49
could otherwise take for themselves 45
could possibly have any connection 107
could possibly have any influence 93
could possibly have any relevance 50
could remember from her childhood 61
could remember from his childhood 100
could scarcely form any conception 114
could scarcely have any influence 47
could scarcely leave her household 43
could scarcely think that valentine 91
creating military fame and influence 42
cried bitterly over this reflection 118
curls cascaded over her shoulders 47
