cabbages by break of day 133
cadences the soul to both 141
calculus to find the area 120
calendar as soon as you 59
calmness of mind is not 59
calories as well as fat 41
calories or half the fat 338
calories to make up for 102
campaign as part of his 67
campaign as part of its 108
campaign as poor as they 91
campaign as soon as they 69
campaign as well as any 60
campaign as well as for 132
campaign as well as his 146
campaign as well as its 44
campaign as well as that 117
campaign in what is now 71
campaign of five or six 68
campaign to clean up and 92
campaign to come up with 43
campaign to have the law 71
campaign to lift the ban 85
campaign to make up for 54
campaign to pave the way 43
campaign to save the old 60
campaign to sell the idea 133
campaign to sell the new 60
campaign to sell the war 113
campaign to stop the use 54
campaign to stop the war 58
canceled the rest of her 72
canceled the rest of his 223
capacity as great as that 63
capacity as part of its 53
capacity as soon as they 74
capacity as such is not 77
capacity as well as being 64
capacity as well as for 266
capacity as well as his 226
capacity as well as its 296
capacity as well as low 46
capacity as well as that 230
capacity as well as use 46
capacity as well as with 68
capacity in case of war 66
capacity in time of war 100
capacity in tons of one 84
capacity is great in both 42
capacity it fell to him 64
capacity it fell to his 55
capacity of acting at any 66
capacity of acting or being 59
capacity of five or six 189
capacity of five to six 69
capacity of four to six 66
capacity of land is not 50
capacity of many of its 56
capacity of many of our 89
capacity of many of them 123
capacity of most of his 50
capacity of most of its 44
capacity of most of our 76
capacity of most of them 86
capacity of reading the new 41
capacity of some of his 63
capacity of some of its 81
capacity of some of our 83
capacity of some of them 163
capacity to ally the two 42
capacity to bind to and 58
capacity to bind to dna 51
capacity to come up with 377
capacity to draw on and 44
capacity to face the new 54
capacity to feel at all 44
capacity to fill the gap 75
capacity to find the way 49
capacity to grow is not 41
capacity to keep up with 862
capacity to know the law 43
capacity to know the real 121
capacity to learn at all 243
capacity to learn is not 105
capacity to learn to read 283
capacity to learn to use 62
capacity to link up with 57
capacity to live in and 54
capacity to live in two 56
capacity to look at things 202
capacity to love at all 40
capacity to love is not 98
capacity to make do with 52
capacity to make up for 306
capacity to make up his 64
capacity to make us see 62
capacity to meet the new 245
capacity to meet the peak 494
capacity to mess up his 41
capacity to move in and 105
capacity to obey the law 107
capacity to open up and 46
capacity to open up new 103
capacity to pick up and 106
capacity to react to and 40
capacity to speak on any 58
capacity to speak to and 46
capacity to take an oath 60
capacity to take in all 65
capacity to take in and 319
capacity to take in new 72
capacity to take on and 63
capacity to take on any 63
capacity to take on new 289
capacity to take on this 88
capacity to take the lead 301
capacity to take the long 89
capacity to take the oath 77
capacity to take up and 348
capacity to take up this 49
capacity to think at all 65
capacity to think is not 51
capacity to think of things 50
capacity to think or act 123
