call his new typeface caledonia 104
care for her children properly 120
care that his handsome namesake 78
caring for and protecting children 54
case and any supporting citations 63
case out for analytic treatment 46
case that had recently occurred 45
cell and its basement membrane 139
city and its beautiful environs 45
city and its immediate environs 921
city and its immediate vicinity 499
city with its adjacent district 53
city with its splendid churches 55
clear air and brilliant sunshine 56
clear sky and brilliant sunshine 47
club hit and initially compress 133
coin has two possible outcomes 56
coming out and performing miracles 47
cope with his emotional problems 71
cope with his personal problems 50
cope with its economic problems 101
cope with its internal problems 57
cope with this critical situation 57
cost that was actually incurred 58
coup and its immediate aftermath 70
