called a casket of learning 64
called a couple of hours 227
called a couple of months 57
called a couple of people 167
called a couple of times 1499
called a couple of weeks 194
called a course of study 91
called a figure of merit 41
called a master of style 62
called a matrix of order 68
called a measure of total 46
called a measure of value 59
called a moment of force 44
called a number of names 105
called a number of people 148
called a number of times 667
called a pencil of light 288
called a pencil of lines 55
called a speaker to order 42
called a strain of music 77
called a strike in order 45
called a strike to begin 46
called a strike to force 95
called a system of linear 97
called a system of units 81
calves i wanted to brand 41
camped a couple of miles 124
campus a couple of times 65
canyon a couple of miles 90
carrying a banner on which 177
carrying a barrel of flour 107
carrying a barrel of water 48
carrying a basket in which 138
carrying a basket of doves 56
carrying a basket of fresh 139
carrying a basket of fruit 579
carrying a basket of green 42
carrying a basket of linen 49
carrying a basket of roses 60
carrying a basket of tools 43
carrying a basket of washing 227
carrying a bottle of daisy 43
carrying a bottle of vodka 80
carrying a bottle of water 200
carrying a bottle of white 45
carrying a bucket of fresh 54
carrying a bucket of paint 65
carrying a bucket of water 3235
carrying a bundle of birch 100
carrying a bundle of books 151
carrying a bundle of clothing 187
carrying a bundle of dirty 40
carrying a bundle of grass 95
carrying a bundle of linen 76
carrying a bundle of reeds 48
carrying a bundle of spears 47
carrying a bundle of straw 106
carrying a bundle of thorns 64
carrying a bundle of twigs 48
carrying a burden of guilt 180
carrying a burden of which 52
carrying a candle to light 99
carrying a column of water 43
carrying a couple of books 74
carrying a couple of large 123
carrying a couple of small 57
carrying a kettle of boiling 47
carrying a letter in which 67
carrying a letter to major 65
carrying a litter on which 57
carrying a number of books 52
carrying a number of genes 43
carrying a number of large 48
carrying a number of people 86
carrying a number of small 151
carrying a screen of white 46
carrying a supply of water 132
carrying a vessel of water 102
carrying a volume of water 72
carrying a weight of about 40
catching a couple of hours 56
caught a couple of dozen 120
caught a couple of hours 154
caught a couple of small 99
caught a couple of times 180
caught a couple of trout 179
caught a couple of words 68
caught a number of birds 46
caught a number of large 43
caught a number of small 133
caught a number of times 97
caught a number of trout 85
caused a bridge of boats 273
caused a bucket of water 92
caused a famine in which 41
caused a furore in paris 51
caused a moment of panic 44
caused a notice in writing 74
caused a number of boats 70
caused a number of cases 148
caused a number of fatal 81
caused a number of fires 135
caused a number of human 41
caused a number of large 85
caused a number of major 74
caused a number of people 454
caused a number of small 137
caused a number of social 45
caused a reaction in favor 90
caused a shower of rocks 52
caused a statue of brass 67
caused a thought of gloom 65
causes a buzzer to sound 135
causes a decree or order 58
causes a desire to drink 103
causes a lowering of blood 299
causes a number of people 93
causes a partial or total 48
causes a person to breathe 50
causes a person to change 43
causes a person to engage 83
causes a prompt to appear 52
causes a reaction to occur 76
causes a series of small 55
causes a signal to appear 44
causes a stasis of blood 46
causes a system to change 163
center a couple of times 66
changed a couple of times 332
changed a couple of words 82
changed a little the state 59
changed a number of times 2239
changes a number of times 189
charge a higher or lower 66
charge a number of greek 42
charge a person as owner 52
charge a report in writing 53
charting a course of action 567
charts a course of action 80
checking a spirit so easily 57
chewed a couple of times 71
choked a couple of times 40
choose a bundle of goods 56
choose a career in nursing 104
choose a career in social 49
choose a career in teaching 132
choose a career in which 233
choose a course of action 12438
choose a course of study 320
choose a folder in which 177
choose a higher or lower 216
choose a system in which 149
choose a system of units 79
choosing a career in nursing 110
choosing a career in teaching 116
choosing a course of action 7215
choosing a course of study 236
choosing a higher or lower 47
choosing a master to human 91
