cairns that mark the way 54
called all three of them 64
called and came to see 42
called and gave me his 61
called and said he and 132
called and said he did 97
called and said he had 2937
called and said he has 52
called and said he was 1888
called and said it was 926
called and said to get 44
called and said to her 76
called and said to him 64
called and said we had 99
called and sent by god 365
called and sent of god 197
called and told me all 105
called and told me her 49
called and told me his 67
called and told me how 94
called and told me not 136
called and told me she 543
called and told me that 5570
called and told me they 221
called and told me this 99
called and told me you 508
called and told to get 42
called and told us she 64
called and told us that 823
called and told us they 47
called and told us you 62
called and took me out 132
called and took tea with 60
called and what is its 44
called but once in two 69
called each other by our 704
called each other by that 56
called each other up and 41
called for back up and 54
called for during the day 49
called for during the war 67
called for during the year 86
called for edna in his 80
called for five or six 61
called for help at her 56
called for help on her 48
called for help on his 152
called for help on men 42
called for help to get 55
called for help to his 82
called for here is not 196
called for here is that 107
called for peace at any 79
called for some of his 255
called for when it was 69
called for when we are 50
called hem help of man 50
called her back as she 119
called her back to ask 56
called her back to her 148
called her back to him 102
called her back to his 100
called her back to say 124
called her during the day 64
called her from the car 89
called her from the pay 116
called her just as she 43
called her just to say 45
called her name as she 115
called her name in his 46
called her over to her 46
called her over to him 143
called her over to his 110
called her sons to her 68
called her when he got 85
called her when he was 201
called him away to his 40
called him back in and 60
called him back on his 43
called him back to ask 260
called him back to hear 43
called him back to her 195
called him back to his 629
called him back to new 303
called him back to say 213
called him down to his 49
called him during the day 52
called him from the car 62
called him from the dead 165
called him from the pay 57
called him from the top 43
called him home to his 87
called him nothing at all 65
called him only by his 62
called him over to ask 60
called him over to her 361
called him over to him 51
called him over to his 210
called him over to see 41
called him till the day 61
called him what he was 56
called him when he got 63
called him when he had 56
called him when he sung 107
called him when he was 693
called his aide to his 74
called his name as she 143
called his name in her 41
called his sons to him 377
called his sons to his 258
called his wife by her 132
called his wife in new 45
called his wife on his 71
called his wife to ask 42
called his wife to bring 92
called his wife to him 270
called his wife to his 490
called his wife to let 80
called his wife to say 187
called his wife to see 87
called jan came in and 62
called off from so sad 88
called off some of his 44
called off when it was 125
called old andy by his 41
called out from the bar 43
called out from the bed 98
called out from the car 100
called out from the end 90
called out from the far 146
called out from the head 67
called out from the pit 51
called out from the rear 687
called out from the top 811
called out over the din 135
called out upon the dead 94
called out when he had 69
called out when he saw 395
called out when he was 165
called out when it was 42
called that part of his 44
called that spot of joy 665
called thee unto in this 59
called them back in and 49
called them back to its 45
called them back to that 47
called them over to her 60
called them over to him 54
called them over to his 49
called them when he was 67
called this part of his 90
called this star the dog 41
called with news of his 53
called you here so that 101
called you here to ask 130
called you here to say 64
calmed and kept in his 47
calmed him when he was 40
calmer and more at ease 225
calmer than when he had 96
calmly and went on with 42
calmly sat down on his 47
calmly than when we act 44
calves are born in may 123
calves that were in beth 49
camels his back to bear 206
camera has been in use 55
camera you want to use 70
camped near what is now 80
camped out along the way 100
canals and keys of this 81
canals that join sea with 82
cancel each other as far 75
cancel each other as they 64
cancel each other at all 53
cancel each other if they 59
cancel each other in this 126
cancel each other so that 1214
cancel out over the long 52
cancel out when the two 45
cancer and some do not 41
cancer are over the age 68
cancer eating away at her 66
cancer eating away at his 89
cancer eating away at our 84
cancer that must be cut 93
candid and open in all 68
candle and blew it out 263
candle and blow it out 73
candle and gone to bed 118
candle and held it near 44
candle and held it out 122
candle and went to bed 1220
candle and went to her 109
candle and went to his 62
candle and went to see 65
candle she held in her 207
candle that went up and 59
candle was held to his 77
cannon was heard at our 47
canted her over on her 104
canvas bag slung on his 49
canvas has been on her 58
capped each other as they 50
carbon and some of its 49
carded and spun by his 64
career and fate of this 46
career and many of his 47
career and most of his 60
career and much of his 63
career and some of his 95
career and those of his 154
career and when he was 49
career but also in his 53
career for some of them 40
career had come to its 109
career lay ahead of him 195
