cafe get 119 cafe sit 87
cage not 43 call him 53
call him 95 call then 671
call you 43 call for 47
call them 149 call not 148
call get 43 call see 54
call you 168 call her 235
call his 117 call you 102
call not 61 call out 44
calm not 43 came they 289
came was 46 came they 85
came that 361 came who 63
came day 818 came and 67
came did 45 came had 146
came was 305 came did 96
came had 139 came one 59
came was 49 came she 70
came had 42 came who 181
came not 158 came not 42
came his 45 came and 75
came put 75 came they 46
came who 58 came not 42
came dying 43 came her 167
came his 151 came that 47
came not 139 came that 50
came sang 41 came sat 165
came two 69 came then 1460
came got 45 came then 40
came then 51 came and 56
came not 57 came not 68
came and 198 came with 43
came and 336 came with 112
came son 157 came and 100
came and 130 came this 61
came that 62 came saw 66
came that 212 came man 52
came one 83 came had 64
came that 227 came all 125
came his 53 came had 73
came sad 47 came and 40
came lying 47 came head 49
came her 95 came his 251
came his 55 came and 63
came and 52 came eye 122
camp then 47 camp her 70
camp far 68 cane and 297
cane with 40 canoe and 85
card then 89 card are 65
card out 130 card them 56
care now 95 care not 49
care them 115 care they 105
care but 55 care are 98
care her 344 care she 174
care that 316 care way 121
care are 161 care his 482
care that 331 care way 134
care are 419 care are 106
care are 129 care and 54
care way 46 care are 626
care can 111 care how 58
care that 783 care they 336
care who 101 care you 195
care way 149 care are 307
care are 463 care are 338
care are 299 care can 107
care how 150 care our 93
care that 266 care they 117
care who 228 care you 387
care way 141 care not 103
care that 132 care not 127
care then 157 care met 231
care being 127 care not 146
care are 244 care going 292
care going 69 care going 346
care them 63 care him 133
care them 43 care not 92
caring for 75 caring going 197
case not 105 case not 107
case not 113 case own 57
case then 171 case year 133
case year 90 case all 40
case are 43 case can 40
case not 53 case own 105
case and 40 case and 294
case and 100 case one 127
case are 49 case not 133
case not 184 case ink 45
case all 84 case both 60
case not 409 case not 102
case not 121 case not 46
case not 56 case not 51
case not 115 case not 111
case not 63 case using 43
case not 210 case not 74
case fit 111 case yet 64
case this 54 case yet 275
case not 46 case now 51
case not 57 case put 45
cash not 82 cash not 89
cash use 47 cash not 126
cash year 1317 cash year 46
cash not 475 cash not 111
cash and 170 cash day 119
cash pay 47 cash can 49
cash and 41 cast and 127
cast and 75 cast and 123
cast then 178 cast men 46
cast not 131 cave her 44
cell not 70 cell not 183
cell not 187 cell own 48
cell her 42 cell not 101
cell her 49 cell his 66
cell that 100 cell not 44
cell rung 73 cell was 83
cell rang 56 cell she 576
cell she 44 cell not 47
cell and 42 cell and 74
cell and 51 cell not 268
cell not 129 cell and 381
cell not 42 cell two 92
cell yet 76 cent and 68
cent and 43 cent for 378
cent are 48 cent had 198
cent are 56 chap age 158
chat are 53 chat that 1360
chat then 59 chin his 75
chin his 52 chop then 44
city not 65 city this 105
city its 49 city her 65
city then 63 city and 58
city own 73 city ten 89
city had 63 city not 47
city her 74 city not 117
city not 71 city now 60
city not 42 city not 95
city not 57 city going 56
city not 42 city buy 67
city get 157 city not 200
city see 77 city yet 58
city own 52 city yet 153
city own 47 city yet 124
city far 52 city his 75
city yet 60 city them 46
clay dung 151 clean rid 137
clean and 54 clean and 182
clean and 110 clean and 104
clean them 45 clean with 109
clear why 89 clear are 125
clear can 62 clear are 92
clear that 64 clear she 64
clear was 45 clear are 306
clear are 440 clear how 51
clear was 40 clear are 240
clear are 389 clear own 50
clear own 99 clear that 54
clear see 338 clear ago 150
clear had 81 clear was 124
clear are 345 clear did 91
clear had 234 clear was 89
clear are 62 clear had 63
clear was 44 clear are 99
clear was 86 clear was 82
clear are 79 clear was 70
clear are 69 clear air 156
clear with 60 clear with 44
clear with 151 clear see 53
clear see 92 clear see 131
clear going 63 clear going 43
cloth and 42 cloth with 48
cloth and 75 cloth and 48
cloth for 50 cloth going 55
club and 40 club and 40
club set 78 club get 42
clue going 93 clue going 42
clung sin 97 coal and 135
coal mean 60 coat fur 69
coat and 74 coat and 56
coat fit 50 cock and 74
code can 100 code can 613
coin its 84 coin own 99
cold own 67 cold her 91
cold him 41 cold this 66
cold with 42 cold them 86
cold not 59 cold not 65
cold them 181 cold with 206
cold and 43 cold sit 69
cold them 319 cold with 79
cold for 48 cold with 42
cold dry 4017 cold them 181
cold her 55 cold them 213
cold off 87 cold them 71
cold add 176 cold dry 48
cold hot 68 cold let 45
cold put 126 cold rub 45
cold with 461 cold are 49
cold not 64 cold cup 43
cold then 67 cold not 47
cold not 57 cold few 54
cold and 81 cold hot 42
come for 95 come did 124
come they 838 come they 62
come its 61 come not 47
come not 45 come men 58
come are 42 come had 125
come was 121 come are 155
come had 67 come man 70
come are 137 come man 68
come bring 63 come she 63
come his 50 come that 45
come who 71 come who 48
come not 62 come bring 65
come you 65 come say 58
come all 53 come his 40
come for 98 come him 57
come his 62 come her 96
come him 79 come them 77
come you 165 come not 48
come and 90 come sun 83
come and 88 come and 243
come own 47 come all 47
come bring 77 come read 58
come see 59 come sit 51
come then 999 come ebb 63
come they 51 come long 100
come son 213 come and 344
come with 42 come and 311
come with 85 come and 115
come and 285 come with 130
come one 129 come ask 9992
come get 56 come let 47
come lie 41 come put 70
come say 32471 come use 66
come you 72 come his 73
come that 83 come things 56
come this 52 come his 63
come her 385 come him 518
come how 85 come them 68
come you 1388 come with 44
come and 44 come and 45
come eye 64 come and 109
come are 326 come nor 44
come not 81 come get 79
come that 113 come may 119
come out 173 come than 82
coming then 405 coming are 445
coming may 63 cooing led 52
cook and 58 cook out 108
cook them 47 cool her 75
cool dry 566 copy was 85
copy own 69 copy and 40
core for 51 corn out 54
corn his 109 corn can 92
cost not 104 cost for 107
cost not 52 cost two 49
cost job 224 cost yet 51
cost not 45 cove hid 78
cowl and 86 crab for 46
crew put 62 crying own 41
crying then 81 crying for 228
crying got 82 cups cup 59
