tact had hitherto kept him 43
tail was divided into two 95
take and receive from you 58
take and receive into his 51
take any comfort from this 47
take any european into his 51
take any position other than 67
take for granted also that 44
take for granted have had 125
take for granted here that 252
take for granted many things 257
take for granted more than 95
take for granted more things 94
take for granted much that 213
take for granted only this 65
take for granted such things 141
take for granted their own 488
take for granted those things 83
take for granted those who 58
take for granted were not 302
take for granted what can 47
take for granted what had 46
take for granted what has 235
take for granted what our 44
take for granted what they 760
take for granted what was 292
take for granted what you 179
take for granted when they 386
take for granted when you 130
take for granted will not 47
take for himself more than 54
take her destiny into her 164
take her dollars home with 44
take her freedom into her 41
take her friends from her 45
take her husband from her 195
take her husband into her 121
take her journey along with 83
take his affairs into his 64
take his chances along with 113
take his command from him 51
take his country from him 159
take his destiny into his 277
take his friends into his 55
take his regular turn with 44
take his treasure from him 42
take its affairs into its 120
take its chances along with 94
take its destiny into its 406
take long because there was 43
take one example from each 53
take one hundred away with 91
take one hundred years for 62
take our affairs into our 92
take our destiny into our 367
take that superior tone with 44
take that trouble upon you 44
take that worried look off 47
take this buffalo chip and 60
take this country into war 64
take this decision from you 98
take this passage from his 46
take two hundred years for 75
taking any hostile step that 79
taking for granted here that 86
taking for granted some two 46
taking for granted what has 57
taking for granted what they 98
taking for granted what was 73
taking for granted what you 48
taking her destiny into her 55
taking her husband from her 70
taking his cheroot from his 158
taking his destiny into his 63
taking his glasses from his 85
taking his natural rest that 69
taking his tablets from his 50
taking its destiny into its 62
taking its pattern from him 61
taking off several heads for 72
taking one element from each 90
taking our destiny into our 80
tale may present some idea 82
tale was written years ago 41
talk and exchange ideas with 48
talk and trouble over that 54
talk this problem over with 88
talk two hundred years ago 135
talk was equally idle and 48
tall and athletic young man 42
tall and elegant young man 40
tall and slender like her 85
tall and slender like his 52
tall and slender young man 248
tall and weighed less than 301
tall and weighed more than 463
tall and weighed over two 186
tall thin stripling held out 107
tank was divided into two 57
task now imposed upon him 56
task thus imposed upon him 132
task thus imposed upon them 81
task was divided into two 96
task was imposed upon him 96
task was imposed upon them 57
teach and enforce upon him 46
teach his friends what they 99
teach you exactly what you 44
teams are divided into two 101
tears and blessings from his 41
tears and laughed when she 58
tears had streamed down her 51
tears had streamed down his 56
tears now streamed down her 45
tears that coursed down her 631
tears that coursed down his 201
tears that dropped from her 157
tears that dropped from his 50
tears that slipped down her 195
tears that spilled down her 427
tears that spilled from her 129
tears that spilled onto her 53
tears that spilled over and 52
tears that spilled over her 47
tears that started into his 41
tears that streaked down her 76
tears that streamed down her 1554
tears that streamed down his 379
tears that streamed from her 215
tears that streamed from his 146
tears that streamed over his 52
tears that trailed down her 57
tears that trickle down her 51
teeth and climbed into bed 86
teeth are divided into two 71
