the p code chipping rate 132
the z axis points along 41
thing i ever learned from 74
thing i ever looked upon 127
thing i ever wanted from 53
thing i feel pretty sure 100
thing i have already said 61
thing i have always been 290
thing i have always done 54
thing i have always felt 56
thing i have always said 43
thing i have learned during 75
thing i have learned from 1004
thing i have learned over 709
thing i must insist upon 108
to a baby weighing more 88
to a bank credit card 198
to a bank teller during 66
to a bare escape from 115
to a boil before adding 175
to a busy shopping mall 48
to a city called rome 40
to a clear liquid diet 166
to a cold object when 40
to a cute little girl 48
to a dame school kept 43
to a dark little room 54
to a data access page 341
to a data source such 55
to a deep indigo blue 105
to a depth beyond what 91
to a face without eyes 43
to a fair female form 78
to a fair public hearing 59
to a fair public trial 174
to a fair return from 53
to a fair return upon 2563
to a file without having 54
to a film without seeing 67
to a fine powder prior 95
to a fine powder when 137
to a form agreed upon 141
to a form something like 46
to a free choice among 41
to a full course load 48
to a full insert page 70
to a full liquid diet 129
to a full screen view 51
to a full senate term 123
to a girl called mary 70
to a girl standing there 72
to a good credit rating 42
to a good critic more 56
to a good degree from 44
to a good english cook 44
to a good extent from 42
to a good family life 85
to a good foster home 49
to a good friend like 66
to a good ground such 56
to a good school kept 52
to a good vacuum pump 56
to a great amount from 92
to a great amount were 108
to a great artist like 55
to a great degree also 199
to a great degree among 183
to a great degree been 332
to a great degree cast 58
to a great degree during 190
to a great degree even 212
to a great degree ever 40
to a great degree free 79
to a great degree from 1136
to a great degree have 169
to a great degree into 119
to a great degree lost 265
to a great degree made 102
to a great degree must 40
to a great degree only 124
to a great degree over 101
to a great degree self 221
to a great degree their 392
to a great degree these 55
to a great degree those 99
to a great degree true 68
to a great degree upon 5343
to a great degree vain 95
to a great degree were 59
to a great degree what 622
to a great degree when 222
to a great degree will 50
to a great empire like 42
to a great enough depth 59
to a great estate some 64
to a great extent able 117
to a great extent along 446
to a great extent also 2490
to a great extent among 1929
to a great extent anti 112
to a great extent bare 83
to a great extent been 7366
to a great extent born 42
to a great extent came 101
to a great extent cast 175
to a great extent cease 43
to a great extent come 197
to a great extent dealt 48
to a great extent died 184
to a great extent done 465
to a great extent down 50
to a great extent during 1774
to a great extent even 1796
to a great extent ever 54
to a great extent fell 60
to a great extent fill 88
to a great extent find 40
to a great extent form 184
to a great extent free 1792
to a great extent from 12875
to a great extent gave 97
to a great extent give 88
to a great extent giving 44
to a great extent gone 271
to a great extent have 1973
to a great extent having 54
to a great extent held 298
to a great extent help 154
to a great extent here 286
to a great extent hold 116
to a great extent into 1100
to a great extent just 279
to a great extent keep 48
to a great extent kept 359
to a great extent laid 202
to a great extent left 424
to a great extent less 100
to a great extent lies 189
to a great extent like 272
to a great extent live 128
to a great extent living 151
to a great extent lose 87
to a great extent lost 2617
to a great extent made 1467
to a great extent make 554
to a great extent making 52
to a great extent many 173
to a great extent means 54
to a great extent meant 72
to a great extent mere 212
to a great extent more 348
to a great extent most 50
to a great extent much 218
to a great extent must 337
to a great extent nothing 94
to a great extent only 1676
to a great extent open 168
to a great extent other 91
to a great extent over 1307
to a great extent owed 65
to a great extent owes 43
to a great extent paid 136
to a great extent part 271
