tax adviser given in good 40
tax credits could be used 122
tax dollars would be used 123
tax payable under the laws 601
tax payable under the said 241
tax returns within the time 184
tax revenue could be used 196
tax revenue would be used 49
tax shelter within the meaning 83
team members based on their 381
team members begin to work 49
team members share the same 140
team members would be able 53
tear exchange under the lens 81
ten dollars shall be paid 210
ten minutes after he came 45
ten minutes after he left 232
ten minutes after he went 48
ten minutes after the ball 40
ten minutes after the bell 125
ten minutes after the birth 78
ten minutes after the bite 116
ten minutes after the boat 62
ten minutes after the call 209
ten minutes after the cloth 49
ten minutes after the fire 100
ten minutes after the firing 237
ten minutes after the four 44
ten minutes after the game 135
ten minutes after the girl 54
ten minutes after the hour 503
ten minutes after the last 419
ten minutes after the news 64
ten minutes after the other 80
ten minutes after the rest 47
ten minutes after the ship 63
ten minutes after the time 739
ten minutes after we have 55
ten minutes after we last 51
ten minutes after we leave 43
ten minutes after we left 168
ten minutes after we were 121
ten minutes later he came 272
ten minutes later he heard 94
ten minutes later he said 49
ten minutes later the door 223
ten minutes later the same 99
ten minutes later to find 180
ten minutes later to tell 41
ten minutes later we came 54
ten minutes later we heard 89
ten minutes later we were 627
ten minutes since the last 68
ten minutes since we were 40
ten minutes under the fire 67
ten minutes while the other 53
ten plagues which the holy 104
ten shillings shall be paid 111
ten thousand acres in size 108
ten thousand acres of coal 175
ten thousand acres of good 89
ten thousand acres of land 7692
ten thousand acres of rich 66
ten thousand acres of wheat 157
ten thousand acres of wild 64
ten thousand acres or more 190
ten thousand curbs of more 221
ten thousand forms of self 129
ten thousand knots the hour 46
ten thousand lines of code 82
ten thousand miles an hour 180
ten thousand miles by rail 79
ten thousand miles in length 82
ten thousand miles of land 116
ten thousand miles of ocean 222
ten thousand miles of road 76
ten thousand miles of wire 98
ten thousand miles or more 224
ten thousand miles to find 50
ten thousand pairs of eyes 74
ten thousand pairs of shoes 227
ten thousand parts or more 166
ten thousand people or more 277
ten thousand pesos in gold 187
ten thousand pesos of gold 106
ten thousand rents of thine 43
ten thousand stand of arms 989
ten thousand strings of cash 179
ten thousand times as fast 52
ten thousand times as good 44
ten thousand times as great 527
ten thousand times as heavy 61
ten thousand times as many 291
ten thousand times as much 2744
ten thousand times or more 95
ten thousand times the more 132
ten thousand times the size 91
ten thousand times the wealth 57
ten thousand women at once 93
ten thousand words in length 119
ten thousand yards of cloth 110
than anybody ought to have 47
than between either of these 528
than between either of those 74
than captain nolan the army 57
than doubled again to reach 43
than doubled since the early 371
than doubled since the last 84
than doubled since the late 130
than doubled since the time 56
than doubled since the turn 90
than doubled within the last 563
than doubled within the next 103
than doubled within the past 152
than enemies began to spring 79
than fifteen acres of land 99
than fifteen cents an hour 44
than fifteen miles an hour 1947
than fifteen miles in length 178
than fifteen miles in width 91
than fifteen months by their 52
than fifteen months in lima 70
than fifteen times as great 90
than fifteen times as many 130
than fifteen times as much 466
than fifteen times the size 44
than himself seeming to lift 65
than hitherto could be done 104
than justice would be done 77
than married women to have 98
than seventy miles an hour 308
than seventy miles in length 108
than seventy times as much 41
than several seamen of other 53
than sixteen miles an hour 97
than sixteen miles in length 60
than sixteen robes of silk 122
than sixteen times as many 70
than sixteen times as much 112
than thirteen times as great 78
than thirteen times as many 48
than thirteen times as much 195
than trebled within the last 77
than tripled since the early 86
than unified under the aegis 63
than usually erect of bearing 49
than usually falls to their 44
than usually found in other 99
that ability which is prior 59
that ability which we have 47
that abraham seems to have 40
that absence makes the heart 1703
that account wants to live 75
that account which we have 52
that account willing to lend 125
that accrues after the date 86
that addison seems to have 198
that address shall be used 45
that aesthetic point of view 94
that affairs would do well 45
that affects either of these 58
that against which the wind 111
that against which we have 149
that agitating state of mind 48
that alcohol abuse is more 92
that alcohol could be used 88
that alcohol warms the body 118
that alimony pending the suit 89
that allowed people to give 46
that allowed people to live 121
that allowed people to make 210
that allowed people to move 124
that allowed people to take 94
that allowed people to think 40
that allowed people to work 57
that allowed users to make 120
that allowed users to send 48
that allowed water to flow 95
that allowed women to have 46
that allowed women to take 100
that allowed women to vote 276
that allowed women to work 125
that allusion ought to have 62
that america could be made 151
that america might be able 64
that america might be free 202
that america might be very 110
that america ought to have 159
that america seems to have 61
that america shall be felt 63
that america shall be free 57
that america shall be made 136
that america shall be what 54
that america would be able 402
that america would be more 125
that america would be much 41
that america would be their 42
that america would do nothing 48
that america would do well 82
that ancient notion of some 57
that animals could be kept 67
that animals could be made 80
that animals could be used 141
that anxiety which we feel 42
that anybody could do what 107
that anybody might be able 50
that anybody needs to know 100
that anybody ought to have 54
that anybody wants to know 40
that anybody would be able 136
that anybody would be glad 117
that appeared about the same 538
that appeared about the time 84
that appeared never to have 162
that appeared under the heading 186
that appeared under the name 259
that appeared under the same 123
that appeared which we know 61
that applies quite as much 103
that arrests could be made 65
that arrests would be made 130
that arrived about the same 115
that arrived while we were 111
that arrives about the news 122
that article about as much 125
that aspirin might be good 40
that attacks would be made 90
that average hours of work 114
that balance which the giant 64
that behavior change is more 49
that behavior which is most 45
that beliefs about the self 100
that benefit others as well 158
that besetting error of ours 95
that between either of these 213
that blessed mother of mine 41
that blessed region of four 59
that blessed state of mind 189
that blessed world to come 40
that blucher would be able 58
that britain could do nothing 114
that britain might be able 256
that britain ought to have 141
that britain seems to have 96
that britain stood to gain 54
that britain would at least 40
that britain would be able 1416
that britain would be glad 45
that britain would be left 167
that britain would be more 134
that britain would be ready 236
that britain would be well 98
that britain would do nothing 181
that britain would do well 55
that britain would go ahead 46
that british power in india 251
that brought about by other 52
that brought about so much 132
that brought about the birth 320
