take and bring him before 54
take and how they should 62
take and pay for shares 93
take and use all lawful 59
take any and all actions 267
take any job that offers 49
take for his own safety 114
take her and her brother 116
take her and her family 131
take her and her friend 64
take her and her little 43
take her and her sister 132
take her arm and escort 102
take her out for coffee 218
take her out for dinner 859
take her out for drives 72
take her out for supper 86
take her with all faults 69
take him and his brother 216
take him and his family 819
take him and his friend 92
take him and his little 56
take him and his sister 257
take him for his friend 76
take him out for coffee 50
take him out for dinner 232
take him too far afield 122
take his arm and prolong 46
take his bow and arrows 516
take his bow and quiver 156
take his hat and gloves 92
take his hat off before 55
take his son and myself 58
take ill and not follow 62
take not his own burden 57
take off all her clothes 2465
take off all his clothes 1367
take off all its weight 71
take off all our clothes 773
take off and fly around 153
take off both his saddle 72
take off her hat before 76
take off her own clothes 122
take off her wet clothes 211
take off his cap before 57
take off his hat before 258
take off his own clothes 266
take off his wet clothes 303
take off our wet clothes 71
take off that old cotton 72
take one day with another 101
take one too far afield 124
take one year with another 95
take that big box aboard 63
take them for long periods 44
take them for our guides 43
take them for our models 47
take them off and polish 202
take them one with another 138
take them out and handle 40
take them out and remove 51
take them out for coffee 60
take them out for dinner 261
take them out for drives 70
take them who are linked 96
take this man for better 45
take this oath was simply 55
take with him and ponder 59
take with him any person 79
take with him his clothes 47
take with him his family 100
take with him his papers 42
take with thee ten loaves 69
take with them all papers 61
take with them being little 92
take with you ben jonson 40
take you out for coffee 138
take you out for dinner 1387
take you out for something 59
take you out for supper 85
take you too far afield 50
taking but not being afraid 51
taking each its own course 59
taking her and her sister 41
taking her arm and hurrying 42
taking her arm and starting 45
taking her arm and steering 200
taking her arm and ushering 57
taking her out for dinner 244
taking him and his brother 96
taking him and his family 88
taking him and his sister 42
taking him for her wedded 41
taking him out for dinner 48
taking his arm and steering 55
taking his bow and arrows 584
taking his hat and gloves 66
taking off all her clothes 288
taking off all his clothes 297
taking off all our clothes 53
taking off her own clothes 64
taking off her wet clothes 53
taking off his hat before 64
taking off his own clothes 218
taking off his own jacket 52
taking off his own mantle 67
taking off his wet clothes 95
taking off our wet clothes 92
taking one day with another 675
taking one man with another 71
taking one year with another 10232
taking out her head changed 48
taking them one with another 148
taking them out for dinner 82
taking things did not happen 83
taking with her her infant 122
taking with her her little 331
taking with him his brother 460
taking with him his clothes 41
taking with him his cousin 44
taking with him his eldest 535
taking with him his entire 119
taking with him his family 421
taking with him his friend 127
taking with him his little 232
taking with him his nephew 198
taking with him his oldest 53
taking with him his second 90
taking with him his sister 484
taking with him his slaves 95
taking with him his younger 146
taking with him ten pieces 40
taking with him two female 65
taking with him two pieces 126
taking you out for dinner 152
tale does not say whether 41
tale for men that listen 57
tale has had its effect 104
talk and act for myself 326
talk and you can listen 88
talk that was going around 185
talk them out with someone 54
talk things out with someone 152
talk this out with someone 131
talk was long and earnest 104
talk with all and sundry 138
talk with her and escort 50
talk with her old friend 215
talk with him and learned 41
talk with him and listen 155
talk with him she always 61
talk with his old friend 789
talk with kings and queens 54
talk with one and another 44
talk with them and listen 290
talk with you and answer 131
talk with you and listen 144
talk with you for awhile 99
talk you may his nature 88
tall and fat and scared 47
tall and lean and looked 74
tall and thin and always 70
tall and thin and looked 179
tall and thin and seemed 42
tall and thin and stooping 87
tall and thin and walked 51
tall man and his quaint 282
tall man who had already 54
tall man who had spoken 69
tall man who was standing 62
tall that his head almost 43
tall that his head reached 92
tall thin man who looked 44
task and one that should 161
task both with and without 49
task fit for his genius 50
task for any one person 108
task god has set before 58
task that does not depend 45
task that goes far beyond 81
task that now lay before 159
task that she was forced 50
task that was set before 180
task they had set before 57
task with his own spirit 47
teach all men and nations 101
teach and how they should 158
teach any and all facets 134
teach her all she needed 59
teach her that she should 64
teach her why she should 42
teach him all his passes 91
teach him and his family 289
teach his son his duties 59
teach men how they should 247
teach men that they should 42
teach that all old nations 43
teach that god has chosen 44
teach that man was created 76
teach them all they needed 79
teach them any new tricks 63
teach them how they should 293
teach them that they should 333
teach them why they should 49
teach you how you should 119
teach you that you should 159
tearing off his own clothes 43
tearing out his own bowels 117
tears are not yet brewed 88
tears for her own faults 67
tears that had not fallen 51
tears that wet her cheeks 90
tears that you are shedding 56
