tact seems something so alien 40
take about twenty or thirty 47
take about twenty to thirty 108
take cover before the shell 44
take cover behind the rocks 67
take cover behind the trees 74
take either course of action 46
take every measure to avoid 127
take heaven itself by storm 66
take human bodies in order 55
take people across the river 59
take place across the board 112
take place across the globe 118
take place across the nation 66
take place across the river 55
take place across the whole 203
take place across the world 70
take place amongst the lower 49
take place around the clock 94
take place around the edges 55
take place around the globe 71
take place around the table 93
take place around the world 678
take place before he could 173
take place before it could 103
take place before it would 46
take place before or after 3850
take place before the action 377
take place before the altar 82
take place before the change 47
take place before the chief 58
take place before the child 344
take place before the civil 42
take place before the close 231
take place before the court 596
take place before the eighth 144
take place before the event 323
take place before the final 862
take place before the first 514
take place before the fourth 44
take place before the goods 41
take place before the group 52
take place before the house 101
take place before the issue 61
take place before the judge 118
take place before the lapse 118
take place before the leaves 43
take place before the meeting 205
take place before the morning 58
take place before the onset 293
take place before the opening 342
take place before the order 47
take place before the passing 61
take place before the people 97
take place before the period 91
take place before the plant 96
take place before the right 44
take place before the stage 45
take place before the start 264
take place before the state 57
take place before the usual 68
take place before the walls 70
take place before the water 82
take place before the wedding 58
take place before the whole 254
take place before we could 56
take place behind the backs 96
take place behind the scene 54
take place beyond the walls 52
take place earlier or later 442
take place except by order 52
take place except in cases 102
take place inside the brain 58
take place inside the cells 58
take place inside the house 599
take place inside the human 105
take place instead of others 97
take place mostly at night 168
take place sooner by about 51
take place sooner or later 3824
take place through the action 789
take place through the banks 49
take place through the blood 458
take place through the brain 43
take place through the cells 52
take place through the child 46
take place through the joint 155
take place through the lymph 50
take place through the pores 59
take place through the power 203
take place through the price 65
take place through the upper 100
take place through the walls 169
take place through the whole 746
take place unless the buyer 42
take place unless the child 114
take place unless the people 71
take place unless the woman 52
take place without an appeal 45
take place without an order 105
take place without the action 163
take place without the brain 51
take place without the danger 43
take place without the first 54
take place without the people 40
take place without the usual 114
take place without the whole 163
take place without the willing 53
take place without the woman 44
take risks without the usual 47
take strong ground in favor 52
take trips around the world 57
take turns spending the night 104
take turns standing in front 64
take turns through the night 44
take walks through the woods 62
taking cover behind the rocks 60
taking cover behind the trees 64
taking either course of action 50
taking people across the river 45
taking place across the board 64
taking place across the globe 201
taking place across the nation 368
taking place across the region 57
taking place across the river 46
taking place across the water 68
taking place across the whole 179
taking place across the world 455
taking place around the clock 40
taking place around the globe 367
taking place around the world 3677
taking place around us every 41
taking place around us today 110
taking place before or after 133
taking place before the first 43
taking place behind the backs 47
taking place behind the front 46
taking place behind the scene 51
taking place behind the walls 41
taking place beyond the walls 46
taking place inside the cells 49
taking place inside the house 154
taking place inside the human 87
taking place inside the minds 90
taking place solely in front 132
taking place sooner or later 86
taking place through the action 64
taking place through the walls 45
taking place through the whole 228
taking shape around the world 52
taking strong ground in favor 99
taking turns behind the wheel 65
talk about anyone or anything 46
talk about except the weather 147
talk about groups of people 98
talk about myself to others 71
talk about something in which 161
talk about something of which 166
talk about topics in which 40
talk about whether it would 141
talk shows across the nation 40
tall grass behind the house 40
tall trees stooping or soaring 47
tank which washes the walls 108
teach every branch of human 84
teams working around the clock 69
tears began already to start 77
tears which flowed in spite 75
tell every secret of james 94
tell which course of action 40
tend still farther to endear 49
tend still further to lower 54
tent mingled sounds of praying 47
term bonds issued by state 89
term broad enough to cover 216
term money market in japan 122
term notes issued by large 153
term which covers the whole 139
term would expire in march 72
term would expire on march 80
test drive around the block 105
test either before or after 84
test sites around the world 51
text either before or after 130
text flows around the image 72
text which formed the basis 98
text wraps around an image 61
text wraps around the frame 52
text wraps around the image 212
text wraps around the right 46
their action assume the usual 69
their ample volume of sound 46
their armed forces in order 136
their armed forces on alert 46
their armed forces to fight 68
their backs seemed no longer 92
their bases creased or dirty 49
their basic rights as human 194
their blood before the sword 53
their blood turned to water 50
their boats across the water 104
their boats through the canal 43
their boats through the water 93
their brief moment of glory 176
their brief moment of power 45
their brief tenure of power 247
their broad petals of white 51
their canoes across the river 59
their canoes around the falls 67
their canoes through the swamp 89
their canoes through the woods 92
their cases before the court 399
their cases before the judge 74
their cause became the cause 42
their cause before the court 63
their cause before the grand 80
their cause before the people 132
their cause before the queen 42
their cause before the throne 128
their cause before the world 90
their cells around the clock 48
their cells became so filthy 44
their chief source of power 43
their chief supply of water 69
their child before the child 40
their civil rights in order 47
their coral towers the passing 45
their cowls rotating as though 83
their crops seemed to touch 47
their cruel habits to which 53
their cruel system of human 63
their daily supply of fresh 71
their daily supply of water 263
their doors toward the water 60
their dusky lovers at parting 43
their every feature to human 95
their exact nature is still 145
their faces before the throne 824
their faces hidden by masks 80
their faces hidden in masks 47
their faces looked as though 40
their faces seemed to split 92
their faces showed the glaze 47
their faces toward the enemy 205
their faces toward the light 187
their faces toward the setting 214
their faces turned to mecca 117
their false claims of right 340
their false fashion of valuing 41
their false wisdom or false 41
their father whether he would 91
their favor except an error 49
their fingers amongst the coals 40
their fingers instead of forks 84
their fingers through the holes 49
their fingers through the paper 76
their fingers through the water 55
their first attack of acute 88
their first chance of seizing 45
their first chance to prove 48
their first couple of months 57
their first couple of weeks 87
their first course of action 189
their first decade in power 57
their first duties to search 46
their first flight at kitty 217
their first habits of thinking 40
their first moment of meeting 165
their first reaction is often 119
their first stages of growth 101
their first voyage to china 60
their fixed measure of social 42
their fixed places of abode 42
their fleet should be taken 42
their flesh burned to ashes 54
their fluid intake to avoid 40
their funds around the world 47
their furry spoils in fight 41
their gloom across the table 91
their goods across the river 88
their goods around the world 55
their grand scheme of opening 55
their gross income in taxes 48
their gross income the value 47
their growth should be rapid 40
their hands across the bosom 87
their hands across the table 42
their hands almost the whole 63
their hands amidst the stars 124
their hands before or after 52
their hands behind the glass 42
their hands behind the tails 57
their hands dozens of times 49
their hands folded in front 319
their hands instead of darning 56
their hands joined in front 137
their hands raised to heaven 212
their hands should be tried 41
their hands sooner or later 109
their hands through the flame 122
their hands through the water 75
their hands toward the floor 42
their hearts turned to stone 56
their hearts turned to water 117
their heirs claiming by force 64
their homes around the world 59
their hopes turned to ashes 74
their human rights in order 41
their indian allies in lower 63
their inner selves in order 43
their ivory towers to enjoy 43
their joint chiefs of staff 47
their knees before an altar 58
their knees before the altar 528
their knees before the chief 40
their knees before the cross 167
their knees before the image 93
their knees before the rifle 141
their knees before the throne 122
their knees touching the floor 97
their known merits on either 55
their lands except on leases 50
their lands should be taken 155
their large flocks of sheep 217
their large series of cases 65
their later stages of growth 79
their latin rhymes in place 41
their leaves toward the light 62
their legal rights in court 45
their legal rights in order 57
their light reached the world 53
their lines athwart the house 56
their lives around the needs 64
their lives around the right 98
their lives better or worse 44
their lives seemed in danger 67
their lives should be lived 246
their lives should be saved 425
their lives should be spent 50
their lives should be taken 52
their lives sooner or later 41
their lives through the power 68
their lives through the prism 41
their looks divine the image 500
their looks whether the spark 84
their major course of study 127
their major fields of study 414
their major source of funding 123
their major source of funds 191
their major source of power 72
their males should be thrown 79
their march across the table 169
their march through the mazes 43
their march through the state 45
their march through the whole 135
their march through the woods 221
their march toward the rhine 109
their march toward the setting 143
their march turned the local 40
their marks instead of signing 45
their meager supply of water 42
their minds before the close 55
their minds beyond the state 106
their minds solely to putting 91
their minds wanted no helps 98
their money around the world 61
their money should be spent 289
their mother around the house 65
their motion through the field 49
their motion through the water 181
their music seemed to start 54
their names before the people 56
their names carved in stone 41
their names famous by deeds 88
their names happen to begin 51
their names should be added 173
their names should be given 112
their names should be known 116
their names should be under 53
their natal rivers to spawn 63
their natal streams to spawn 134
their needs should be given 50
their needs should be taken 45
their noses buried in books 111
their noses through the brine 59
their noses through the fence 59
their outer shells by sharing 70
their panel instead of carving 41
their panic caused the fleet 41
their paper issues the names 104
their peers across the nation 57
their peers around the world 248
their people should be drawn 77
their people through the social 62
their place around the table 45
their place before or after 42
their place beside the older 62
their place should be taken 129
their plays before the people 96
their power should be wanting 47
their quiet fields to shake 44
their ranks behind the misty 103
their rapid flight in forms 61
their right breasts in order 139
their right number of cards 147
their right touching the river 47
their roots buried in shingle 49
their roots should be solid 43
their roots through the whole 139
their rough meadows to scent 57
their royal master the slave 44
their selling prices in order 56
their selling prices to cover 46
their shade across the quiet 87
their shaming effect on black 64
their ships around the world 52
their short tenure of power 79
their sides instead of folding 42
their sides instead of heather 107
their sleep should be sweet 47
their small flocks of sheep 94
their small supply of water 70
their social impact on others 69
their social status as women 67
their social status in terms 63
their social status is lower 58
their speed through the water 116
their spread across the world 42
their stand before the throne 45
their state claims in state 50
their steps through the woods 64
their steps toward the house 165
their steps toward the place 79
their stock should be voted 41
their strong desire to avoid 43
their strong desire to please 42
their tents before the walls 103
their thanks should be given 65
their total income in taxes 119
their total income on housing 55
their total number is about 78
their total number is small 65
their total number is still 41
their total number of hours 48
their total number of votes 107
their total output of goods 47
their total volume is small 40
their total volume of sales 76
their total volume of trade 49
their totem animal or plant 74
their train instead of havoc 40
their treaty rights in china 40
their trips around the world 65
their turns around the lists 49
their usual amount of sleep 58
their usual course of action 93
their usual design of trade 330
their usual haunts in fruit 111
their usual manner of speaking 40
their usual places of abode 885
their usual places of meeting 160
their usual powers of action 47
their usual rounds in search 52
their usual supply of water 83
their varying shades of green 116
their veins flowed the blood 121
their veins instead of blood 254
their views before the house 108
their views before the people 87
their views before the world 46
their views beyond the model 64
their views should be given 148
their views should be taken 192
their views through the press 70
their votes should be given 52
their votes should be taken 40
their wages should be fixed 48
their walks through the woods 101
their white covering of frost 241
their whole bodies in running 135
their whole bodies in water 57
their whole course of action 201
their whole course of study 239
