table as it would appear 52
table as the driving table 149
table at the first meeting 42
table at the hotel where 257
table at the lower right 131
table at the place where 103
table at the point where 83
table at the right gives 133
table at the right lists 100
table at the right shows 1852
table at the white house 425
table by the couch where 40
table by the dance floor 212
table by the round green 58
table in the after cabin 67
table in the first place 1761
table in the foyer where 49
table in the grand hotel 93
table in the hotel lobby 63
table in the hotel lounge 85
table in the house where 185
table in the house which 102
table in the lower right 226
table in the nearly empty 62
table in the order shown 80
table in the outer query 100
table in the place where 165
table in the ranch house 131
table in the right order 49
table in the savoy grill 48
table in the small sitting 99
table in the upper right 215
table in the white house 1618
table is as shown below 56
table is no longer spread 54
table is the child table 59
table is the first table 53
table is the focal point 65
table is the place where 145
table is the upper limit 66
table of the above eight 42
table of the drill press 633
table of the first class 44
table of the house showing 62
table of the house until 74
table of the house which 54
table of the house within 118
table of the house would 42
table of the point group 127
table of the skull vault 51
table of the skull which 91
table of the upper house 124
table of the white house 110
table on an equal basis 47
table on an equal footing 74
table on the dance floor 64
table on the first floor 576
table on the fourth floor 49
table on the front porch 403
table on the lower floor 41
table on the lower level 73
table on the morning after 176
table on the right gives 55
table on the right lists 56
table on the right shows 524
table on the upper floor 54
table on the upper level 96
table so he could watch 52
table to the child table 48
table to the dance floor 45
table to the lower right 124
table to the place where 91
table to the point where 296
table to the right shows 280
table to the right stood 43
table to the right until 101
table to the upper right 51
tabling of the white paper 128
tacking of the holding period 303
tails in the water round 41
tails of the curve never 62
tails of the fatty acids 119
tails of the indian woman 71
tails of the seven deadly 99
taint as of brass which 44
taint in the blood which 59
taint in the byron blood 62
taint of the whole state 123
taken as an awful warning 47
taken as an upper bound 489
taken as an upper limit 488
taken as of equal value 50
taken as the basic model 70
taken as the basic units 140
taken as the boiling point 117
taken as the datum level 56
taken as the datum plane 56
taken as the datum point 69
taken as the driving force 122
taken as the final proof 97
taken as the final score 103
taken as the final stage 47
taken as the final value 169
taken as the first major 74
taken as the first point 87
taken as the first stage 85
taken as the fixed point 205
taken as the flash point 58
taken as the focal point 222
taken as the force which 53
taken as the legal basis 73
taken as the lower bound 162
taken as the lower limit 861
taken as the median value 55
taken as the melting point 482
taken as the outer limit 71
taken as the place where 85
taken as the point where 569
taken as the scale value 100
taken as the setting point 44
taken as the steady state 50
taken as the total value 75
taken as the turning point 390
taken as the upper bound 139
taken as the upper limit 1195
taken as the value which 47
taken as the whole story 106
taken as the yield point 170
taken at the boiling point 43
taken at the crime scene 403
taken at the fermi level 127
taken at the final stage 44
taken at the first blush 117
taken at the first meeting 331
taken at the first onset 146
taken at the first signs 129
taken at the first stage 87
taken at the first visit 175
taken at the first warning 53
taken at the flood might 46
taken at the level where 119
taken at the local level 1902
taken at the lower level 52
taken at the melting point 45
taken at the place where 294
taken at the point where 1069
taken at the prime focus 99
taken at the right level 63
taken at the right stage 56
taken at the right times 51
taken at the state level 722
taken at the times shown 40
taken at the upper level 42
taken at the white house 301
taken by an armed force 104
taken by an older group 49
taken by or under state 58
taken by the arabs under 75
taken by the author while 88
taken by the blood stream 44
taken by the board shall 126
taken by the board under 196
taken by the board which 41
taken by the boats which 69
taken by the civil power 97
taken by the coast guard 257
taken by the court below 476
taken by the court shall 364
taken by the court today 124
taken by the court under 84
taken by the court which 63
taken by the crown under 94
taken by the enemy after 72
taken by the enemy within 43
taken by the first comer 69
taken by the first group 92
taken by the first party 72
taken by the force under 54
taken by the gauls under 123
taken by the grand lodge 101
taken by the group leader 55
taken by the joint action 47
taken by the khmer rouge 75
taken by the labor party 55
taken by the local board 76
taken by the local people 159
taken by the lower court 204
taken by the lower house 170
taken by the model penal 67
taken by the naval force 42
taken by the nursing mother 102
taken by the nursing staff 106
taken by the party which 122
taken by the roman people 53
taken by the roman state 55
taken by the royal party 47
taken by the senior author 85
taken by the ships which 78
taken by the small group 42
taken by the sound waves 68
taken by the space probe 53
taken by the state after 42
taken by the state board 226
taken by the state court 51
taken by the state party 229
taken by the state under 129
taken by the state which 119
taken by the trade unions 311
taken by the turks after 50
taken by the turks under 190
taken by the upper house 48
taken by the usual method 63
taken by the white house 442
taken by the white people 67
taken by the whole class 48
taken by the whole group 58
taken by the whole house 71
taken by the whole nation 156
taken by the whole party 61
taken by the whole people 64
taken by the whole world 73
taken by the working class 585
taken by the working group 164
taken by the working people 64
taken by us whose names 62
taken in an odious sense 120
taken in by plant roots 85
taken in the above cases 57
taken in the above order 139
taken in the above sense 131
taken in the action after 45
taken in the action until 46
taken in the acute phase 82
taken in the acute stage 75
taken in the broad sense 1407
taken in the cases cited 57
taken in the court below 2002
taken in the eighth grade 51
