tags of his harness were 137
take an oath against their 107
take an oath declaring their 63
take as its central theme 44
take it for granted also 161
take it for granted even 82
take it for granted from 325
take it for granted here 360
take it for granted just 55
take it for granted like 105
take it for granted most 57
take it for granted their 81
take it for granted there 1300
take it for granted these 75
take it for granted those 41
take it for granted what 118
take it for granted when 384
take it for granted will 107
take it for granted your 254
take it you enjoyed your 42
take of that relation will 57
take on its current meaning 45
take on its fullest meaning 41
take on its present form 202
take on its present meaning 79
take on this onerous task 43
take the big picture into 46
take the bit between their 529
take the bit between your 98
take the long journey back 53
take the long journey from 116
take the mean between these 56
take the raw material from 46
take the two following from 55
take up and convert into 44
take up her history from 61
take up his position face 148
take up his position there 256
take up his position upon 43
take up his precious time 40
take up his present post 106
take up our position there 131
take up this problem from 40
take up this problem here 43
take up this question from 67
take up this question here 58
take up this question more 41
take up this question once 48
take up this question when 61
take up this subject here 41
taking in her flushed face 47
taking it and contact your 158
taking it for granted from 49
taking it for granted there 201
taking on its present form 60
taking the bit between their 143
taking the mean between these 54
taking up her current post 86
taking up her present post 69
taking up his current post 150
taking up his precious time 75
taking up his present post 330
tale in its present form 89
tale of his descent into 40
tale of two sisters from 47
tale of two thousand years 81
talk at that ghostly hour 74
talk on any subject from 41
talk on this subject came 117
talk to you tonight from 43
tape is then removed from 47
task he had imposed upon 267
task he has imposed upon 125
task he set himself very 50
task he set himself when 55
task in this chapter will 688
task is thus imposed upon 59
task of this chapter will 467
tears as they streamed down 143
tears in them glanced like 59
tears of his beloved wife 80
tears of his country were 61
tears of his sisters were 58
tears of joy coursed down 168
tears of joy dropped from 83
tears of joy streamed down 950
tears of joy streamed from 98
tears of joy trickling down 257
tears of this century have 44
tears on this occasion were 45
tell he was fifteen years 62
tell he was wondering what 113
tell me for certain what 42
tell me now exactly what 54
tell me that everything will 132
tell me this instant what 133
tell me you triumph over 79
tell of one occasion when 49
tell of ten thousand other 66
tell the man exactly what 49
tell the old culture what 52
tell the web browser what 62
tell us for certain what 169
tell us how language must 64
tell us that everything will 43
tell us that savages give 49
tell us that schools will 78
tend to any dominion over 47
tend to bring religion into 48
tend to get carried away 1881
tend to get excited when 65
tend to get nervous when 67
tend to put everything into 68
tend to run together into 97
tend to use phrases like 70
tend to use phrases such 51
tend to use similar ones 78
tenth of its present cost 42
tenth of its present size 417
