tab located at the top 164
tag question at the end 54
tax according to the law 127
tax according to the new 142
tax according to the tax 149
tax alleged to be due 104
tax applies as the tax 86
tax applies to the net 92
tax because it is not 345
tax because of the tax 49
tax benefit in the year 501
tax bracket in the year 251
tax bracket of the son 50
tax claimed to be due 88
tax credits in the year 53
tax dollars go to pay 40
tax dollars in the long 47
tax effects of the two 96
tax expense at the end 52
tax expense in the year 481
tax imposed at the end 41
tax imposed by an act 47
tax imposed by the act 1641
tax imposed by the law 221
tax imposed by the new 77
tax imposed by the war 47
tax imposed in the act 46
tax imposed in the year 42
tax imposed on the net 127
tax imposed on the non 89
tax imposed on the use 175
tax incomes of the top 40
tax measured by the net 73
tax payable at the end 55
tax payable by the non 186
tax payable in the year 261
tax payable is the sum 60
tax payable on the death 52
tax payable on the net 154
tax payment at the end 50
tax payment to the irs 105
tax reforms of the mid 90
tax returns at the end 110
tax returns in the year 89
tax returns of the two 94
tax returns or to pay 91
tax returns to the irs 74
tax revenue in the long 112
tax revenue in the year 103
tax revenue is the tax 87
tax revenue to the tax 106
tax similar to the one 166
tax subsidy on the use 44
tax systems of the two 249
team because he or she 100
team decided to go for 49
team drivers of the two 135
team members at the end 208
team members in the use 84
team members on the team 43
team members or the team 145
team members to the team 124
tear sparkling at the end 118
ten against it to one 54
ten barrels to the ton 62
ten degrees in the dial 47
ten degrees in the sky 56
ten degrees on the dial 330
ten degrees to the east 172
ten dollars at the end 223
ten dollars be of any 100
ten dollars in it for 40
ten dollars of my own 73
ten dollars on the bar 70
ten dollars to the man 57
ten dollars to the men 89
ten dollars to the pan 46
ten dollars to the ton 57
ten members of the new 159
ten members of the old 42
ten members of the team 77
ten millions of the fly 49
ten millionth of the earth 40
ten minutes at the end 1999
ten minutes go by and 40
ten minutes if he was 61
ten minutes in the air 677
ten minutes in the bar 50
ten minutes in the bath 57
ten minutes in the car 138
ten minutes in the day 401
ten minutes in the sun 391
ten minutes of the day 716
ten minutes of the end 95
ten minutes of the old 75
ten minutes of the top 100
ten minutes on the air 49
ten minutes on the bus 44
ten minutes on the job 55
ten minutes on the top 90
ten minutes on the way 118
ten minutes or as long 162
ten minutes or it may 72
ten minutes or so ago 150
ten minutes or so all 45
ten minutes or so and 1074
ten minutes or so but 54
ten minutes or so each 66
ten minutes or so for 359
ten minutes or so had 113
ten minutes or so has 77
ten minutes or so her 63
ten minutes or so one 113
ten minutes or so she 405
ten minutes or so that 690
ten minutes or so they 392
ten minutes or so was 70
ten minutes or so with 263
ten minutes or so you 90
ten minutes to do that 49
ten minutes to do this 238
ten minutes to eat and 42
ten minutes to go and 156
ten minutes to the east 59
ten minutes to the end 42
ten percent of the area 186
ten percent of the bid 45
ten percent of the earth 183
ten percent of the gdp 93
ten percent of the gnp 64
ten percent of the job 46
ten percent of the mean 57
ten percent of the men 241
ten percent of the net 1286
ten percent of the new 159
ten percent of the non 117
ten percent of the tax 181
ten seconds or so and 83
ten shillings to the man 43
ten stanzas of the poem 79
ten stories in the air 164
ten thousand at the end 167
ten thousand by the end 144
ten thousand is to one 87
ten thousand of my own 56
ten thousand of the men 187
ten thousand of the old 47
ten thousand of us had 44
ten thousand of us that 48
ten thousand on the seas 47
ten thousand or so men 59
ten thousand to go out 426
than according to an act 56
than according to my own 94
than according to the act 186
than according to the law 406
than according to the new 45
than according to the old 124
than according to the real 65
than according to the way 74
