tax on consumption of electricity 75
team of researchers to investigate 51
team of scientists to investigate 47
than an aggregation of individuals 497
than an assemblage of individuals 58
than an assemblage of institutions 46
than as collections of individuals 77
than he appreciated the originality 48
than the activities of individuals 54
than the application of fertilizers 52
than the application of statistical 57
than the calculation of combinations 68
than the coefficient of performance 57
than the department of agriculture 495
than the destruction of civilization 61
than the difference in performance 49
than the difference in temperature 105
than the difference of temperature 111
than the difficulty of understanding 108
than the elasticity of substitution 263
than the generality of conversation 41
than the individual or constituent 92
than the individual or individuals 52
than the patriarchal in organization 47
than the percentage of individuals 55
than the percentage of respondents 117
than the principles of christianity 110
than the principles of exploitation 49
than the professors of philanthropy 49
than the schuylkill at philadelphia 41
than the sentiments he entertained 43
than the university of pennsylvania 65
than the viewpoints of individuals 123
than to facilitate the development 64
that an adjustment of differences 79
that an explanation is superfluous 132
that an explanation of development 50
that an indictment or presentment 157
that an individual is distinguished 40
that an individual is incompetent 80
that an individual is indifferent 199
that an individual is necessarily 40
that an individual is predisposed 47
that an individual is responsible 721
that an individual is susceptible 49
that an individual or individuals 188
that an individual or organization 697
that an institution be established 87
that an institution is necessarily 41
that he appreciated the opportunity 59
that he considered it inadvisable 89
that he considered it superfluous 45
that he considered it unnecessary 217
that he considered the appointment 85
that he considered the constitution 62
that he considered the contribution 61
that he considered the conversation 78
that he considered the development 52
that he considered the introduction 55
that he considered the possibility 272
that he considered the preservation 43
that he contracted an unreasonable 102
that he determined to investigate 63
that he discovered the mississippi 111
that he implicated my truthfulness 89
that he influenced the development 42
that he personally is accountable 48
that he personally is responsible 71
that he recognized the possibility 134
that he recognizes the possibility 74
that he remembered the conversation 44
that he supervised the construction 58
that he understood it constituted 57
that he understood the fundamental 44
that he understood the implications 139
that he understood the instructions 84
that he understood the relationship 89
that he undertakes an unmeasurable 43
that in interpreting the constitution 161
that in particular the regeneration 52
that is accessible to individuals 99
that is controlled or manipulated 53
that is designated in substitution 43
that is excellence in deliberation 62
that is impossible or impractical 89
that is interested in understanding 96
that is privileged or confidential 255
that is refractory to conventional 193
that is sufficient to accommodate 48
that is sufficient to demonstrate 82
that is understood by prospective 41
that it considered the possibility 40
that it distresses the entertainer 41
that it eliminated the possibility 51
that it eliminates the possibility 400
that it emphasizes the development 48
that it emphasizes the relationship 40
that it encouraged the development 114
that it encourages the development 223
that it forecloses the possibility 129
that it highlights the differences 47
that it introduces the possibility 98
that it recognizes the possibility 66
that it represents an accumulation 48
that it represents an alternative 238
