tail of which were white 42
take it every four hours 52
take me about three hours 62
take me about three months 53
take me about three weeks 52
take no denial from either 52
take no solid food after 45
take or could have taken 42
take the child back again 68
take the child from where 43
take the fatal step which 61
take the field once again 45
take the final step until 53
take the final step which 187
take the first exit after 51
take the first fast train 66
take the first four lines 54
take the first left after 233
take the first nice woman 49
take the first ride alone 40
take the first step right 90
take the first step today 75
take the first step until 59
take the first step which 151
take the first three lines 58
take the first three steps 63
take the first three terms 69
take the first turn right 132
take the horse from elder 46
take the level from which 110
take the light from heaven 42
take the money back again 52
take the money from under 63
take the place from which 155
take the place left empty 55
take the right fork which 56
take the short walk which 69
take the stars from heaven 85
take the throne only under 42
take the train from paris 109
take the train next morning 42
take the upper hand again 51
take the whole kingly power 95
take to working four hours 52
take up about three times 70
take up water from moist 48
take us about five hours 42
take us about four hours 78
take us about three hours 94
take us about three weeks 82
taking of farms from which 67
taking of human life under 332
taking the final step which 57
taking the first four trees 51
taking the first step which 65
taking the first three steps 52
taking the first three terms 95
taking the nests must often 65
taking the paper from under 54
talk my mother into letting 80
talk of beauty what could 210
talk of selling your lands 46
talk of treaty must appear 56
talk the whole time about 67
tank of fresh clear water 40
tank of water from which 102
tank of water into which 73
task in which good sense 83
task is often made light 131
task of every other slave 101
task of getting into touch 45
task of helping young people 119
task of learning more about 116
task of looking into indian 82
task of meeting these needs 44
task of putting into words 90
task of telling what meanings 40
task so often laid aside 54
task to prune these growing 89
teach me about their lives 40
teach the child such words 96
teach the whole truth about 64
tearing the paper into small 40
tears to fetch dona emilia 61
tell it about other people 152
tell me about last night 554
tell me about other people 59
tell me about their dreams 59
tell me about their lives 405
tell me about their plans 44
tell me about these people 150
tell me about those people 46
tell me about those times 65
tell me about young george 87
tell me about your child 159
tell me about your drawing 107
tell me about your dreams 208
tell me about your evening 76
tell me about your father 1705
tell me about your first 429
tell me about your house 177
tell me about your lives 44
tell me about your meeting 448
tell me about your morning 71
tell me about your mother 1978
tell me about your night 82
tell me about your people 112
tell me about your plans 452
tell me about your sight 41
tell me about your story 59
tell me about your uncle 96
tell me about your visit 298
tell me about your wedding 70
tell me about your world 53
tell me about your writing 133
tell me anything else about 785
tell me anything more about 1124
tell me anything much about 42
tell me anything worth knowing 57
tell me until much later 53
tell me where your father 311
tell me where your money 63
tell me where your mother 209
tell my father back again 46
tell my father only after 50
tell my story over again 80
tell the class more about 51
tell the exact same story 45
tell the exact spot where 117
tell the exact truth about 453
tell the grand jury about 76
tell the house what steps 52
tell the judge your story 40
tell the naked truth about 77
tell the people more about 46
tell the people there about 129
tell the people what would 44
tell the place from which 55
tell the plain truth about 301
tell the reader more about 327
tell the reader much about 127
tell the reader nothing about 56
tell the spots upon cards 43
tell the story many times 246
tell the story more fully 98
tell the story nine times 55
tell the story once again 107
tell the story over again 292
tell the story years later 43
tell the thinking mind where 59
tell the whole damn world 43
tell the whole town about 113
tell the whole truth about 4232
tell the whole truth either 211
tell the whole truth where 49
tell the whole truth would 49
tell the whole wide world 119
tell the world more about 94
tell the world their story 57
tell the world what really 121
tell us about last night 94
tell us about life after 52
tell us about other people 43
tell us about their author 43
tell us about their dreams 44
tell us about their lives 413
tell us about their needs 49
tell us about their power 43
tell us about their social 50
tell us about their world 49
tell us about these people 114
tell us about what people 73
tell us about your child 102
tell us about your father 269
tell us about your first 168
tell us about your meeting 62
tell us about your mother 149
tell us about your plans 125
tell us about your visit 73
tell us about your wedding 42
tell us anything else about 264
tell us anything more about 660
tell us anything much about 100
tell us anything worth knowing 77
tell us rather more about 97
tell us still more about 80
tell us which came first 109
tend to abuse their power 112
tend to adapt more easily 58
tend to agree more often 46
tend to appear more often 164
tend to appear only after 43
tend to arise more often 52
tend to avoid areas where 45
tend to avoid other people 43
tend to avoid taking risks 82
tend to blame other people 227
tend to build their nests 46
tend to change more often 52
tend to change their minds 181
tend to change their names 44
tend to change their shape 89
tend to close their minds 62
tend to drink more often 51
tend to drink more water 60
tend to favor free trade 94
tend to judge other people 71
tend to limit their focus 53
tend to limit their social 68
tend to lower their earnings 42
tend to lower their price 74
tend to merge into large 81
tend to occur during sleep 61
tend to occur during times 66
tend to occur less often 74
tend to occur more often 1232
tend to occur most often 771
tend to occur only after 63
tend to occur only where 54
tend to occur soon after 85
tend to occur when people 92
tend to place great value 87
tend to place high value 154
tend to place less value 104
tend to place more trust 54
tend to place more value 236
tend to place their trust 54
tend to raise their level 40
tend to raise their price 143
tend to raise wage rates 70
tend to recur even after 75
tend to reveal more about 149
tend to score much lower 42
