tax became due until paid 203
tax burden that would have 70
tax credit for child care 756
tax credit for taxes paid 1503
tax credit for wages paid 92
tax credit that would have 51
tax issues that arise when 58
tax reform that would have 41
tax relief for child care 243
team played its first game 160
ten heavens and eight earths 51
ten lashes for every such 41
ten million men under arms 105
ten pounds for every month 165
ten pounds for every such 457
ten pounds per cubic foot 242
ten pounds you shall have 60
ten sieges and taken four 42
than almost any place else 53
than almost any where else 135
than almost any whose early 56
than another man would have 135
than anyone had dared hope 644
than babies who still have 59
than desire and feeling were 97
than double its usual size 40
than endure any longer such 40
than england can count upon 44
than enough for every good 63
than likely she would have 139
than likely they would have 230
than merely her black bows 51
than normal red blood cell 78
than settle for anything less 88
than someone who knows nothing 45
than someone who might have 43
than suffer and worry here 61
than suffer this noble army 131
than terror for which there 148
than through its banks there 51
that absurd and odious test 207
that abuses had crept into 227
that affect all human beings 65
that affect his daily life 73
that affect our daily life 54
that affect our lives more 42
that africa has never been 59
that almost all human beings 420
that almost all people have 218
that almost all verbs have 46
that almost all women have 43
that almost all women were 47
that almost all women work 40
that almost all words have 113
that almost all would have 46
that almost any change must 52
that almost for seven years 53
that animal and plant life 280
that animal they would meet 92
that another day would come 41
that another day would give 47
that another day would have 63
that another lay bound upon 413
that another man could have 113
that another man might find 125
that another man might have 318
that another man would have 298
that another man would take 42
that another war would break 44
that another war would have 50
that another way would have 57
that another year would make 128
that another year would pass 40
that antony and caesar were 47
that anyone can easily learn 48
that anyone can truly look 140
that anyone had lived there 117
that anyone who comes from 94
that anyone who comes here 97
that anyone who comes into 320
that anyone who could find 131
that anyone who could have 308
that anyone who could make 338
that anyone who could play 98
that anyone who could speak 46
that anyone who falls into 110
that anyone who knows what 380
that anyone who looks into 90
that anyone who looks like 134
that anyone who looks upon 43
that anyone who makes such 51
that anyone who might have 562
that anyone who might want 47
that anyone who might wish 112
that anyone who really knew 110
that anyone who takes part 123
that anyone who thinks there 40
that anyone who works hard 575
that anyone who would come 47
that anyone who would dare 55
that anyone who would have 134
that anyone who would like 158
that anyone who would make 217
