take themselves very seriously as 56
teach meaningfully many subjects in 108
term community health education on 149
test specimens were prepared by 123
their ancestors have bequeathed to 44
their ancestors used hundreds of 49
their ancestors were believed to 40
their ancestors were supposed to 88
their arguments were answered by 61
their character were softened by 64
their character when reported by 51
their character when reported on 93
their community those destined to 70
their conquests were extended to 67
their contracts were obtained by 44
their conversion from heathenism to 47
their conversion from idolatry or 66
their conversion from paganism to 59
their daughters into families of 74
their economies will continue to 43
their employees were involved in 46
their employers were required to 64
their entreaties were seconded by 45
their fisheries were impaired by 61
their followers were prepared to 74
their influence been confined to 51
their influence soon restored to 50
their influence will continue to 179
their inspection those relative to 69
their intentions were friendly or 41
their intentions were friendly to 64
their interests were affected by 127
their interests were confined to 109
their interests were involved in 160
their interests were supposed to 69
their interests were threatened by 319
their interests will continue to 44
their judgments have impaired the 44
their liberties were threatened by 52
their lordships were directed to 48
their lordships were prepared to 85
their lordships will consider the 73
their majesties having accepted the 182
their majesties were received by 78
their merchants have combined to 48
their ministers were insulted or 63
their movements were arrested at 53
their movements were betrayed by 55
their movements were concealed by 55
their movements were confined to 64
their movements were directed by 98
their movements were hampered by 90
their movements were hastened by 54
their movements were observed by 43
their operations were confined to 284
their operations were directed by 58
their operations were extended to 49
their operations were hampered by 41
their operations were intended to 45
their operations were retarded by 79
their opponents were dictated by 63
their opponents were inspired by 43
their opponents were prepared to 64
their patriotism from interest in 62
their principal food consists of 327
their proceedings less injurious to 42
their proceedings were contrary to 62
their proceedings were directed by 126
their proposals were designed to 41
their proposals were rejected by 118
their reputation been confined to 104
their residence from toulouse to 70
their resources were strained to 52
their responses were compared to 96
their responses were recorded on 57
their sentences were commuted by 53
their sentences were commuted to 566
their shoulders were provided by 76
their substance also consisting in 57
their sympathies were enlisted in 62
their transition from education to 86
theme throughout these chapters is 43
theory naturally more agreeable to 64
there adventure many thousands of 71
there certainly were omissions in 47
there purchased their salvation by 78
these abilities were suffered to 66
these arguments were accepted by 45
these arguments were advanced by 61
